"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"82","특정고압가스업","09_28_14_P","3340000","2005334001702700001","20050831","","01","영업/정상","BBBB","","","","","","051 2647788","","","부산광역시 사하구 다대동 1505-8번지","부산광역시 사하구 다산로 170  (다대동)","","한국닛블공업(주)","20080312101218","I","2018-08-31 23:59:59.0","","378446.88514473","176085.40272655","열처리","열처리로","400","5","",
"83","특정고압가스업","09_28_14_P","3340000","2006334001702700001","20060616","","01","영업/정상","BBBB","","","","","","051 2071975","","","부산광역시 사하구 신평동 644-2번지","부산광역시 사하구 하신번영로151번길 21  (신평동)","","신영기계공업(주)","20060616000000","I","2018-08-31 23:59:59.0","","378501.917974711","179180.335775955","철판 절단 절곡","-","1500","20","",
"84","특정고압가스업","09_28_14_P","3340000","2006334006602700001","20061130","","01","영업/정상","BBBB","","","","","","051 2648829","","","부산광역시 사하구 다대동 1505-6번지","부산광역시 사하구 다산로 168-1  (다대동)","","신성듸젤기기제작소","20080312100831","I","2018-08-31 23:59:59.0","","378583.939681526","176118.025781653","열처리용","열처리","50","400","",
"85","특정고압가스업","09_28_14_P","3340000","2010334006612200001","20100525","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 다대동 1518-1번지","부산광역시 사하구 다산로78번길 32  (다대동)","","성동강업","20100525111549","I","2018-08-31 23:59:59.0","","378740.803578358","175394.593211175","절단용","용접","4900","10","",
"86","특정고압가스업","09_28_14_P","3340000","2011334006612200001","20110223","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 장림동 906-10번지","부산광역시 사하구 보덕포1길 99  (장림동)","","(주)신도정밀","20110224111612","I","2018-08-31 23:59:59.0","","378943.436720941","176611.033068481","열처리","저장소","150","20","",
"87","특정고압가스업","09_28_14_P","3340000","1989334001702700001","19890613","","01","영업/정상","BBBB","","","","","","051 2603333","","","부산광역시 사하구 다대동 380번지","부산광역시 사하구 다대로 627  (다대동)","","성창기업(주)","19890613000000","I","2018-08-31 23:59:59.0","","380090.057997493","174355.708212487","","","","","",
"88","특정고압가스업","09_28_14_P","3340000","2011334006612200002","20110304","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 다대동 1506-10번지","부산광역시 사하구 홍티로 115  (다대동)","","삼천리열처리테크(주)","20110304093356","I","2018-08-31 23:59:59.0","","378657.882017567","175747.670541105","열처리","열처리","6000","23","",
"89","특정고압가스업","09_28_14_P","3340000","2011334006612200003","20110607","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 다대동 1513-4번지","부산광역시 사하구 다산로105번길 10  (다대동)","","(주)신화금속","20110607131112","I","2018-08-31 23:59:59.0","","378426.890177581","175447.665705629","절단가공","절단가공","4900","10","",
"90","특정고압가스업","09_28_14_P","3340000","2012334008012200001","20121031","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 다대동 1509-5번지","부산광역시 사하구 다산로106번길 53 (다대동)","","미래열처리","20121031103531","I","2018-08-31 23:59:59.0","","378556.022812978","175864.281305369","열처리","열처리","1250","6","",
"91","특정고압가스업","09_28_14_P","3340000","2013334008012200001","20131104","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 다대동 1514-2번지","부산광역시 사하구 다산로105번길 13 (다대동)","","(주)신화금속제2공장","20131104162211","I","2018-08-31 23:59:59.0","","378372.78208081","175440.743844085","절단가공","저장소","4.9","50","",
"92","특정고압가스업","09_28_14_P","3340000","2013334008012200002","20131204","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 사하구 하신중앙로 160 (신평동)","","광진실업(주)","20131204154218","I","2018-08-31 23:59:59.0","","379057.4468593","178888.302700248","열처리","열처리","400","15","",
"93","특정고압가스업","09_28_14_P","3340000","2014334008012200001","20140224","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 구평동 471-19번지","부산광역시 사하구 감천항로 361 (구평동)","","건창산기(주) 구평공장","20140224101902","I","2018-08-31 23:59:59.0","","381881.330837278","175458.7227293","철강절단용","철강절단용","3000","50","",
"94","특정고압가스업","09_28_14_P","3340000","2014334008012200002","20140326","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 신평동 480-1번지","부산광역시 사하구 신산북로 70 (신평동)","","성화금속열처리","20140326085352","I","2018-08-31 23:59:59.0","","379762.718760893","178621.506367328","열처리 분위기 가스","배관으로 주입","100","28","",
"95","특정고압가스업","09_28_14_P","3340000","2014334008012200003","20140409","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 사하구 하신중앙로 160 (신평동)","","광진실업(주)","20140409185420","I","2018-08-31 23:59:59.0","","379057.4468593","178888.302700248","열처리용","열처리용","400","96","",
"96","특정고압가스업","09_28_14_P","3340000","2014334008012200004","20140422","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 사하구 하신중앙로 160 (신평동)","","광진실업","20140422172422","I","2018-08-31 23:59:59.0","","379057.4468593","178888.302700248","열처리용","열처리용","400","1","",
"97","특정고압가스업","09_28_14_P","3340000","2014334008012200005","20140424","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 신평동 480-1번지","부산광역시 사하구 신산북로 70 (신평동)","","성화금속열처리","20140425090358","I","2018-08-31 23:59:59.0","","379762.718760893","178621.506367328","열처리","자연기화에 의한 배관공급","55.4","26","",
"98","특정고압가스업","09_28_14_P","3340000","2014334008012200006","20140502","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 사하구 하신중앙로 160 (신평동)","","광진실업(주)","20140502135346","I","2018-08-31 23:59:59.0","","379057.4468593","178888.302700248","열처리용","열처리용","3324","1","",
"99","특정고압가스업","09_28_14_P","3340000","2020334013112200003","20201222","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사하구 당리동 304-6","부산광역시 사하구 낙동대로 446, 7층 (당리동)","49326","서호하단병원","20201222164926","I","2020-12-24 00:23:06.0","","379552.596599015","180226.650838354","의료용","의료용","3000","100","",
"100","특정고압가스업","09_28_14_P","3350000","2018335011212200001","20181227","","01","영업/정상","BBBB","","","","","","","","","부산광역시 금정구 남산동 35-16번지 관자재요양병원","부산광역시 금정구 금단로 140-2, 관자재요양병원 (남산동)","46215","의료법인 좋은사람들의료재단 관자재요양병원","20181227164953","I","2018-12-29 02:20:32.0","","390463.295332623","197814.103008063","의료용","의료용","2160","198","",
"101","특정고압가스업","09_28_14_P","3350000","2019335011212200004","20190111","","01","영업/정상","BBBB","","","","","","","","","부산광역시 금정구 부곡동 225-72번지 순여성병원","부산광역시 금정구 중앙대로 1701, 순여성병원 (부곡동)","46277","순병원","20190111095730","I","2019-01-13 02:20:47.0","","390310.134656048","195024.868657255","의료용","용기(액산, 기산)","3000","250","",
"102","특정고압가스업","09_28_14_P","3350000","2019335011212200003","20190110","","01","영업/정상","BBBB","","","","","","","","","부산광역시 금정구 서동 202-4번지 제일한방병원","부산광역시 금정구 서동로 172, 제일한방병원 (서동)","46327","서동제일요양병원","20190110133746","I","2019-01-12 02:20:46.0","","391618.713052268","192599.080211057","의료용","액화산소, 압축산소","819","140","",
"103","특정고압가스업","09_28_14_P","3350000","2019335011212200002","20190108","","01","영업/정상","BBBB","","","","","","","","","부산광역시 금정구 서동 163-18번지 제일요양병원","부산광역시 금정구 서부로 56, 제일요양병원 (서동)","46313","사)한국불교미륵종 제일요양병원","20190108151406","I","2019-01-10 02:20:44.0","","391221.650753061","193024.044742279","의료용","용기","450","184","",
"104","특정고압가스업","09_28_14_P","3350000","2019335011212200005","20190410","","01","영업/정상","BBBB","","","","","","","","","부산광역시 금정구 부곡동 386-21번지 부곡요양병원","부산광역시 금정구 부곡로 56, 부곡요양병원 (부곡동)","46307","부곡요양병원","20190410200050","I","2019-04-12 02:20:19.0","","390178.752022973","193311.377979454","의료용","압축,액화산소 용기 저장 및 사용","2000","199","",
"105","특정고압가스업","09_28_14_P","3350000","2020335011212200001","20200107","","01","영업/정상","BBBB","","","","","","","","","부산광역시 금정구 금사동 75-36번지","부산광역시 금정구 공단로 68-5 (금사동)","46332","㈜성창금속","20200107200213","I","2020-01-09 00:23:25.0","","392515.932746767","193172.047329739","절단용","용기보관","1000","0","",
"106","특정고압가스업","09_28_14_P","3350000","2011335008512200001","20110720","","01","영업/정상","BBBB","","","","","","","","","부산광역시 금정구 부곡동 223-83번지","부산광역시 금정구 중앙대로 1721 (부곡동)","","동래한서요양병원","20111030151510","I","2018-08-31 23:59:59.0","","390335.364945292","195223.017772903","의료용","의료용","600","100","",
"107","특정고압가스업","09_28_14_P","3350000","2014335008712200001","20140404","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 금정구 공단서로 25 (금사동)","","(주)덕신사","20140404113009","I","2018-08-31 23:59:59.0","","392074.678791505","192852.461602442","금세공 산화방지","금세공 산화방지","150","70","",
"108","특정고압가스업","09_28_14_P","3350000","1973335008012200001","19731005","","01","영업/정상","BBBB","","","","","","","","","부산광역시 금정구 청룡동 298번지","부산광역시 금정구 청룡예전로 86  (청룡동)","","범어사정수사업소","20090326095442","I","2018-08-31 23:59:59.0","","389839.582681854","199735.411768811","상수도 소독용","액화염소-기체염소 소독","120","9","",
"109","특정고압가스업","09_28_14_P","3350000","1973335008012200002","19730801","","01","영업/정상","BBBB","","","","","","","","","부산광역시 금정구 금사동 75-11번지","부산광역시 금정구 공단로50번길 31  (금사동)","","대우버스(주)동래공장","20070823174157","I","2018-08-31 23:59:59.0","","392467.941655936","193210.848818807","자동차 제조용","용접, 절단 등","104.4","150","",
"110","특정고압가스업","09_28_14_P","3360000","2001336001302700003","20011022","","01","영업/정상","BBBB","","","","","","051 8315611","","","부산광역시 강서구 송정동 1660-11번지","부산광역시 강서구 녹산화전로 71  (송정동)","","만호제강(주)","20011022000000","I","2018-08-31 23:59:59.0","","369948.313084408","179010.921214993","이동식가스절단기","철근절단","250","50","",
"111","특정고압가스업","09_28_14_P","3360000","2006336001302700002","20060330","","01","영업/정상","BBBB","","","","","","005108312291","","","부산광역시 강서구 송정동 1523-2   번지","","","피.엠.피","20060330000000","I","2018-08-31 23:59:59.0","","","","열처리용","저장실에 저장후 배관을 통해 공급","200","","",
"112","특정고압가스업","09_28_14_P","3360000","2006336006902700002","20060912","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 지사동 1202-4   번지","","","심도브레이징","20060912000000","I","2018-08-31 23:59:59.0","","","","산화방지 등","공정 내 투입","420","","",
"113","특정고압가스업","09_28_14_P","3360000","1999336001302700001","19991223","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 녹산국가산업단지 981B4L","","","(주)화창","19991223000000","I","2018-08-31 23:59:59.0","","","","원소재 가공","","","","",
"114","특정고압가스업","09_28_14_P","3360000","2000336001302700001","20000929","","01","영업/정상","BBBB","","","","","","051 8313500","","","부산광역시 강서구 송정동 1593-6   번지","","","동남정공(주)","20000929000000","I","2018-08-31 23:59:59.0","","","","","","1","","",
"115","특정고압가스업","09_28_14_P","3360000","2001336001302700001","20010612","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1682-4번지","부산광역시 강서구 녹산화전로 24  (송정동)","","(주)청우제강","20010612000000","I","2018-08-31 23:59:59.0","","370161.181333701","178483.755629786","열처리용분위기 가스","열처리용분위기가스","700","40","",
"116","특정고압가스업","09_28_14_P","3360000","2001336001302700004","20011109","","01","영업/정상","BBBB","","","","","","05109701042","","","부산광역시 강서구 송정동 1575-6번지","부산광역시 강서구 녹산산단261로 7  (송정동)","","동화엔텍(주)","20011109000000","I","2018-08-31 23:59:59.0","","368087.753125971","178283.501611121","철판절단용","","20000","192","",
"117","특정고압가스업","09_28_14_P","3360000","2002336001302700001","20020325","","01","영업/정상","BBBB","","","","","","051 8311801","","","부산광역시 강서구 송정동 1610-14번지","부산광역시 강서구 녹산산단289로 32  (송정동)","","태광산업사","20020325000000","I","2018-08-31 23:59:59.0","","368599.279474349","178534.072335811","열처리로사용","열처리용","1000","10","",
"118","특정고압가스업","09_28_14_P","3360000","2002336001302700002","20020418","","01","영업/정상","BBBB","","","","","","051 8311801","","","부산광역시 강서구 송정동 1610-14번지","부산광역시 강서구 녹산산단289로 32  (송정동)","","태광산업사","20020418000000","I","2018-08-31 23:59:59.0","","368599.279474349","178534.072335811","열처리로","열처리및환원용","","10","",
"119","특정고압가스업","09_28_14_P","3360000","2003336001302700002","20031212","","01","영업/정상","BBBB","","","","","","051 8317321","","","부산광역시 강서구 송정동 1565-6번지","부산광역시 강서구 녹산산업중로 235  (송정동)","","동서열처리","20031212000000","I","2018-08-31 23:59:59.0","","368214.671028849","178743.929952541","열처리용","사용시설","500","10","",
"120","특정고압가스업","09_28_14_P","3360000","2004336001302700002","20040225","","01","영업/정상","BBBB","","","","","","05108320235","","","부산광역시 강서구 송정동 1500-10번지","부산광역시 강서구 녹산산업중로 122  (송정동)","","신도정밀","20040225000000","I","2018-08-31 23:59:59.0","","367063.5295436","178674.112895042","열처리용","열처리","2000","40","",
"121","특정고압가스업","09_28_14_P","3360000","2010336008212200002","20100429","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1504-9번지","부산광역시 강서구 녹산산업중로 105  (송정동)","","다우정밀공업","20100429152958","I","2018-08-31 23:59:59.0","","367002.905748524","178878.781246559","열처리용","공정내 투입","1000","70","",
"122","특정고압가스업","09_28_14_P","3360000","2004336001302700003","20040513","","01","영업/정상","BBBB","","","","","","051 3261234","","","부산광역시 강서구 송정동 1466-5번지","","","태웅스틸(주)","20040513000000","I","2018-08-31 23:59:59.0","","","","철재절단가공","기화기","5000","6","",
"123","특정고압가스업","09_28_14_P","3360000","2004336001302700004","20041102","","01","영업/정상","BBBB","","","","","","05102615011","","","부산광역시 강서구 송정동 1583-3번지","부산광역시 강서구 녹산산단261로74번길 20  (송정동)","","호성금속","20041102000000","I","2018-08-31 23:59:59.0","","368456.163256496","178914.98065626","금속 열처리 및 분해","열처리 및 분해로","1200","10","",
"124","특정고압가스업","09_28_14_P","3360000","2006336001302700001","20060214","","01","영업/정상","BBBB","","","","","","05108322009","","","부산광역시 강서구 송정동 1500-21번지","부산광역시 강서구 녹산산단77로22번길 5  (송정동)","","(주)경전산업","20060214000000","I","2018-08-31 23:59:59.0","","366820.624748879","178820.014655955","열처리용","가열","3600","30","",
"125","특정고압가스업","09_28_14_P","3360000","2007336006902700001","20070521","","01","영업/정상","BBBB","","","","","","051 8536350","","","부산광역시 강서구 송정동 1458-2   번지","","","미래조선해양(주)","20070521000000","I","2018-08-31 23:59:59.0","","","","용접용","","5280","","",
"126","특정고압가스업","09_28_14_P","3360000","2007336006912200001","20070927","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1518-1번지","","","(주)성부 녹산지점","20070927100748","I","2018-08-31 23:59:59.0","","","","절단용","철강재 절단, 산소 절단기 사용","10000","1","",
"127","특정고압가스업","09_28_14_P","3360000","2007336006912200002","20071115","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1735-3번지","부산광역시 강서구 녹산산단382로50번길 52  (송정동)","","씨에이치앤케이정공(주)","20071115113838","I","2018-08-31 23:59:59.0","","368986.899890866","177798.05069284","철판절단","절단","336","8","",
"128","특정고압가스업","09_28_14_P","3360000","2008336008212200001","20080820","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1471-3번지","부산광역시 강서구 녹산산업중로61번길 33  (송정동)","","태웅스틸(주)","20080820134525","I","2018-08-31 23:59:59.0","","366839.144983353","179379.256722292","절단용","공정내 투입","4900","0","",
"129","특정고압가스업","09_28_14_P","3360000","2008336008212200002","20081217","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1646번지","","","(주)대하강업","20081217170250","I","2018-08-31 23:59:59.0","","","","절단가공용","가스배관을 통하여 사용","1500","20","",
"130","특정고압가스업","09_28_14_P","3360000","2009336008212200003","20090713","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1680-6번지","부산광역시 강서구 녹산산업북로 436  (송정동)","","욱성금속(주)","20090713103028","I","2018-08-31 23:59:59.0","","370293.806410722","178723.054665939","철판절단","절단","10000","10","",
"131","특정고압가스업","09_28_14_P","3360000","2010336008212200004","20101112","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1530-6번지","부산광역시 강서구 녹산산업중로168번길 28  (송정동)","","(주)하트만","20101112135653","I","2018-08-31 23:59:59.0","","367512.163717601","178424.096951167","열처리용","공정내투입","300","2","",
"132","특정고압가스업","09_28_14_P","3360000","2012336010512200001","20120118","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 대저2동 3141-3번지","부산광역시 북구 의성로74번길 5 (덕천동)","","영남특수강(주)","20120118130449","I","2018-08-31 23:59:59.0","","377300.946997369","186945.254004371","절단용","현장작업","4900","5","",
"133","특정고압가스업","09_28_14_P","3360000","2014336013612200001","20141016","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1740-5번지","부산광역시 강서구 녹산산단382로14번길 6 (송정동)","","케이비엠인코넬(주)","20141016180035","I","2018-08-31 23:59:59.0","","369421.613104105","178160.227731443","열처리","열처리","6000","14","",
"134","특정고압가스업","09_28_14_P","3360000","2015336013612200003","20151111","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 화전동 587-10번지","부산광역시 강서구 화전산단2로 119 (화전동)","","(주)진영금속","20151111180618","I","2018-08-31 23:59:59.0","","371786.680194473","179981.627892723","열처리","액화암모니아를 기화시켜 사용","5000","22","",
"135","특정고압가스업","09_28_14_P","3360000","2017336014512200001","20170227","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 생곡동 1512-9번지","부산광역시 강서구 생곡산단2로 8 (생곡동)","","(주)용진","20170227140342","I","2018-08-31 23:59:59.0","","371652.820748132","183509.147314893","절단용","절단용","20000","20","",
"136","특정고압가스업","09_28_14_P","3360000","2018336014512200001","20180403","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 대저2동 3155-1번지","부산광역시 강서구 유통단지1로57번가길 67, 117동 (대저2동)","46721","일성TS","20180403155802","I","2018-08-31 23:59:59.0","","377566.851245243","186514.48488099","절곡.절단용","절곡.절단용","1200","3","",
"137","특정고압가스업","09_28_14_P","3360000","2018336014512200002","20180531","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 강동동 491-678번지","부산광역시 강서구 제도로 1132 (강동동)","46706","(주)부일엘엔에프","20180531090148","I","2018-08-31 23:59:59.0","","376042.158186682","191907.658618612","판제 절단 및 가공","판제 절단 및 가공","2000","31","",
"138","특정고압가스업","09_28_14_P","3360000","2018336014512200005","20181119","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1483-5번지","부산광역시 강서구 녹산산단17로14번길 19 (송정동)","46751","썬테크","20181120101343","I","2018-11-22 02:37:47.0","","366383.285561225","179085.209867426","절단 가공용","절단 가공용","2000","8","",
"139","특정고압가스업","09_28_14_P","3360000","2019336014512200004","20190613","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1627-2번지 갑을녹산병원","부산광역시 강서구 녹산산단321로 24-8, 갑을녹산병원 (송정동)","46754","의료법인 갑을의료재단 갑을녹산병원","20190613101911","I","2019-06-15 02:21:11.0","","368927.922925897","178400.84509455","의료용","의료용","1000","100","",
"140","특정고압가스업","09_28_14_P","3360000","2019336014512200002","20190510","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1660-5번지","부산광역시 강서구 녹산산업중로 387 (송정동)","46755","선프라즈마","20190510161022","I","2019-05-12 02:20:43.0","","369754.786174076","178784.13653047","금속융단 및 절단용","금속융단 및 절단용","10000","7","",
"141","특정고압가스업","09_28_14_P","3360000","2019336014512200003","20190605","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1622-2번지","부산광역시 강서구 녹산산업북로313번길 23 (송정동)","46754","(주)대흥포징","20190605180647","I","2019-06-07 02:21:05.0","","369326.900180472","179311.70098178","절단 및 용접용","절단 및 용접용","2000","14","",
"142","특정고압가스업","09_28_14_P","3360000","2019336014512200005","20190627","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1622-2번지","부산광역시 강서구 녹산산업북로313번길 23 (송정동)","46754","(주)대흥포징","20190627161040","I","2019-06-29 02:21:48.0","","369326.900180472","179311.70098178","절단 및 용접용","절단 및 용접용","2000","14","",
"143","특정고압가스업","09_28_14_P","3360000","2020336014512200001","20200204","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1612-1번지","부산광역시 강서구 녹산산단261로40번길 54 (송정동)","46754","(주)대한산업기계","20200204095940","I","2020-02-06 00:23:24.0","","368778.489611212","178585.432032106","절단작업용","절단작업용","1360","2","",
"144","특정고압가스업","09_28_14_P","3360000","2020336014512200002","20200424","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1500-4번지","부산광역시 강서구 녹산산업중로 106 (송정동)","46752","주식회사 영동테크","20200424170116","I","2020-04-26 00:23:32.0","","366937.891639014","178793.260963956","소재 절단용","소재 절단용","672","10","",
"145","특정고압가스업","09_28_14_P","3360000","2021336014512200003","20211015","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 대저2동 3144 서부산철강단지","부산광역시 강서구 유통단지1로97번길 12, 서부산철강단지 316호 (대저2동)","46721","사상철강레이저","20211015152721","I","2021-10-17 00:22:47.0","","377523.629670564","186731.143240823","레이저절단용","레이저절단용","672","2","",
"146","특정고압가스업","09_28_14_P","3360000","2021336014512200001","20210713","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1603-5","부산광역시 강서구 녹산산업중로 287-13 (송정동)","46754","원광소재(주)","20210713182838","I","2021-07-15 00:22:52.0","","368717.034689804","178849.150582448","절단 작업용","절단 작업용","672","10","",
"147","특정고압가스업","09_28_14_P","3360000","2021336014512200002","20210729","","01","영업/정상","BBBB","","","","","","","","","부산광역시 강서구 송정동 1565-6","부산광역시 강서구 녹산산업중로 235 (송정동)","46753","동서열처리 주식회사 (녹산지점)","20210729175343","I","2021-07-31 00:22:51.0","","368214.671028849","178743.929952541","열처리용","사용시설","200","10","",
"148","특정고압가스업","09_28_14_P","3370000","2016337006912200001","20160913","","01","영업/정상","BBBB","","","","","","","","","부산광역시 연제구 연산동 382-10번지","부산광역시 연제구 과정로 272 (연산동)","","한양류마디병원","20160913104136","I","2018-08-31 23:59:59.0","","390995.593384019","189691.934996533","의료용산소","의료용","4000","100","",
"149","특정고압가스업","09_28_14_P","3380000","2020338008212200001","20200316","","01","영업/정상","BBBB","","","","","","","","","부산광역시 수영구 민락동 113-51번지 민락어민활어직판장","부산광역시 수영구 광안해변로312번길 60, 민락어민활어직판장 (민락동)","48281","민락어민활어직판장","20200316164820","I","2020-03-18 00:23:29.0","","393824.915718841","185962.464311289","활어 산소 공급용","활어 산소 공급용","8000","130","",
"150","특정고압가스업","09_28_14_P","3380000","2022338009412200001","20220117","","01","영업/정상","BBBB","","","","","","","","","부산광역시 수영구 민락동 181-204 성진회센터","부산광역시 수영구 민락수변로 5, 성진회센터 (민락동)","48283","성진프라자","20220117174633","I","2022-01-19 00:22:40.0","","393462.263967573","186081.959202605","수조 내 물고기 산소 공급","수조 내 물고기 산소 공급","5280","10","",
"151","특정고압가스업","09_28_14_P","3380000","1998338001502700001","19980516","","01","영업/정상","BBBB","","","","","","051 5555555","","","부산광역시 수영구 민락동 181-228번지","부산광역시 수영구 광안해변로 299 (민락동)","","민락씨랜드 회센터","20111103172011","I","2018-08-31 23:59:59.0","","393659.517967621","186256.137450498","어수조 산소 공급용","액화산소","250","100","",
"152","특정고압가스업","09_28_14_P","3380000","2006338001502700001","20061129","","01","영업/정상","BBBB","","","","","","051 6216434","","","부산광역시 수영구 남천동 52-12번지","부산광역시 수영구 수영로 455  (남천동)","","극동정밀","20061129000000","I","2018-08-31 23:59:59.0","","392198.953810261","185081.085510877","금 세공 열처리","","50","3","",
"153","특정고압가스업","09_28_14_P","3380000","2011338006212200002","20111101","","01","영업/정상","BBBB","","","","","","","","","부산광역시 수영구 민락동 183-8번지","부산광역시 수영구 광안해변로 278 (민락동)","","민락어패류시장","20150930095427","I","2018-08-31 23:59:59.0","","393511.062058498","186122.660732141","활어에 산소공급","활어수조에 산소 공급","5040","1000","",
"154","특정고압가스업","09_28_14_P","3380000","2003338001502700004","20031101","","01","영업/정상","BBBB","","","","","","051 7502582","","","부산광역시 수영구 광안동 525-2번지","부산광역시 수영구 광일로67번길 46 (광안동)","","국방품질관리소 부산분소장","20111103171911","I","2018-08-31 23:59:59.0","","391875.606881155","186727.501551037","냉방기용","중앙","10","10","",
"155","특정고압가스업","09_28_14_P","3380000","2018338007112200003","20181026","","01","영업/정상","BBBB","","","","","","","","","부산광역시 수영구 광안동 491-10번지 BHS한서병원","부산광역시 수영구 수영로 615 (광안동)","48253","BHS한서병원","20181026123218","I","2018-10-28 02:37:52.0","","392473.768378542","186671.3436279","의료용","의료용","10000","450","",
"156","특정고압가스업","09_28_14_P","3380000","2022338009412200002","20220602","","01","영업/정상","BBBB","","","","","","","","","부산광역시 수영구 광안동 174-3","부산광역시 수영구 수영로536번길 71 (광안동)","48299","광안더힐요양병원","20220602184638","I","2022-06-04 00:22:32.0","","392735.378128503","185778.910453796","의료가스","의료가스","160","100","",
"157","특정고압가스업","09_28_14_P","3390000","2019339009112200003","20190121","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 감전동 503-12번지","부산광역시 사상구 낙동대로943번길 63 (감전동)","47030","두성이테크 주식회사","20190121095407","I","2019-01-23 02:20:58.0","","379303.126624699","184308.843347493","수질정화용","액화산소 저장탱크","4900","10","",
"158","특정고압가스업","09_28_14_P","3390000","2019339009112200005","20190320","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 덕포동 426-52번지","부산광역시 사상구 사상로 280 (덕포동)","46954","의료법인 현백의료재단 사상제일요양병원","20190320135533","I","2019-03-22 05:20:02.0","","380563.701909036","187420.728319018","의료용","액화산소:336.54kg*2개
압축산소:60kg*4개","800","100","",
"159","특정고압가스업","09_28_14_P","3390000","2019339009112200004","20190306","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 학장동 729-12번지","부산광역시 사상구 새벽로17번길 43 (학장동)","47025","대진열처리","20190306162352","I","2019-03-08 02:21:43.0","","380137.183270912","184465.768101958","열처리","저장용기","120","3","",
"160","특정고압가스업","09_28_14_P","3390000","2019339009112200006","20190603","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 엄궁동 651-34번지","부산광역시 사상구 강변대로456번길 37 (엄궁동)","47033","대림금속레이저","20190603124355","I","2019-06-05 02:21:04.0","","379036.726844625","182472.352797937","절단용","액화산소 168kg*2통","336","17","",
"161","특정고압가스업","09_28_14_P","3390000","2019339009112200008","20190610","","01","영업/정상","BBBB","","","","","","","","","부산광역시 사상구 감전동 512-13번지 (주)유성정밀","부산광역시 사상구 낙동대로 856 (주)유성정밀 (감전동)","47029","(주)유성정밀","20190610172833","I","2019-06-12 02:21:25.0","","379611.687415321","183777.949602864","레이저 절단용","초저온용기(168.27kg*6통) 보관 사용","1848","42","",
