"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","영업내용",
"911","옥외광고업","04_15_01_P","3300000","2015330008408500005","20150922","","03","폐업","40","폐업","20181015","","","","051 583 5786","","","부산광역시 동래구 온천동 ****-*번지","부산광역시 동래구 우장춘로 ** (온천동)","47724","(주)자우 디자인","20181116111904","U","2018-11-18 02:36:27.0","","388417.661259556","191968.986804918","옥외광고물 관련, 옥외광고",
"912","옥외광고업","04_15_01_P","3300000","2004330005608200006","20090119","","03","폐업","40","폐업","20090119","","","","051 5532910","","","부산광역시 동래구 온천동 ***-*번지","부산광역시 동래구 차밭골로 *  (온천동)","","우리손광고","20090415115759","I","2018-08-31 23:59:59.0","","389378.99811194","192674.130450362","옥외광고물등제작",
"913","옥외광고업","04_15_01_P","3300000","2004330005608200008","20040811","","03","폐업","40","폐업","","","","","5254504","","","부산광역시 동래구 안락동 ***-*번지","부산광역시 동래구 온천천로***번길 **  (안락동)","","녹색안전상사","20100826150724","I","2018-08-31 23:59:59.0","","392332.745096318","190277.286734136","옥외광고물 제작등",
"914","옥외광고업","04_15_01_P","3300000","2004330005608200009","20041021","","03","폐업","40","폐업","20210720","","","","051 505 0412","","","부산광역시 동래구 온천동 ****-*","부산광역시 동래구 충렬대로**번길 ** (온천동)","","애드인광고","20211203170254","U","2021-12-05 02:40:00.0","","388441.040431319","191539.536301747","옥외광고물 제작",
"915","옥외광고업","04_15_01_P","3300000","2004330005608200010","20041224","","03","폐업","40","폐업","20071224","","","","051 5061555","","","부산광역시 동래구 온천동 ****-**번지","부산광역시 동래구 여고북로 **  (온천동)","","간판나라","20100826134228","I","2018-08-31 23:59:59.0","","388282.845021137","191010.806728407","옥외간판 제작",
"916","옥외광고업","04_15_01_P","3300000","2004330005708200113","20040226","","03","폐업","40","폐업","","","","","051553 1754","","","부산광역시 동래구 온천동 ****-**번지 프리존 O/T ****","부산광역시 동래구 온천장로 **  (온천동,프리존 O/T ****)","","동명애드","20100827093825","I","2018-08-31 23:59:59.0","","389256.271890501","192445.394140917","간판제작",
"917","옥외광고업","04_15_01_P","3300000","2005330005608200001","20050124","","03","폐업","40","폐업","20100715","","","","","","","부산광역시 동래구 명장동 ***-**번지","부산광역시 동래구 명장로***번길 *-*  (명장동)","","좋은사이","20100715175751","I","2018-08-31 23:59:59.0","","392122.303588207","191214.142719513","옥외광고물 제작",
"918","옥외광고업","04_15_01_P","3300000","1996330005208200270","19961119","","03","폐업","40","폐업","20090501","","","","051 5288243","","","부산광역시 동래구 안락동 ***-**번지","부산광역시 동래구 명장로**번길 ***  (안락동)","","태극광고사","20100826131811","I","2018-08-31 23:59:59.0","","391265.99740942","191046.427643265","옥외광고물제작",
"919","옥외광고업","04_15_01_P","3300000","1997330005208200273","19970205","","03","폐업","40","폐업","20130422","","","","051 5065203","","","부산광역시 동래구 온천동 ****-**번지","부산광역시 동래구 아시아드대로***번길 * (온천동)","","핸디맨광고기획","20130423100514","I","2018-08-31 23:59:59.0","","388131.308828378","191220.551033137","옥외광고물등제작",
"920","옥외광고업","04_15_01_P","3300000","1997330005208200283","19970613","","03","폐업","40","폐업","20020912","","","","051 5011424","","","부산광역시 동래구 온천동 ****-*번지","부산광역시 동래구 미남로 **  (온천동)","","대종광고기획","20100826145854","I","2018-08-31 23:59:59.0","","388434.940695959","191083.807354955","광고물제작",
"921","옥외광고업","04_15_01_P","3300000","2005330005708200003","20050422","","03","폐업","40","폐업","20070627","","","","","","","부산광역시 동래구 명륜동 ***-***번지","부산광역시 동래구 명륜로 ***  (명륜동)","","한울광고기획","20090416152359","I","2018-08-31 23:59:59.0","","389610.219398883","192301.121922445","간판 및 광고물 제조",
"922","옥외광고업","04_15_01_P","3300000","2014330008408500003","20140806","","03","폐업","40","폐업","20160405","","","","","","","부산광역시 동래구 온천동 ****-**번지","부산광역시 동래구 우장춘로*번길 ** (온천동)","607837","디자인팩토리","20160405131337","I","2018-08-31 23:59:59.0","","388634.436140265","191821.05608587","광고물 제작",
"923","옥외광고업","04_15_01_P","3300000","2014330008408500006","20061121","","03","폐업","40","폐업","20210129","","","","051 507 2033","","","부산광역시 동래구 사직동 ***-**","부산광역시 동래구 여고로 ** (사직동)","47875","모아광고","20210201145019","U","2021-02-03 02:40:00.0","","388043.081400006","190423.902336422","옥외광고물 제작 및 설치",
"924","옥외광고업","04_15_01_P","3300000","2015330008408500002","20150727","","03","폐업","40","폐업","20180904","","","","","","","부산광역시 동래구 낙민동 **-*번지","부산광역시 동래구 반송로 *** (낙민동)","607800","세이버산업","20180904164230","U","2018-09-04 23:59:59.0","","390775.241439658","190667.265488945","광고물 제작",
"925","옥외광고업","04_15_01_P","3300000","2015330008408500003","20150824","","03","폐업","40","폐업","20171030","","","","","","","부산광역시 동래구 사직동 ***-**번지","부산광역시 동래구 여고로***번길 **-* (사직동)","47831","부림광고","20171128094321","I","2018-08-31 23:59:59.0","","388871.161010673","190984.946906471","광고물 제작 및 시공",
"926","옥외광고업","04_15_01_P","3300000","2005330005608200003","20050127","","03","폐업","40","폐업","","","","","","","","부산광역시 동래구 안락동 ***-*번지","부산광역시 동래구 연안로**번길 **  (안락동)","","기농광고","20100827093237","I","2018-08-31 23:59:59.0","","392306.244469625","190101.454632523","간판 제작",
"927","옥외광고업","04_15_01_P","3300000","2008330006908500014","20081215","","03","폐업","40","폐업","20100927","","","","","","","부산광역시 동래구 수안동 **-**번지","부산광역시 동래구 수안로 **-*  (수안동)","","(주)제이엠디","20101005100730","I","2018-08-31 23:59:59.0","","389972.930940029","190613.013148289","간판 제작 설치",
"928","옥외광고업","04_15_01_P","3300000","2009330006908500001","20090130","","03","폐업","40","폐업","20111004","","","","051 3016566","","","부산광역시 동래구 안락동 **-**번지","부산광역시 동래구 삼어로 **  (안락동)","","주식회사 포앤텍","20111004133709","I","2018-08-31 23:59:59.0","","392598.514947185","191173.121860294","간판 제작 설치",
"929","옥외광고업","04_15_01_P","3300000","2005330005608200005","20050211","","03","폐업","40","폐업","20161108","","","","051 558 5433","","","부산광역시 동래구 수안동 *-*번지","부산광역시 동래구 충렬대로 *** (수안동)","","영 애드컴","20161108103802","I","2018-08-31 23:59:59.0","","389656.400844292","191141.258855822","옥외광고물제작",
"930","옥외광고업","04_15_01_P","3300000","2010330006908500003","20100319","","03","폐업","40","폐업","20111014","","","","1544 4361","","","부산광역시 동래구 온천동 ***-**번지","부산광역시 동래구 금강로 **  (온천동)","","에녹365","20111014101344","I","2018-08-31 23:59:59.0","","389213.080140064","192847.867439461","현수막 제작 등",
"931","옥외광고업","04_15_01_P","3300000","2015330008408500006","19980423","","03","폐업","40","폐업","20210113","","","","051 866 4892","","","부산광역시 동래구 온천동 ****-*","부산광역시 동래구 충렬대로***번길 ** (온천동)","47734","광고박사","20210113102746","U","2021-01-15 02:40:00.0","","388988.464965695","191665.174296927","옥외광고등",
"932","옥외광고업","04_15_01_P","3300000","2016330009508500001","20040628","","03","폐업","40","폐업","20190114","","","","","","","부산광역시 동래구 명장동 ***-*번지","부산광역시 동래구 시실로 *** (명장동)","47750","효성기획","20190114150553","U","2019-01-16 02:40:00.0","","391150.454370143","191699.489304677","옥외광고 제작",
"933","옥외광고업","04_15_01_P","3300000","2016330009508500002","20170316","","03","폐업","40","폐업","20191001","","","","051 507 0871","","","부산광역시 동래구 온천동 ****-*번지","부산광역시 동래구 석사북로 *** (온천동)","47851","(주)한주기획","20191015145024","U","2019-10-17 02:40:00.0","","388225.190759863","191555.869131759","광고물 제작",
"934","옥외광고업","04_15_01_P","3300000","2009330006908500004","20090806","","03","폐업","40","폐업","20161005","","","","051 553 1742","","","부산광역시 동래구 수안동 **-*번지","부산광역시 동래구 온천천로 *** (수안동)","607823","한길광고기획","20161108175756","I","2018-08-31 23:59:59.0","","390284.9655562","190327.420701973","간판제작 수리",
"935","옥외광고업","04_15_01_P","3300000","2009330006908500006","20091203","","03","폐업","40","폐업","20101130","","","","","","","부산광역시 동래구 사직동 ***-*번지","부산광역시 동래구 아시아드대로***번길 **  (사직동)","","주식회사 더파인","20101130112601","I","2018-08-31 23:59:59.0","","388493.056063865","190392.731783274","간판제작",
"936","옥외광고업","04_15_01_P","3300000","2000330005208200357","20000415","","03","폐업","40","폐업","20090119","","","","051 505 0109","","","부산광역시 동래구 온천동 ****-**번지","부산광역시 동래구 아시아드대로***번길 **  (온천동)","","삼부애드","20090415150609","I","2018-08-31 23:59:59.0","","388093.054814699","191380.81055559","옥외광고물등제작",
"937","옥외광고업","04_15_01_P","3300000","2000330005208200359","20000422","","03","폐업","40","폐업","20100820","","","","","","","부산광역시 동래구 온천동 ****-*번지","부산광역시 동래구 충렬대로 ***  (온천동)","","청산광고","20100820140308","I","2018-08-31 23:59:59.0","","388874.244108378","191551.504459601","옥외광고물등제작",
"938","옥외광고업","04_15_01_P","3300000","2002330005208200313","19980804","","03","폐업","40","폐업","20020906","","","","051 5564885","","","부산광역시 동래구 명륜동 ***-**번지","","","이원세이프티","20100826142654","I","2018-08-31 23:59:59.0","","389401.136471858","191579.054299557","광고물제작",
"939","옥외광고업","04_15_01_P","3300000","2006330005708200007","20060623","","03","폐업","40","폐업","20090119","","","","","","","부산광역시 동래구 명장동 ***-*번지","부산광역시 동래구 시실로 ***  (명장동)","","이룸","20090415170720","I","2018-08-31 23:59:59.0","","391150.454370143","191699.489304677","광고물제작",
"940","옥외광고업","04_15_01_P","3300000","2006330005708200008","20091123","","03","폐업","40","폐업","","","","","051 5254775","","","부산광역시 동래구 안락동 ***-*번지","부산광역시 동래구 충렬대로 ***-*  (안락동)","","부건","20100826131318","I","2018-08-31 23:59:59.0","","391305.794544475","190690.216708063","상호변경",
"941","옥외광고업","04_15_01_P","3300000","2006330005708200010","20061215","","03","폐업","40","폐업","20070627","","","","051 5048555","","","부산광역시 동래구 온천동 ****-*번지","부산광역시 동래구 충렬대로**번길 **  (온천동)","","(주)거인","20090416153252","I","2018-08-31 23:59:59.0","","388441.040431319","191539.536301747","광고물등 제작, 대행업",
"942","옥외광고업","04_15_01_P","3300000","2007330005708200001","20070419","","03","폐업","40","폐업","20120716","","","","051 521 5152","","","부산광역시 동래구 안락동 ***-*번지","부산광역시 동래구 안락로 ** (안락동)","","성일 아크릴","20120813170252","I","2018-08-31 23:59:59.0","","391481.803291319","190991.342142626","간판재료, 간판",
"943","옥외광고업","04_15_01_P","3300000","2007330005708200003","20070523","","03","폐업","40","폐업","20091203","","","","","","","부산광역시 동래구 사직동 ***-*번지","부산광역시 동래구 아시아드대로***번길 **  (사직동)","","더 파인","20100826130912","I","2018-08-31 23:59:59.0","","388493.056063865","190392.731783274","간판제조, 간판수출",
"944","옥외광고업","04_15_01_P","3300000","1999330005208200340","19990907","","03","폐업","40","폐업","","","","","051 5058933","","","부산광역시 동래구 온천동 ****-**번지","부산광역시 동래구 우장춘로*번길 **  (온천동)","","라이프기획","20100907143534","I","2018-08-31 23:59:59.0","","388641.534817675","191792.635408597","옥외광고물등제작",
"945","옥외광고업","04_15_01_P","3300000","1999330005208200344","19991206","","03","폐업","40","폐업","20100708","","","","051 5046614","","","부산광역시 동래구 사직동 **-**번지","부산광역시 동래구 석사북로 *  (사직동)","","조성광고","20100826115230","I","2018-08-31 23:59:59.0","","387527.525199506","190858.815429998","광고물제작",
"946","옥외광고업","04_15_01_P","3300000","2000330005208200360","20170922","","03","폐업","40","폐업","20170922","","","","051 501 6704","","","부산광역시 동래구 사직동 ***-**번지","부산광역시 동래구 여고로 ** (사직동)","","한국DG","20170922125552","I","2018-08-31 23:59:59.0","","388269.085927374","190467.883619258","옥외광고물등제작",
"947","옥외광고업","04_15_01_P","3300000","2005330005708200008","20090119","","03","폐업","40","폐업","20090119","","","","","","","부산광역시 동래구 명장동 ***-**번지","부산광역시 동래구 명장로 ***-*  (명장동)","","자우 애드","20090415143945","I","2018-08-31 23:59:59.0","","392233.703025533","191125.46659313","간판 제조",
"948","옥외광고업","04_15_01_P","3300000","2007330005708200002","20070427","","03","폐업","40","폐업","20130325","","","","051 5291066","","","부산광역시 동래구 안락동 ***-**번지","","","우진금속","20130325110230","I","2018-08-31 23:59:59.0","","","","건물부착용금속공작물 간판",
"949","옥외광고업","04_15_01_P","3300000","2007330005708200004","20070710","","03","폐업","40","폐업","20130913","","","","051 5531754","","","부산광역시 동래구 온천동 ****-**번지 프리존 O/T ****","부산광역시 동래구 온천장로 ** (온천동,프리존 O/T ****)","","동명애드","20131204163627","I","2018-08-31 23:59:59.0","","389256.271890501","192445.394140917","광고 대행",
"950","옥외광고업","04_15_01_P","3300000","2007330005708500001","20070720","","03","폐업","40","폐업","20081112","","","","","","","부산광역시 동래구 사직동 ***-**번지","부산광역시 동래구 여고로**번가길 **  (사직동)","","흥진","20100826132300","I","2018-08-31 23:59:59.0","","388411.478767377","190663.360548107","간판 및 간판자재 제작",
"951","옥외광고업","04_15_01_P","3300000","2007330005708500007","20091123","","03","폐업","40","폐업","20091123","","","","","","","부산광역시 동래구 안락동 ***-**번지","부산광역시 동래구 충렬대로 ***  (안락동)","","나눔 디자인클럽","20100826131227","I","2018-08-31 23:59:59.0","","391251.20488996","190704.959397685","간판제작, 간판설치 및 A/S, 실내인테리어",
"952","옥외광고업","04_15_01_P","3300000","2007330005708500008","20150611","","03","폐업","40","폐업","20161104","","","","7531441","","","부산광역시 동래구 안락동 ***-**번지","부산광역시 동래구 연안로**번길 ** (안락동)","607825","(주)진컴","20161108175623","I","2018-08-31 23:59:59.0","","392302.060265862","189964.057568753","옥외광고물 제작",
"953","옥외광고업","04_15_01_P","3300000","2008330005708500001","20080227","","03","폐업","40","폐업","20091123","","","","","","","부산광역시 동래구 온천동 ***-**번지","부산광역시 동래구 차밭골로**번길 *  (온천동)","","연합기획","20100826131401","I","2018-08-31 23:59:59.0","","389274.014696593","192801.751127293","광고기획, 매체광고대행",
"954","옥외광고업","04_15_01_P","3300000","2003330005608200002","20031204","","03","폐업","40","폐업","20090119","","","","051 5521747","","","부산광역시 동래구 온천동 ****-*번지","부산광역시 동래구 아시아드대로 ***-*  (온천동)","","성원애드컴","20100826143832","I","2018-08-31 23:59:59.0","","388062.019242571","191236.845154944","옥외광고물등제작",
"955","옥외광고업","04_15_01_P","3300000","1999330005208200326","19990330","","03","폐업","40","폐업","20090119","","","","051 5060707","","","부산광역시 동래구 사직동 ***-*번지","","","광고기획남도.꽃과나","20090415145955","I","2018-08-31 23:59:59.0","","387914.635997593","190742.36225802","옥외광고물제작",
"956","옥외광고업","04_15_01_P","3300000","1999330005208200330","20130718","","03","폐업","40","폐업","20130718","","","","051 7510048","","","부산광역시 수영구 망미동 ****번지","","","현대후렘","20191129161205","U","2019-12-01 02:40:00.0","","","","옥외광고물등제작",
"957","옥외광고업","04_15_01_P","3300000","1999330005208200335","19990720","","03","폐업","40","폐업","20081107","","","","051 5010040","","","부산광역시 동래구 사직동 **-*번지","부산광역시 동래구 사직북로**번길 **  (사직동)","","현대애드벌룬","20081107105753","I","2018-08-31 23:59:59.0","","387379.247963011","190735.890824349","옥외광고물제작",
"958","옥외광고업","04_15_01_P","3300000","2005330005708200007","20050714","","03","폐업","40","폐업","20070627","","","","051 5555546","","","부산광역시 동래구 수안동 **-**번지","","","동보애드","20090416151218","I","2018-08-31 23:59:59.0","","","","간판 및 광고물 제작",
"959","옥외광고업","04_15_01_P","3300000","2000330005208200350","20000124","","03","폐업","40","폐업","20090119","","","","051 5553309","","","부산광역시 동래구 온천동 ***-**번지","부산광역시 동래구 차밭골로 *  (온천동)","","영진광고","20090415170945","I","2018-08-31 23:59:59.0","","389396.621388995","192664.424458292","광고물제작",
"960","옥외광고업","04_15_01_P","3300000","2000330005208200353","20000212","","03","폐업","40","폐업","20070627","","","","051 5524568","","","부산광역시 동래구 수안동 **-*번지","부산광역시 동래구 수안로 **  (수안동)","","프로젝트","20090416150852","I","2018-08-31 23:59:59.0","","389911.921435189","190598.956607613","광고물제작",
"961","옥외광고업","04_15_01_P","3300000","2000330005208200355","20000316","","03","폐업","40","폐업","20090119","","","","","","","부산광역시 동래구 안락동 ***-*번지","부산광역시 동래구 충렬대로 ***-*  (안락동)","","산하광고","20090415145700","I","2018-08-31 23:59:59.0","","391518.68735843","190656.233259444","광고물제작",
"962","옥외광고업","04_15_01_P","3300000","2005330005708200011","20090119","","03","폐업","40","폐업","20090119","","","","051 5575601","","","부산광역시 동래구 복천동 ***-*번지","","","대한사인랜드","20090415145129","I","2018-08-31 23:59:59.0","","","","광고자재 간판제작",
"963","옥외광고업","04_15_01_P","3300000","2005330005708200005","20050704","","03","폐업","40","폐업","20070627","","","","051 5037201","","","부산광역시 동래구 사직동 **-*번지","","","디자인전문회사 이슈","20090416153431","I","2018-08-31 23:59:59.0","","387983.140369069","190704.390342542","서비스 제조",
"964","옥외광고업","04_15_01_P","3300000","2005330005708200012","20050824","","03","폐업","40","폐업","20070627","","","","051 5252040","","","부산광역시 동래구 안락동 ***-**번지","","","(주)지앤씨테크","20090416154032","I","2018-08-31 23:59:59.0","","","","옥내외광고물제작",
"965","옥외광고업","04_15_01_P","3300000","2000330005208200367","20000627","","03","폐업","40","폐업","20070627","","","","051 5020619","","","부산광역시 동래구 사직동 ***-**번지","부산광역시 동래구 여고로***번길 **-*  (사직동)","","한라광고사","20090416153609","I","2018-08-31 23:59:59.0","","388871.161010673","190984.946906471","옥외광고물등제작",
"966","옥외광고업","04_15_01_P","3300000","2011330006908500002","20110412","","03","폐업","40","폐업","20110921","","","","051 583 8743","","","부산광역시 동래구 사직동 ***-*번지 ***호","부산광역시 동래구 여고북로 *** (사직동,***호)","","하이기획","20121008105426","I","2018-08-31 23:59:59.0","","388892.250750623","191208.537100761","광고대행, 광고물제작, 디자인",
"967","옥외광고업","04_15_01_P","3300000","2000330005208200370","20000902","","03","폐업","40","폐업","20020624","","","","051 5027668","","","부산광역시 동래구 안락동 ***-**번지","부산광역시 동래구 반송로 ***  (안락동)","","애드프로","20000902000000","I","2018-08-31 23:59:59.0","","391025.66902914","191174.848100834","광고물제작",
"968","옥외광고업","04_15_01_P","3300000","2005330005708200015","20051012","","03","폐업","40","폐업","20070627","","","","","","","부산광역시 동래구 온천동 ***-**번지","부산광역시 동래구 중앙대로 ****  (온천동)","","(주)진양기획","20090416153020","I","2018-08-31 23:59:59.0","","389561.819409173","192791.828430037","광고물 기획 제작",
"969","옥외광고업","04_15_01_P","3300000","2005330005708200016","20051101","","03","폐업","40","폐업","20070612","","","","051 5250932","","","부산광역시 동래구 안락동 ***-*번지","부산광역시 동래구 안남로 **  (안락동)","","첨단산업","20100826143146","I","2018-08-31 23:59:59.0","","391088.509065661","190314.968600247","간판자재, 철물, 광고물제작",
"970","옥외광고업","04_15_01_P","3300000","2003330005608200003","20031223","","03","폐업","40","폐업","20070627","","","","051 5046912","","","부산광역시 동래구 온천동 ****-**번지","부산광역시 동래구 여고북로 ***  (온천동)","","천우애드","20090416152811","I","2018-08-31 23:59:59.0","","389087.722137572","191254.863951549","옥외광고물등제작",
"971","옥외광고업","04_15_01_P","3300000","2004330005608200001","20040109","","03","폐업","40","폐업","20191231","","","","051 5015524","","","부산광역시 동래구 사직동 **-**","부산광역시 동래구 사직북로**번길 ** (사직동)","47856","유일","20201111173735","U","2020-11-13 02:40:00.0","","387643.586448873","190858.616912956","옥외광고물등제작",
"972","옥외광고업","04_15_01_P","3300000","2005330005708200001","20050321","","03","폐업","40","폐업","20070627","","","","","","","부산광역시 동래구 온천동 ****-**번지","부산광역시 동래구 아시아드대로 ***-*  (온천동)","","원앤투","20090416152911","I","2018-08-31 23:59:59.0","","388135.398337536","191260.584558598","간판및광고물 제조",
"973","옥외광고업","04_15_01_P","3300000","2005330005708200002","20050421","","03","폐업","40","폐업","20090202","","","","","","","부산광역시 동래구 안락동 ***-*번지","부산광역시 동래구 연안로**번길 **  (안락동)","","기농광고","20100826132031","I","2018-08-31 23:59:59.0","","392306.244469625","190101.454632523","간판제조",
"974","옥외광고업","04_15_01_P","3300000","2010330006908500007","20100610","","03","폐업","40","폐업","20150414","","","","051 7444771","","","부산광역시 동래구 수안동 ***-*번지","부산광역시 동래구 충렬대로***번길 ** (수안동)","607823","(주)수가이앤씨","20150414090750","I","2018-08-31 23:59:59.0","","389825.202958159","190963.837138882","광고물 디자인및 제작 설치",
"975","옥외광고업","04_15_01_P","3300000","2005330005708200006","20050706","","03","폐업","40","폐업","20121217","","","","051 5520004","","","부산광역시 동래구 온천동 ****-**번지 대영빌딩 *층","부산광역시 동래구 충렬대로 ** (온천동,대영빌딩 *층)","","토마코","20121217155233","I","2018-08-31 23:59:59.0","","388532.936821714","191774.030080915","광고대행, 기획, 인쇄, 미디어이벤트, 프로모션",
"976","옥외광고업","04_15_01_P","3300000","2011330006908500005","20131230","","03","폐업","40","폐업","20131230","","","","0515329822","","","부산광역시 동래구 안락동 ***-**번지 *층","부산광역시 동래구 반송로 *** (안락동,*층)","","손정식간판만들기","20131231131434","I","2018-08-31 23:59:59.0","","391083.207597553","191188.034813625","간판제작 설치",
"977","옥외광고업","04_15_01_P","3300000","2011330006908500006","20110811","","03","폐업","40","폐업","20150904","","","","","","","부산광역시 동래구 사직동 **-**번지 보현타워 ***호","부산광역시 동래구 석사로 **, ***호 (사직동,보현타워)","","(주)리카","20150904090817","I","2018-08-31 23:59:59.0","","387832.056749615","190917.359997828","간판 제작",
"978","옥외광고업","04_15_01_P","3300000","2005330005708200013","20050826","","03","폐업","40","폐업","20090119","","","","051 5079873","","","부산광역시 동래구 온천동 ****번지","부산광역시 동래구 아시아드대로 ***-*  (온천동)","","종합광고 선 디자인","20090415143836","I","2018-08-31 23:59:59.0","","388247.389176666","191652.718577375","간판제작, 인테리어",
"979","옥외광고업","04_15_01_P","3300000","2005330005708200014","20090119","","03","폐업","40","폐업","20090119","","","","0515075 585","","","부산광역시 동래구 온천동 ****-**번지","부산광역시 동래구 충렬대로***번길 **  (온천동)","","프리즘","20090415144208","I","2018-08-31 23:59:59.0","","388927.80835875","191415.683256677","광고물제작, 광고대행",
"980","옥외광고업","04_15_01_P","3300000","2010330006908500002","20100222","","03","폐업","40","폐업","20200918","","","","","","","부산광역시 동래구 사직동 ***-*","부산광역시 동래구 쇠미로 ***-* (사직동)","","디자인도스","20200918103701","U","2020-09-20 02:40:00.0","","387547.216365957","191168.887090177","간판제작설치",
"981","옥외광고업","04_15_01_P","3300000","2010330006908500005","20100423","","03","폐업","40","폐업","20131004","","","","","","","부산광역시 동래구 수안동 *-*번지","부산광역시 동래구 충렬대로***번길 ** (수안동)","","신일광고","20131119174748","I","2018-08-31 23:59:59.0","","389667.6056195","190915.765778668","광고물제작",
"982","옥외광고업","04_15_01_P","3300000","2010330006908500009","20060601","","03","폐업","40","폐업","20161006","","","","","","","부산광역시 동래구 안락동 ***-**번지","부산광역시 동래구 안락로 ** (안락동)","","구성광고","20180904150108","U","2018-09-04 23:59:59.0","","391460.6578175","190996.695929054","간판제작및 광고물기획",
"983","옥외광고업","04_15_01_P","3300000","2010330006908500011","20131230","","03","폐업","40","폐업","20131230","","","","051 507 8870","","","부산광역시 동래구 안락동 ***-**번지","부산광역시 동래구 안남로 ***-* (안락동)","","(주)신성애드","20131231115416","I","2018-08-31 23:59:59.0","","391849.42883400000","190435.42595100000","옥외광고물제작및설치",
"984","옥외광고업","04_15_01_P","3300000","2011330006908500003","20121210","","03","폐업","40","폐업","20150824","","","","051 5552345","","","부산광역시 동래구 사직동 **-**번지","부산광역시 동래구 석사로**번길 **, ***호 (사직동)","607840","동양기획","20150923093639","I","2018-08-31 23:59:59.0","","387848.445328533","190566.35502123","간판제작 및 시공",
"985","옥외광고업","04_15_01_P","3300000","2011330006908500009","20111208","","03","폐업","40","폐업","20121119","","","","","","","부산광역시 동래구 복천동 **-**번지","부산광역시 동래구 복천로 ** (복천동)","","세이버","20121119133248","I","2018-08-31 23:59:59.0","","390226.673363933","191754.538350371","옥외광고업",
"986","옥외광고업","04_15_01_P","3300000","2011330006908500004","20110621","","03","폐업","40","폐업","20150601","","","","051 5431516","","","부산광역시 동래구 안락동 ***-**번지 *층","부산광역시 동래구 충렬대로***번길 ** (안락동,*층)","","오케이광고나라","20150601101242","I","2018-08-31 23:59:59.0","","391622.570095931","190474.194581989","간판제작 및 현수막 제작",
"987","옥외광고업","04_15_01_P","3300000","2005330005708200018","20051124","","03","폐업","40","폐업","20070627","","","","051 5030272","","","부산광역시 동래구 온천동 ****-**번지","부산광역시 동래구 석사북로 **-*  (온천동)","","대명엔터프라이스","20090416153107","I","2018-08-31 23:59:59.0","","387882.142099458","191286.764340234","광고제작, 현수막제작, 실내장식, 전대업",
"988","옥외광고업","04_15_01_P","3300000","2012330006908500004","20120217","","03","폐업","40","폐업","20210531","","","","051 531 0017","","","부산광역시 동래구 안락동 ***-*","부산광역시 동래구 온천천로***번길 ** (안락동)","607825","(주)우전애드","20210719105022","U","2021-07-21 02:40:00.0","","392351.240432651","190182.857714765","간판제작 및 광고대행",
"989","옥외광고업","04_15_01_P","3300000","2011330006908500007","20110811","","03","폐업","40","폐업","20170701","","","","051 503 1104","","","부산광역시 동래구 온천동 ***-*번지","부산광역시 동래구 우장춘로 ***-* (온천동)","","신광사","20190725161223","U","2019-07-27 02:40:00.0","","389029.50703099","193076.102886906","광고물 제작",
"990","옥외광고업","04_15_01_P","3300000","2002330005208200405","20020615","","03","폐업","40","폐업","20070627","","","","","","","부산광역시 동래구 명륜동 ***-**번지","","","동우플래그","20090416152215","I","2018-08-31 23:59:59.0","","","","옥외광고물등제작",
"991","옥외광고업","04_15_01_P","3300000","2014330008408500004","20100816","","03","폐업","40","폐업","20210713","","","","051 818 6111","","","부산광역시 동래구 온천동 ***","부산광역시 동래구 우장춘로 ** (온천동)","607061","세종애드","20210713144143","U","2021-07-15 02:40:00.0","","388501.384532674","192096.680656833","옥외광고 제작 및 대행",
"992","옥외광고업","04_15_01_P","3300000","2020330009508500006","20201112","","03","폐업","40","폐업","20210302","","","","","","","부산광역시 동래구 사직동 ***-**","부산광역시 동래구 여고로***번길 ** (사직동)","47830","디자인애드","20210302130551","U","2021-03-04 02:40:00.0","","388842.534431198","190997.677634144","옥외광고사업",
"993","옥외광고업","04_15_01_P","3300000","2021330009508500002","20210222","","03","폐업","40","폐업","20210525","","","","","","","부산광역시 동래구 사직동 ***-*","부산광역시 동래구 여고로**번길 **, *층 (사직동)","47841","디자인하우스","20210525174539","U","2021-05-27 02:40:00.0","","388408.660844377","190939.823684456","옥내외광고물및간판/사인시스템디자인 및 설계 시공
전시/사인/패널디자인 및 설치 시공",
"994","옥외광고업","04_15_01_P","3300000","2006330005708200003","20080114","","04","취소/말소/만료/정지/중지","70","취소","20090119","","","","051 5245379","","","부산광역시 동래구 명장동 **-*번지 삼성타운상가 *호 ***동 ***호","","","주)플랜두 스페이스 부산지사(최수환)","20130719134018","I","2018-08-31 23:59:59.0","","391202.373979842","191289.345957951","간판, 인테리어, 옥외광고",
"995","옥외광고업","04_15_01_P","3300000","2008330006908500008","20080819","","04","취소/말소/만료/정지/중지","70","취소","20150730","","","","","","","부산광역시 동래구 온천동 ***-**","부산광역시 동래구 금강로 ** (온천동)","","성산아크릴","20200721140705","U","2020-07-23 02:40:00.0","","388715.508686153","192396.479023438","광고물 제작 설치",
