"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",
"168","숙박업","03_11_03_P","3260000","3260000-201-2022-00001","20220221","","01","영업/정상","01","영업","","","","","051  9202073","1,249.74","602832","부산광역시 서구 암남동 234","부산광역시 서구 송도해변로 97 (암남동)","49269","부산송도호텔","20220315165604","U","2022-03-17 02:40:00.0","일반호텔","383950.781222238","177207.361349884","일반호텔","0","0","4","19","0","0","0","55","0","N","0","","","","","0","0","0","0","0","N",
"169","숙박업","03_11_03_P","3260000","3260000-201-1971-00739","19711207","","01","영업/정상","01","영업","","","","","051 2565884",".00","602832","부산광역시 서구 암남동 136-4번지","부산광역시 서구 송도해변로173번길 55 (암남동)","49269","남산장","20171127171503","I","2018-08-31 23:59:59.0","여관업","384312.430173546","177259.440732478","여관업","0","0","0","0","0","0","0","6","0","N","0","","","","","0","","","0","0","N",
"170","숙박업","03_11_03_P","3260000","3260000-201-1967-00468","19671118","","01","영업/정상","01","영업","","","","","051 2422862",".00","602011","부산광역시 서구 충무동1가 14-0번지 T통B반","부산광역시 서구 새벽시장길 6 (충무동1가)","49254","부산","20171127170701","I","2018-08-31 23:59:59.0","여인숙업","384578.282159997","179316.314780659","여인숙업","0","0","0","0","0","0","11","0","0","N","0","","","","","0","","","0","0","N",
"171","숙박업","03_11_03_P","3260000","3260000-201-1967-00473","19670721","","01","영업/정상","01","영업","","","","","051 2420848",".00","602011","부산광역시 서구 충무동1가 32-4번지","부산광역시 서구 새벽시장길 34 (충무동1가)","49254","남선","20171127170722","I","2018-08-31 23:59:59.0","여인숙업","384550.833910158","179178.462447779","여인숙업","0","0","0","0","0","0","11","0","0","N","0","","","","","0","","","0","0","N",
"172","숙박업","03_11_03_P","3260000","3260000-201-1997-00463","19971014","","01","영업/정상","01","영업","","","","","051 2435507","34.41","602011","부산광역시 서구 충무동1가 12-67","부산광역시 서구 새벽시장길 7 (충무동1가)","49254","광명","20220622132646","U","2022-06-24 02:40:00.0","여인숙업","384588.005000596","179301.272771563","여인숙업","0","0","0","0","0","0","10","0","0","N","0","","","","","0","0","0","0","0","N",
"173","숙박업","03_11_03_P","3260000","3260000-201-1964-00466","19640731","","01","영업/정상","01","영업","","","","","051 2489206",".00","602011","부산광역시 서구 충무동1가 14-6번지","부산광역시 서구 새벽시장길 8 (충무동1가)","49254","신광","20171127170504","I","2018-08-31 23:59:59.0","여인숙업","384576.770920602","179306.096859107","여인숙업","0","0","0","0","0","0","9","0","0","N","0","","","","","0","","","0","0","N",
"174","숙박업","03_11_03_P","3260000","3260000-201-1971-00334","19710721","","01","영업/정상","01","영업","","","","","051 2415446",".00","602827","부산광역시 서구 아미동2가 26-12번지 T통B반","부산광역시 서구 까치고개로197번길 33-26 (아미동2가)","49241","정","20190816100026","U","2019-08-18 02:40:00.0","여인숙업","383864.762388723","179912.715231605","여인숙업","0","0","0","0","0","0","7","0","0","N","0","","","","","0","","","0","0","N",
"175","숙박업","03_11_03_P","3260000","3260000-201-2010-00001","20100105","","01","영업/정상","01","영업","","","","","051 248 8873","2,197.90","602832","부산광역시 서구 암남동 131-2","부산광역시 서구 송도해변로 141 (암남동)","49269","큐파이브호텔","20210611132018","U","2021-06-13 02:40:00.0","여관업","384341.386166546","177225.117551408","여관업","0","0","0","0","0","0","0","44","0","N","0","","","","","0","","","0","0","N",
"176","숙박업","03_11_03_P","3260000","3260000-201-1963-00731","19630110","","01","영업/정상","01","영업","","","","","051 2312392",".00","602832","부산광역시 서구 암남동 229-4번지","부산광역시 서구 송도해변로 117-1 (암남동)","49269","송도모텔","20171127170434","I","2018-08-31 23:59:59.0","여관업","384145.622171729","177307.863943661","여관업","0","0","0","0","0","0","0","14","0","N","0","","","","임대","0","","","0","0","N",
"177","숙박업","03_11_03_P","3260000","3260000-201-1987-00437","19870930","","01","영업/정상","01","영업","","","","","051 9167700",".00","602011","부산광역시 서구 충무동1가 28-2번지","부산광역시 서구 충무시장길 24 (충무동1가)","49253","금강모텔","20171127175945","I","2018-08-31 23:59:59.0","여관업","384433.564063556","179241.841558797","여관업","0","0","0","0","0","0","0","27","0","N","0","","","","임대","0","","","0","0","N",
"178","숙박업","03_11_03_P","3260000","3260000-201-1973-00478","19730626","","01","영업/정상","01","영업","","","","","051 2551153",".00","602011","부산광역시 서구 충무동1가 10-8","부산광역시 서구 자갈치로 5-5 (충무동1가)","49254","재건","20210611132821","U","2021-06-13 02:40:00.0","여인숙업","384586.280308542","179377.451325622","여인숙업","0","0","0","0","0","0","17","0","0","N","0","","","","","0","","","0","0","N",
"179","숙박업","03_11_03_P","3260000","3260000-201-1969-00458","19690719","","01","영업/정상","01","영업","","","","","051 2549587",".00","602013","부산광역시 서구 충무동3가 1-22번지","부산광역시 서구 충무대로255번길 10 (충무동3가)","49253","부산장모텔","20171127170905","I","2018-08-31 23:59:59.0","여인숙업","384432.065382424","179030.095140243","여인숙업","0","0","0","0","0","0","20","0","0","N","0","","","","","0","","","0","0","N",
"180","숙박업","03_11_03_P","3260000","3260000-201-2004-00002","20040407","","01","영업/정상","01","영업","","","","","051 231 2336","1,763.00","602832","부산광역시 서구 암남동 171-9번지","부산광역시 서구 송도해변로 187 (암남동)","49269","테마모텔","20171128082607","I","2018-08-31 23:59:59.0","여관업","384400.819883847","177291.095789633","여관업","8","1","1","8","1","1","0","26","0","N","0","","","","임대","0","","","0","0","N",
"181","숙박업","03_11_03_P","3260000","3260000-201-1970-00222","19701224","","01","영업/정상","01","영업","","","","","051 2430988","237.60","602825","부산광역시 서구 서대신동3가 241-2번지","부산광역시 서구 구덕로 347 (서대신동3가)","49226","구덕장모텔","20171127170951","I","2018-08-31 23:59:59.0","여관업","383642.820398922","181368.530854594","여관업","0","0","0","0","0","0","0","14","0","N","0","","","","","0","","","0","0","N",
"182","숙박업","03_11_03_P","3260000","3260000-201-2011-00001","20110218","","01","영업/정상","01","영업","","","","","051 2311715","2,181.49","602832","부산광역시 서구 암남동 171-14","부산광역시 서구 송도해변로 183 (암남동)","49269","아바모텔","20210611132058","U","2021-06-13 02:40:00.0","여관업","384414.995462418","177262.181296057","여관업","9","0","1","9","0","0","0","48","0","N","0","","","","자가","0","","","0","0","N",
"183","숙박업","03_11_03_P","3260000","3260000-201-1985-00578","19851211","","01","영업/정상","01","영업","","","","","051 2562323",".00","602801","부산광역시 서구 남부민동 140-4","부산광역시 서구 충무대로 189-10 (남부민동)","49256","대흥장","20210611141152","U","2021-06-13 02:40:00.0","여관업","384500.376538803","178369.623266006","여관업","0","0","0","0","0","0","0","16","0","N","0","","","","","0","","","0","0","N",
"184","숙박업","03_11_03_P","3260000","3260000-201-2003-00005","20031016","","01","영업/정상","01","영업","","","","","051 2436566","815.22","602011","부산광역시 서구 충무동1가 34-12","부산광역시 서구 충무대로276번길 12 (충무동1가)","49254","바다모텔","20220107160403","U","2022-01-09 02:40:00.0","여관업","384575.49452893","179188.715408662","여관업","6","1","3","5","0","0","0","22","0","N","0","","","","자가","0","0","0","0","0","N",
"185","숙박업","03_11_03_P","3260000","3260000-201-1995-00456","19950913","","01","영업/정상","01","영업","","","","","051 2548851","351.54","602012","부산광역시 서구 충무동2가 4-3","부산광역시 서구 충무대로275번길 17 (충무동2가)","49253","천수장","20220315170522","U","2022-03-17 02:40:00.0","여관업","384413.56454349","179211.709593961","여관업","0","0","0","0","0","0","7","7","0","N","0","","","","","0","0","0","0","0","N",
"186","숙박업","03_11_03_P","3260000","3260000-201-2014-00001","20140526","","01","영업/정상","01","영업","","","","","051 241 1138","1,687.20","602011","부산광역시 서구 충무동1가 23-7번지","부산광역시 서구 충무대로276번길 15 (충무동1가)","49254","9월 모텔","20190705162458","U","2019-07-07 02:40:00.0","여관업","384600.278550427","179218.01120694","여관업","6","1","1","6","1","0","0","37","0","N","0","","","","자가","0","","","0","0","N",
"187","숙박업","03_11_03_P","3260000","3260000-201-1998-00724","19980819","","01","영업/정상","01","영업","","","","","051 2470045",".00","602831","부산광역시 서구 암남동 351-7번지","부산광역시 서구 충무대로34번길 37-2 (암남동)","49269","휴 모텔","20171128082357","I","2018-08-31 23:59:59.0","여관업","383901.274940246","177184.863104104","여관업","0","0","0","0","0","0","6","20","0","N","0","","","","","0","","","0","0","N",
"188","숙박업","03_11_03_P","3260000","3260000-201-2005-00001","20050624","","01","영업/정상","01","영업","","","","","051 2461085","954.70","602011","부산광역시 서구 충무동1가 7-21번지","부산광역시 서구 구덕로114번길 28 (충무동1가)","49247","씨네모텔","20200302140448","U","2020-03-04 02:40:00.0","여관업","384565.726681832","179441.687971151","여관업","7","1","1","7","1","1","0","23","0","N","0","","","","","0","","","0","0","N",
"189","숙박업","03_11_03_P","3260000","3260000-201-1993-00454","19931027","","01","영업/정상","01","영업","","","","","051 2481366","157.09","602011","부산광역시 서구 충무동1가 17-6","부산광역시 서구 충무시장길 12 (충무동1가)","49253","삼성모텔","20220105160658","U","2022-01-07 02:40:00.0","여관업","384442.555677526","179300.821294627","여관업","0","0","0","0","0","0","0","17","0","N","0","","","","","0","","","0","0","N",
"190","숙박업","03_11_03_P","3260000","3260000-201-2009-00002","20090828","","01","영업/정상","01","영업","","","","","051 241 0293","1,743.95","602833","부산광역시 서구 암남동 625","부산광역시 서구 원양로 148 (암남동)","49272","SKY모텔","20201022135458","U","2020-10-24 02:40:00.0","여관업","383547.048307267","175982.086419777","여관업","8","0","1","8","0","0","0","39","0","N","0","","","","","0","","","0","0","N",
"191","숙박업","03_11_03_P","3260000","3260000-201-1969-00469","19691121","","01","영업/정상","01","영업","","","","","051 2431503",".00","602011","부산광역시 서구 충무동1가 14-39번지","부산광역시 서구 충무대로282번길 3 (충무동1가)","49254","수정","20181127095434","U","2018-11-29 02:40:00.0","여인숙업","384548.911149474","179282.587374391","여인숙업","0","0","0","0","0","0","10","0","0","N","0","","","","","0","","","0","0","N",
"192","숙박업","03_11_03_P","3260000","3260000-201-1971-00479","19710709","","01","영업/정상","01","영업","","","","","051 2423261",".00","602011","부산광역시 서구 충무동1가 14-10","부산광역시 서구 새벽시장길 4-4 (충무동1가)","49254","일신","20210611133159","U","2021-06-13 02:40:00.0","여인숙업","384570.881055613","179327.276337048","여인숙업","0","0","0","0","0","0","12","0","0","N","0","","","","","0","","","0","0","N",
"193","숙박업","03_11_03_P","3260000","3260000-201-2003-00001","20030225","","01","영업/정상","01","영업","","","","","051 2531684","","602832","부산광역시 서구 암남동 171-30","부산광역시 서구 송도해변로 191 (암남동)","49269","호텔 아비숑","20210611131457","U","2021-06-13 02:40:00.0","여관업","384372.247660748","177328.42230978","여관업","0","0","0","0","0","0","1","41","0","Y","0","","","","","0","","","0","0","N",
"194","숙박업","03_11_03_P","3260000","3260000-201-1988-00715","19880916","","01","영업/정상","01","영업","","","","","051 2423354",".00","602832","부산광역시 서구 암남동 176-7","부산광역시 서구 충무대로82번길 11 (암남동)","49269","호텔 퀸","20210611131258","U","2021-06-13 02:40:00.0","여관업","384318.315518268","177413.108840591","여관업","0","0","0","0","0","0","0","27","0","N","0","","","","","0","","","0","0","N",
"195","숙박업","03_11_03_P","3260000","3260000-201-1995-00455","19950904","","01","영업/정상","01","영업","","","","","051 2472228","319.68","602012","부산광역시 서구 충무동2가 4-21","부산광역시 서구 충무대로275번길 17 (충무동2가)","49253","은솔장","20220316103441","U","2022-03-18 02:40:00.0","여관업","384405.843617065","179213.181027751","여관업","0","0","0","0","0","0","4","8","0","N","0","","","","","0","","","0","0","N",
"196","숙박업","03_11_03_P","3260000","3260000-201-1989-00453","19890919","","01","영업/정상","01","영업","","","","","051 2473793",".00","602012","부산광역시 서구 충무동2가 4-35","부산광역시 서구 구덕로119번길 34 (충무동2가)","49253","우리장","20191213143741","U","2021-08-20 02:40:00.0","여관업","384375.520896066","179195.197894122","여관업","0","0","0","0","0","0","0","18","0","N","0","","","","","0","","","0","0","N",
"197","숙박업","03_11_03_P","3260000","3260000-201-2005-00002","20050721","","01","영업/정상","01","영업","","","","","051 246 1765","954.76","602011","부산광역시 서구 충무동1가 7-20","부산광역시 서구 구덕로114번길 30 (충무동1가)","49247","깐느모텔","20210202110816","U","2021-02-04 02:40:00.0","여관업","384577.692338725","179447.32618902","여관업","7","1","1","7","1","1","0","23","0","N","0","","","","자가","0","","","0","0","N",
"198","숙박업","03_11_03_P","3260000","3260000-201-2004-00001","20040119","","01","영업/정상","01","영업","","","","","051 246 0902","1,958.50","602013","부산광역시 서구 충무동3가 1-166","부산광역시 서구 구덕로119번길 71 (충무동3가)","49253","브라운 도트 호텔(남포자갈치점)","20210630162609","U","2021-07-02 02:40:00.0","여관업","384395.528368431","179034.634960903","여관업","9","0","1","9","0","0","0","41","0","N","0","","","","","0","","","0","0","N",
"199","숙박업","03_11_03_P","3260000","3260000-201-1967-00429","19671118","","01","영업/정상","01","영업","","","","","051 2471445","37.73","602011","부산광역시 서구 충무동1가 12-112","부산광역시 서구 새벽시장길 7-1 (충무동1가)","49254","동원여인숙","20220608173522","U","2022-06-10 02:40:00.0","여인숙업","384588.890791093","179309.144594313","여인숙업","0","0","0","0","0","0","10","0","0","N","0","","","","","0","","","0","0","N",
"200","숙박업","03_11_03_P","3260000","3260000-201-1982-00708","19820309","","01","영업/정상","01","영업","","","","","051 2426635",".00","602831","부산광역시 서구 암남동 335-5","부산광역시 서구 충무대로 16 (암남동)","49269","유엔송도호텔","20210611131213","U","2021-06-13 02:40:00.0","관광호텔","383829.290987761","177210.05114787","관광호텔","0","0","0","0","0","0","11","34","0","Y","0","","","","","0","","","0","0","N",
"201","숙박업","03_11_03_P","3260000","3260000-201-1982-00577","19820130","","01","영업/정상","01","영업","","","","","",".00","602800","부산광역시 서구 남부민동 68-10","부산광역시 서구 충무대로241번길 15-7 (남부민동)","49256","충무여관","20210223165912","U","2021-02-25 02:40:00.0","여관업","384404.862114174","178868.896303681","여관업","0","0","0","0","0","0","0","15","0","N","0","","","","","0","","","0","0","N",
"202","숙박업","03_11_03_P","3260000","3260000-201-2009-00001","20090130","","01","영업/정상","01","영업","","","","","051 2310889",".00","602831","부산광역시 서구 암남동 351-4","부산광역시 서구 충무대로34번길 37-3 (암남동)","49269","이엘호텔","20210611131601","U","2021-06-13 02:40:00.0","여관업","383895.696558484","177208.608990509","여관업","5","1","0","0","0","0","0","21","0","N","0","","","","","0","","","0","0","N",
"203","숙박업","03_11_03_P","3260000","3260000-201-1980-00430","19800424","","01","영업/정상","01","영업","","","","","051 2548158","83.13","602012","부산광역시 서구 충무동2가 1-1번지","부산광역시 서구 구덕로 119-9 (충무동2가)","49253","온모텔","20171127173006","I","2018-08-31 23:59:59.0","여관업","384393.653107832","179308.975199355","여관업","0","0","0","0","0","0","0","12","0","N","0","","","","","0","","","0","0","N",
"204","숙박업","03_11_03_P","3260000","3260000-201-1988-00756","19880527","","01","영업/정상","01","영업","","","","","051 248 3375",".00","602831","부산광역시 서구 암남동 334-13번지","부산광역시 서구 충무대로 14-9 (암남동)","49269","와우모텔","20190523152927","U","2019-05-25 02:40:00.0","여관업","383855.405142464","177190.355406368","여관업","0","0","0","0","0","0","0","19","0","N","0","","","","","0","","","0","0","N",
"205","숙박업","03_11_03_P","3260000","3260000-201-2008-00003","20080313","","01","영업/정상","01","영업","","","","","051 257 8254","1,565.19","602011","부산광역시 서구 충무동1가 4-10","부산광역시 서구 구덕로114번길 27-1 (충무동1가)","49247","버튼호텔","20210329155932","U","2021-03-31 02:40:00.0","여관업","384548.975145735","179460.242101245","여관업","8","0","1","8","0","0","0","33","0","N","0","","","","자가","0","","","0","0","N",
"206","숙박업","03_11_03_P","3260000","3260000-214-1993-00001","19930911","","01","영업/정상","01","영업","","","","","051 2568899","325.61","602832","부산광역시 서구 암남동 135","부산광역시 서구 송도해변로 135 (암남동)","49269","마리나장","20210611132600","U","2021-06-13 02:40:00.0","숙박업(생활)","384303.857194866","177251.755858413","숙박업(생활)","0","0","0","0","0","0","0","24","0","N","0","","","","","0","","","0","0","N",
"207","숙박업","03_11_03_P","3260000","3260000-201-2007-00002","20070215","","01","영업/정상","01","영업","","","","","051 231 0750","2,060.70","602803","부산광역시 서구 남부민동 523-44","부산광역시 서구 등대로 113 (남부민동)","49264","부산비치관광호텔","20210611141321","U","2021-06-13 02:40:00.0","관광호텔","384719.60881858","178090.566769083","관광호텔","8","1","1","8","1","1","","35","","N","","","","","자가","","","","","","N",
"208","숙박업","03_11_03_P","3260000","3260000-201-2004-00004","20040727","","01","영업/정상","01","영업","","","","","051 2448255","2,439.81","602833","부산광역시 서구 암남동 622-9번지","부산광역시 서구 암남공원로 249 (암남동)","49272","파인힐 호텔","20190812135548","U","2019-08-14 02:40:00.0","여관업","383615.499070975","175899.711735464","여관업","9","2","1","9","1","2","0","42","0","N","0","","","","","0","","","0","0","N",
"209","숙박업","03_11_03_P","3260000","3260000-201-2003-00002","20030225","","01","영업/정상","01","영업","","","","","051 2454330","","602832","부산광역시 서구 암남동 171-7","부산광역시 서구 송도해변로 191-1 (암남동)","49269","투헤븐 호텔","20211229161740","U","2021-12-31 02:40:00.0","여관업","384368.343253287","177339.179668251","여관업","0","0","0","0","0","0","0","44","0","Y","0","","","","","0","0","0","0","0","N",
"210","숙박업","03_11_03_P","3260000","3260000-201-1974-00487","19740215","","01","영업/정상","01","영업","","","","","051 2411842",".00","602011","부산광역시 서구 충무동1가 10-9번지","부산광역시 서구 자갈치로 5-3 (충무동1가)","49254","우정","20171130134210","I","2018-08-31 23:59:59.0","여인숙업","384584.384826124","179371.366904707","여인숙업","0","0","0","0","0","0","15","0","0","N","0","","","","","0","","","0","0","N",
"211","숙박업","03_11_03_P","3260000","3260000-201-1985-00714","19851119","","01","영업/정상","01","영업","","","","","051 2561222","313.60","602831","부산광역시 서구 암남동 334-5","부산광역시 서구 충무대로 14-13 (암남동)","49269","호텔더메이","20210709125534","U","2021-07-11 02:40:00.0","여관업","383870.576226427","177196.43936761","여관업","0","0","0","0","0","0","0","21","0","N","0","","","","","0","","","0","0","N",
"212","숙박업","03_11_03_P","3260000","3260000-201-1996-00762","19960305","","01","영업/정상","01","영업","","","","","051 7140909",".00","602832","부산광역시 서구 암남동 236-3","부산광역시 서구 충무대로34번길 47 (암남동)","49269","브라운도트호텔(송도해수욕장점)","20211108115838","U","2021-11-10 02:40:00.0","여관업","383907.287445378","177155.265341456","여관업","0","0","0","0","0","0","26","0","0","N","0","","","","","0","","","0","0","N",
"213","숙박업","03_11_03_P","3260000","3260000-201-2005-00003","20050728","","01","영업/정상","01","영업","","","","","051 2411631","2,330.41","602833","부산광역시 서구 암남동 622-45","부산광역시 서구 암남공원로 247 (암남동)","49272","2월호텔 송도암남점","20210330100929","U","2021-04-01 02:40:00.0","여관업","383619.43978122","175881.451585324","여관업","9","2","1","9","1","2","4","38","0","N","0","","","","자가","0","","","0","0","N",
"214","숙박업","03_11_03_P","3260000","3260000-201-1973-00444","19730125","","01","영업/정상","01","영업","","","","","051 2547637",".00","602011","부산광역시 서구 충무동1가 17-33번지","부산광역시 서구 충무시장길 10 (충무동1가)","49253","원모텔","20200504105035","U","2020-05-06 02:40:00.0","여관업","384443.941869993","179309.544910398","여관업","0","0","0","0","0","0","0","12","0","N","0","","","","","0","","","0","0","N",
"215","숙박업","03_11_03_P","3260000","3260000-201-2018-00001","20180517","","01","영업/정상","01","영업","","","","","","571.20","602013","부산광역시 서구 충무동3가 11번지","부산광역시 서구 천마로 203-1 (충무동3가)","49252","스타모텔","20180625164747","I","2018-08-31 23:59:59.0","여관업","384303.054873022","179056.035024858","여관업","0","0","3","7","","","0","28","0","N","0","","","","","0","0","0","0","0","N",
"216","숙박업","03_11_03_P","3260000","3260000-201-1983-00490","19830924","","01","영업/정상","01","영업","","","","","051 2569679",".00","602011","부산광역시 서구 충무동1가 28-14번지","부산광역시 서구 충무시장길 16-1 (충무동1가)","49253","동성여인숙","20180524145002","I","2018-08-31 23:59:59.0","여인숙업","384443.568780765","179276.956799363","여인숙업","0","0","0","0","0","0","8","0","0","N","0","","","","","0","","","0","0","N",
"217","숙박업","03_11_03_P","3260000","3260000-201-1964-00655","19640406","","01","영업/정상","01","영업","","","","","051 257 1007",".00","602803","부산광역시 서구 남부민동 672-1","부산광역시 서구 충무대로 165-3 (남부민동)","49256","삼화","20210203163338","U","2021-02-05 02:40:00.0","여인숙업","384558.671633977","178126.433523774","여인숙업","0","0","0","0","0","0","13","0","0","N","0","","","","","0","","","0","0","N",
"218","숙박업","03_11_03_P","3260000","3260000-201-2012-00001","20120813","","01","영업/정상","01","영업","","","","","051 247 4369","713.99","602055","부산광역시 서구 토성동5가 52-1번지","부산광역시 서구 초장로 54 (토성동5가)","49252","스테이모텔","20180628140135","I","2018-08-31 23:59:59.0","여관업","384257.938861996","179359.146382792","여관업","5","1","1","4","1","1","6","20","0","N","0","","","","임대","0","","","0","0","N",
"219","숙박업","03_11_03_P","3260000","3260000-201-2004-00003","20040506","","01","영업/정상","01","영업","","","","","051 2316486","1,612.00","602832","부산광역시 서구 암남동 171-13번지","부산광역시 서구 송도해변로 185 (암남동)","49269","호텔코자자","20180713170105","I","2018-08-31 23:59:59.0","여관업","384406.084978917","177276.552473261","여관업","8","1","1","7","1","1","0","44","0","N","0","","","","","0","","","0","0","N",
"220","숙박업","03_11_03_P","3260000","3260000-201-1972-00742","19720121","","01","영업/정상","01","영업","","","","","051 2569175",".00","602832","부산광역시 서구 암남동 229-8번지","부산광역시 서구 송도해변로 123 (암남동)","49269","S모텔","20200320132358","U","2020-03-22 02:40:00.0","여관업","384200.196853924","177315.465816128","여관업","0","0","0","0","0","0","27","0","0","N","0","","","","","0","","","0","0","N",
"221","숙박업","03_11_03_P","3260000","3260000-201-1972-00582","19721025","","01","영업/정상","01","영업","","","","","051 2412253",".00","602801","부산광역시 서구 남부민동 650-3번지","부산광역시 서구 충무대로 207 (남부민동)","49256","명동","20180723162309","I","2018-08-31 23:59:59.0","여인숙업","384520.789882045","178539.818785968","여인숙업","0","0","0","0","0","0","10","0","0","N","0","","","","","0","","","0","0","N",
"222","숙박업","03_11_03_P","3260000","3260000-201-1968-00460","19681019","","01","영업/정상","01","영업","","","","","051 2439281",".00","602011","부산광역시 서구 충무동1가 2","부산광역시 서구 자갈치로 5-4 (충무동1가)","49254","동림","20210611132739","U","2021-06-13 02:40:00.0","여인숙업","384597.816712746","179361.934761716","여인숙업","0","0","0","0","0","0","12","0","0","N","0","","","","","0","","","0","0","N",
"223","숙박업","03_11_03_P","3260000","3260000-201-1997-00721","19970830","","01","영업/정상","01","영업","","","","","051 2439360",".00","602832","부산광역시 서구 암남동 235","부산광역시 서구 송도해변로 93 (암남동)","49269","모아모텔","20210611131431","U","2021-06-13 02:40:00.0","여관업","383938.920389925","177173.266333126","여관업","0","0","3","6","0","0","3","48","0","N","0","","","","","0","","","0","0","N",
"224","숙박업","03_11_03_P","3260000","3260000-201-1997-00722","19971029","","01","영업/정상","01","영업","","","","","051  2532342",".00","602832","부산광역시 서구 암남동 239-1번지","부산광역시 서구 충무대로50번길 38 (암남동)","49269","다모아모텔","20171128082303","I","2018-08-31 23:59:59.0","여관업","383926.429566684","177228.569637171","여관업","0","0","0","0","0","0","2","22","0","N","0","","","","","0","","","0","0","N",
"225","숙박업","03_11_03_P","3260000","3260000-201-1970-00476","19700410","","01","영업/정상","01","영업","","","","","051 2429864",".00","602011","부산광역시 서구 충무동1가 39-6","부산광역시 서구 새벽시장길 50-1 (충무동1가)","49254","초원","20220425130729","U","2022-04-27 02:40:00.0","여인숙업","384541.271568573","179100.822154509","여인숙업","0","0","0","0","0","0","14","0","0","N","0","","","","","0","0","0","0","0","N",
"226","숙박업","03_11_03_P","3260000","3260000-201-1960-00728","19600110","","01","영업/정상","01","영업","","","","","051 2572288",".00","602832","부산광역시 서구 암남동 139번지","부산광역시 서구 송도해변로173번길 58 (암남동)","49269","호성장","20171127170347","I","2018-08-31 23:59:59.0","여관업","384324.596859258","177279.151535594","여관업","0","0","0","0","0","0","0","7","0","N","0","","","","","0","","","0","0","N",
"227","숙박업","03_11_03_P","3260000","3260000-201-1971-00481","19710826","","01","영업/정상","01","영업","","","","","051 2479176",".00","602011","부산광역시 서구 충무동1가 12-132번지","부산광역시 서구 새벽시장길 13 (충무동1가)","49254","미진","20171127171324","I","2018-08-31 23:59:59.0","여인숙업","384582.827947742","179279.53657149","여인숙업","0","0","0","0","0","0","10","0","0","N","0","","","","","0","","","0","0","N",
"228","숙박업","03_11_03_P","3260000","3260000-201-1968-00457","19680528","","01","영업/정상","01","영업","","","","","051 2547378",".00","602012","부산광역시 서구 충무동2가 1-10","부산광역시 서구 구덕로119번길 14 (충무동2가)","49253","하동","20211208091727","U","2021-12-10 02:40:00.0","여인숙업","384390.343368303","179301.767035143","여인숙업","0","0","0","0","0","0","16","0","0","N","0","","","","","0","","","0","0","N",
"229","숙박업","03_11_03_P","3260000","3260000-201-1991-00709","19910628","","01","영업/정상","01","영업","","","","","051 2542000",".00","602833","부산광역시 서구 암남동 541-6번지","부산광역시 서구 암남공원로 9 (암남동)","49275","송도비치관광호텔","20120928145810","I","2018-08-31 23:59:59.0","관광호텔","383775.033920561","176944.175666118","관광호텔","","","","","","","4","40","","N","","","","","","","","","","","N",
"230","숙박업","03_11_03_P","3260000","3260000-201-1972-00581","19720127","","01","영업/정상","01","영업","","","","","051 2466582",".00","602801","부산광역시 서구 남부민동 652-55번지","부산광역시 서구 충무대로 191-2 (남부민동)","49256","창성","20171127171522","I","2018-08-31 23:59:59.0","여인숙업","384533.560899517","178397.169073143","여인숙업","0","0","0","0","0","0","19","0","0","N","0","","","","","0","","","0","0","N",
"231","숙박업","03_11_03_P","3260000","3260000-201-1988-00452","19880826","","01","영업/정상","01","영업","","","","","051 2415300","383.55","602011","부산광역시 서구 충무동1가 2-13","부산광역시 서구 자갈치로 13-7 (충무동1가)","49254","M모텔","20210611132901","U","2021-06-13 02:40:00.0","여관업","384636.091702636","179368.495866009","여관업","0","0","2","4","0","0","0","17","0","N","0","","","","","0","","","0","0","N",
"232","숙박업","03_11_03_P","3260000","3260000-201-1970-00580","19701023","","01","영업/정상","01","영업","","","","","051 2548230",".00","602801","부산광역시 서구 남부민동 643-10","부산광역시 서구 충무대로255번길 5-38 (남부민동)","49256","동미","20211102152941","U","2021-11-04 02:40:00.0","여인숙업","384457.750895566","178918.949595333","여인숙업","0","0","0","0","0","0","15","0","0","N","0","","","","","0","","","0","0","N",
"233","숙박업","03_11_03_P","3260000","3260000-201-1986-00573","19860203","","01","영업/정상","01","영업","","","","","051 2421371",".00","602801","부산광역시 서구 남부민동 645-2","부산광역시 서구 충무대로241번길 7 (남부민동)","49256","부산장","20210611141237","U","2021-06-13 02:40:00.0","여관업","384454.235249474","178871.675806526","여관업","0","0","0","0","0","0","0","20","0","N","0","","","","","0","","","0","0","N",
