"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"77","의료기기수리업","01_02_02_P","3300000","PHMG320133300024047400003","20130307","","03","폐업","03","폐업","20151113","","","","051-507-5107","","607843","부산광역시 동래구 온천3동 1466번지 1호","부산광역시 동래구 여고북로123번가길 23 (온천동)","47827","엔도테크","20151113162032","I","2018-10-11 15:46:28.0","","388476.561400337","191123.66159006","","","","",
"78","의료기기수리업","01_02_02_P","3300000","PHMG320153300024047400001","20150417","","03","폐업","03","폐업","20160112","","","","051-711-7114","","607842","부산광역시 동래구 온천동 1423번지 8호 4층, 영남빌딩","부산광역시 동래구 충렬대로 84, 4층 (온천동, 영남빌딩)","47821","올림푸스한국(주)","20160112165954","I","2018-10-11 15:46:28.0","","388448.49768133","191752.934052972","","","","",
"79","의료기기수리업","01_02_02_P","3300000","PHMG320153300024047400002","20151117","","03","폐업","03","폐업","20181213","","","","051-507-5107","","","부산광역시 동래구 온천동 1466번지 1호 2층","부산광역시 동래구 여고북로123번가길 23, 2층 (온천동)","47827","엔도테크","20181213185755","U","2018-12-15 02:40:00.0","","388476.561400337","191123.66159006","","","","",
"80","의료기기수리업","01_02_02_P","3300000","PHMG320193300024047400001","20190207","","01","영업/정상","13","영업중","","","","","051-714-1337","","","부산광역시 동래구 수안동 192번지 4호","부산광역시 동래구 명륜로 78-1, 2층 (수안동)","47877","포낙보청기동래센터(박&하보청기)","20190226162237","U","2019-02-28 02:40:00.0","","389754.268416082","191076.309564456","","","","",
"81","의료기기수리업","01_02_02_P","3300000","PHMG320193300024047400002","20190130","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 수안동 221번지","부산광역시 동래구 충렬대로 229, 2층 (수안동)","47814","독일보청기","20190207174502","I","2019-02-09 02:21:15.0","","389765.123431882","191164.354974681","","","","",
"82","의료기기수리업","01_02_02_P","3300000","PHMG320193300024047400003","20190917","","01","영업/정상","13","영업중","","","","","051-555-9774","","","부산광역시 동래구 온천동 504번지 5호 하이프라자온천점","부산광역시 동래구 중앙대로 1375, 하이프라자온천점 4층 (온천동)","47728","엘지전자(주)동래서비스센터","20190919151030","I","2019-09-21 02:22:32.0","","389111.533008708","192054.950576153","","","","",
"83","의료기기수리업","01_02_02_P","3300000","PHMG320193300024047400004","20160331","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 사직동 70번지 6호","부산광역시 동래구 아시아드대로163번길 14-2, 지하1층 (사직동)","47858","태광메디칼","20191230151604","I","2020-01-01 00:23:31.0","","387930.317574261","190813.623395286","","","","",
"84","의료기기수리업","01_02_02_P","3300000","PHMG320213300024047400001","20210218","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 명장동 131-24","부산광역시 동래구 명안로71번길 8, 1층 (명장동)","47773","심메디칼","20210219114036","I","2021-02-21 00:23:01.0","","391510.21993009","191352.943368245","","","","",
"85","의료기기수리업","01_02_02_P","3300000","PHMG320213300024047400002","20210401","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 수안동 568 호원메디컬","부산광역시 동래구 명륜로 90, 호원메디컬 3층 (수안동)","47814","스티키보청기 동래센터","20210401165751","I","2021-04-03 00:22:58.0","","389730.543698105","191213.379838969","","","","",
"86","의료기기수리업","01_02_02_P","3300000","PHMG320043300024047400001","20041025","","01","영업/정상","13","영업중","","","","","051-503-9389","","607813","부산광역시 동래구 사직3동 143번지 45호","부산광역시 동래구 중앙대로1277번길 30 (사직동)","","신광의료기기","20110930115543","I","2018-10-11 15:46:28.0","","389005.963024172","191073.736445776","","","","",
"87","의료기기수리업","01_02_02_P","3300000","PHMG320053300024047400002","20050113","","01","영업/정상","13","영업중","","","","","506-6800","","607813","부산광역시 동래구 사직3동 147번지 8호 2층","부산광역시 동래구 여고로127번길 41 (사직동,2층)","","에이에스덴탈","20111004141202","I","2018-10-11 15:46:28.0","","388962.746424025","191032.022925263","","","","",
"88","의료기기수리업","01_02_02_P","3300000","PHMG320053300024047400003","20050113","","01","영업/정상","13","영업중","","","","","527-0636","","607810","부산광역시 동래구 명장1동 151번지 13호","부산광역시 동래구 명장로80번길 7 (명장동)","","이화엑스레이기기","20111004141522","I","2018-10-11 15:46:28.0","","392012.880439722","191375.547007552","","","","",
"89","의료기기수리업","01_02_02_P","3300000","PHMG320053300024047400004","20050118","","01","영업/정상","13","영업중","","","","","051-554-5599","","","부산광역시 동래구 안락동 603-1 안락시장상가아파트","부산광역시 동래구 충렬대로410번길 21, 1층 46호 (안락동, 안락시장상가아파트)","47890","현대치과기재상사","20210428120105","U","2021-04-30 02:40:00.0","","391486.787090645","190515.87993883","","","","",
"90","의료기기수리업","01_02_02_P","3300000","PHMG320113300024047400002","20150204","","01","영업/정상","13","영업중","","","","","051-552-5235","","607061","부산광역시 동래구 온천동 724번지 2호","부산광역시 동래구 충렬대로107번길 29 (온천동)","47731","눈빛안경/다들림보청기","20150204151406","I","2018-10-11 15:46:28.0","","388666.144126953","191857.857305282","","","","",
"91","의료기기수리업","01_02_02_P","3300000","PHMG320133300024047400004","20130711","","01","영업/정상","13","영업중","","","","","","","607766","부산광역시 동래구 사직동 981번지 100호 삼정그린코아파트 상가동 402호","부산광역시 동래구 쇠미로 37, 상가동 4층 402호 (사직동, 삼정그린코아)","47873","HK태평양","20150514092941","I","2018-10-11 15:46:28.0","","386837.88103427","190686.323148828","","","","",
"92","의료기기수리업","01_02_02_P","3300000","PHMG320133300024047400005","20131203","","01","영업/정상","13","영업중","","","","","758-6123","","607820","부산광역시 동래구 사직2동 98번지 11호 5층","부산광역시 동래구 사직로 7, 5층 (사직동, 포스카빌딩)","47875","(주)에스엠아이코퍼레이션","20131203144851","I","2018-10-11 15:46:28.0","","387994.223699908","190510.881282577","","","","",
"93","의료기기수리업","01_02_02_P","3300000","PHMG320133300024047400006","20131212","","01","영업/정상","13","영업중","","","","","","","607828","부산광역시 동래구 안락1동 441번지 9호 1층","부산광역시 동래구 충렬대로395번길 55, 1층 (안락동)","47788","곰두리의료기","20131212113614","I","2018-10-11 15:46:28.0","","391401.480795416","190933.455437622","","","","",
"94","의료기기수리업","01_02_02_P","3300000","PHMG320173300024047400001","20170213","","01","영업/정상","13","영업중","","","","","051-806-2855~6","","","부산광역시 동래구 온천동 1425번지 5호","부산광역시 동래구 미남로146번길 12, 5층 501호 (온천동)","47821","(주)티에스메디칼","20200107134811","U","2020-01-09 02:40:00.0","","388525.938044758","191662.658594612","","","","",
"95","의료기기수리업","01_02_02_P","3300000","PHMG320153300024047400003","20151202","","01","영업/정상","13","영업중","","","","","051-504-9924","","","부산광역시 동래구 사직동 70번지 14호 1층","부산광역시 동래구 아시아드대로171번길 19, 1층 (사직동)","47858","(주)동래클린케어","20151202164437","I","2018-10-11 15:46:28.0","","387891.905622048","190834.744022041","","","","",
"96","의료기기수리업","01_02_02_P","3300000","PHMG320053300024047400009","20050622","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 명장동 138번지 12호 지하1층","부산광역시 동래구 명안로72번길 17, 지하1층 (명장동)","47774","대보의료기계서비스","20191210143650","U","2019-12-12 02:40:00.0","","391632.259667955","191337.81825326","","","","",
"97","의료기기수리업","01_02_02_P","3300000","PHMG320113300024047400001","20110506","","01","영업/정상","13","영업중","","","","","502-8336","","607814","부산광역시 동래구 사직1동 25번지 1호","부산광역시 동래구 석사북로 8 (사직동)","","한흥의료기","20110930113852","I","2018-10-11 15:46:28.0","","387591.974845405","190885.739923243","","","","",
"98","의료기기수리업","01_02_02_P","3310000","PHMG320053310024047400002","20161028","","03","폐업","03","폐업","20161028","","","","051)632-7528","","608822","부산광역시 남구 문현3동 183번지 28호","부산광역시 남구 문현로 23 (문현동)","48416","플러스덴탈","20161028174655","I","2018-10-11 15:46:28.0","","388801.863708858","184439.895933783","","","","",
"99","의료기기수리업","01_02_02_P","3310000","PHMG320073310024047400001","20070723","","03","폐업","03","폐업","20120927","","","","051)610-1712","","608743","부산광역시 남구 대연3동 55번지 1호 21세기센츄리시티건물 1031호","부산광역시 남구 수영로 312 (대연동)","608743","제스트테크","20120928135542","I","2018-10-11 15:46:28.0","","391411.212179843","184052.409245407","","","","",
"100","의료기기수리업","01_02_02_P","3310000","PHMG320083310024047400001","20081203","","03","폐업","03","폐업","20111021","","","","051-611-4696","","608811","부산광역시 남구 대연1동 1729번지 3호 메트로타워 3층","부산광역시 남구 수영로 248 (대연동)","608811","엘지전자대연서비스센터","20121002134910","I","2018-10-11 15:46:28.0","","390757.873174009","183763.235028705","","","","",
"101","의료기기수리업","01_02_02_P","3310000","PHMG320163310024047400001","20161006","","03","폐업","03","폐업","20191217","","","","051-819-1241","","","","부산광역시 남구 진남로188번길 52-1 (문현동, 현대택배)","48423","라이프 메디케어","20191217192315","U","2019-12-19 02:40:00.0","","389538.076000006","184800.202157089","","","","",
"102","의료기기수리업","01_02_02_P","3310000","PHMG320183310024047400001","20181109","","03","폐업","03","폐업","20201228","","","","051-893-7602","","","부산광역시 남구 문현동 545번지 270호 부산빌딩","부산광역시 남구 전포대로92번길 27, 4층 (문현동, 부산빌딩)","48404","BK메드","20210110152719","U","2021-01-12 02:40:00.0","","388426.068438641","184833.452773995","","","","",
"103","의료기기수리업","01_02_02_P","3310000","PHMG320193310024047400001","20191211","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용호동 367-4 희망떡방앗간","부산광역시 남구 용호로109번길 28, 희망떡방앗간 1층 (용호동)","48578","진 메디케어","20211208115440","U","2021-12-10 02:40:00.0","","392618.805755599","182389.746946997","","","","",
"104","의료기기수리업","01_02_02_P","3310000","PHMG320213310024047400001","20191004","","01","영업/정상","13","영업중","","","","","051-611-4696","","","부산광역시 남구 대연동 54-5 리마크빌 대연","부산광역시 남구 수영로 324, 2층 202호 (대연동, 리마크빌 대연)","48508","(주) 엘지전자대연서비스센터","20210628171621","I","2021-06-30 00:22:54.0","","391472.555827458","184076.524057387","","","","",
"105","의료기기수리업","01_02_02_P","3310000","PHMG320053310024047400001","20050107","","01","영업/정상","13","영업중","","","","","051)633-2305","","","부산광역시 남구 문현동 142번지 14호","부산광역시 남구 문현로 56, 2층 (문현동, 재건넘치는교회)","48418","에스케이덴탈","20161117141305","I","2018-10-11 15:46:28.0","","389048.769849873","184639.88801438","","","","",
"106","의료기기수리업","01_02_02_P","3320000","PHMG320113320045047400001","20110323","","03","폐업","03","폐업","20161114","","","","051-365-2233","","616834","부산광역시 북구 화명2동 374번지","부산광역시 북구 산성로48번길 7 (화명동)","46529","대성홈케어","20161114173753","I","2018-10-11 15:46:28.0","","383678.080213018","195323.30679798","","","","",
"107","의료기기수리업","01_02_02_P","3320000","PHMG320053320045047400001","20050531","","03","폐업","03","폐업","20161130","","","","333-0112","","616101","부산광역시 북구 덕천1동 356번지 21호","부산광역시 북구 의성로95번길 5 (덕천동)","46555","태광무역","20161130155333","I","2018-10-11 15:46:28.0","","383027.573599337","192181.523310056","","","","",
"108","의료기기수리업","01_02_02_P","3320000","PHMG320053320045047400003","20050623","","03","폐업","03","폐업","20110810","","","","597-3341","","616130","부산광역시 북구 금곡동 641번지 8호","부산광역시 북구 금곡대로636번길 7 (금곡동)","","동강메디칼","20110811092340","I","2018-10-11 15:46:28.0","","383369.949991945","197924.031090786","","","","",
"109","의료기기수리업","01_02_02_P","3320000","PHMG320093320045047400001","20090330","","03","폐업","03","폐업","20161116","","","","051-334-3607","","616852","부산광역시 북구 화명동 2275번지 5호 스카이타워 602호","부산광역시 북구 금곡대로285번길 62, 602호 (화명동, 스카이타워)","46527","(주)은성메디텍","20161116100534","I","2018-10-11 15:46:28.0","","382911.179610636","194648.763188313","","","","",
"110","의료기기수리업","01_02_02_P","3320000","PHMG320093320045047400003","20090911","","03","폐업","03","폐업","20110930","","","","441-9441","","616091","부산광역시 북구 구포1동 1123번지 3호","부산광역시 북구 사상로 590 (구포동)","","유니메디테크","20110930182459","I","2018-10-11 15:46:28.0","","381254.77442772","190433.736571066","","","","",
"111","의료기기수리업","01_02_02_P","3320000","PHMG320103320045047400002","20101008","","03","폐업","03","폐업","20201126","","","","337-5573","","616091","부산광역시 북구 구포1동 1073번지 8호","부산광역시 북구 낙동대로 1626 (구포동)","46503","라인메디칼","20201127091816","U","2020-11-29 02:40:00.0","","381353.776451845","190890.059363946","","","","",
"112","의료기기수리업","01_02_02_P","3320000","PHMG320093320045047400002","20090713","","03","폐업","03","폐업","20141007","","","","303-8989","","616091","부산광역시 북구 구포1동 1068번지 6호","부산광역시 북구 낙동대로 1656-1 (구포동)","616802","전동엠케어","20141007114556","I","2018-10-11 15:46:28.0","","381539.597508904","191149.941966643","","","","",
"113","의료기기수리업","01_02_02_P","3320000","PHMG320193320045047400001","20190705","","01","영업/정상","13","영업중","","","","","","","","부산광역시 북구 덕천동 321-22","부산광역시 북구 만덕대로65번길 55 (덕천동)","46552","참편한 보조기","20201230085802","U","2021-01-01 02:40:00.0","","383043.409929553","192401.466777578","","","","",
"114","의료기기수리업","01_02_02_P","3320000","PHMG320213320045047400001","20210701","","01","영업/정상","13","영업중","","","","","","","","부산광역시 북구 덕천동 403-2 정수빌딩","부산광역시 북구 백양대로 1200, 정수빌딩 5층 (덕천동)","46576","위니아에이드 구포센터","20210712103837","I","2021-07-14 00:22:52.0","","382583.685196701","191856.391275684","","","","",
"115","의료기기수리업","01_02_02_P","3320000","PHMG320113320045047400002","20110323","","01","영업/정상","13","영업중","","","","","051-364-5010","","616810","부산광역시 북구 금곡동 65번지 4호","부산광역시 북구 금곡대로616번길 109 (금곡동)","46505","(주)해오름케어","20160808142214","I","2018-10-11 15:46:28.0","","383452.775470079","198106.935620401","","","","",
"116","의료기기수리업","01_02_02_P","3320000","PHMG320053320045047400002","20050622","","01","영업/정상","13","영업중","","","","","341-2677","","616815","부산광역시 북구 덕천동 776번지 9호","부산광역시 북구 덕천로 151 (덕천동)","46572","금성메디텍","20150311111704","I","2018-10-11 15:46:28.0","","383948.381987224","192083.383555854","","","","",
"117","의료기기수리업","01_02_02_P","3320000","PHMG320083320045047400001","20080604","","01","영업/정상","13","영업중","","","","","342-0300","","616130","부산광역시 북구 금곡동 65번지 8호","부산광역시 북구 효열로275번길 6 (금곡동)","46505","영남통신(주)","20120306160254","I","2018-10-11 15:46:28.0","","383455.926413951","198147.357210056","","","","",
"118","의료기기수리업","01_02_02_P","3320000","PHMG320083320045047400002","20080707","","01","영업/정상","13","영업중","","","","","332-3178","","616092","부산광역시 북구 구포2동 1123번지 17호","부산광역시 북구 사상로 578 (구포동)","46503","남성냉동","20120109111543","I","2018-10-11 15:46:28.0","","381239.161857654","190314.32295384","","","","",
"119","의료기기수리업","01_02_02_P","3320000","PHMG320083320045047400003","20081203","","01","영업/정상","13","영업중","","","","","051-338-8590","","","부산광역시 북구 덕천동 380번지 6호","부산광역시 북구 만덕대로 53 (덕천동)","46555","엘지전자(주)","20190916091227","U","2019-09-18 02:40:00.0","","383045.899696281","192134.751925801","","","","",
"120","의료기기수리업","01_02_02_P","3320000","PHMG320103320045047400001","20100920","","01","영업/정상","13","영업중","","","","","051-331-0923","","","부산광역시 북구 구포동 1239-31","부산광역시 북구 모분재로149번길 18, 1층 101호 (구포동)","46625","현대메디칼","20210603110212","U","2021-06-05 02:40:00.0","","383250.47427198","190546.077266623","","","","",
"121","의료기기수리업","01_02_02_P","3320000","PHMG320103320045047400003","20101008","","01","영업/정상","13","영업중","","","","","051-338-0114","","616101","부산광역시 북구 덕천1동 353번지 8호 매직타워4층","부산광역시 북구 낙동대로 1789 (덕천동)","46544","스타키보청기북부산센터","20120404140714","I","2018-10-11 15:46:28.0","","382468.639371973","191945.33882077","","","","",
"122","의료기기수리업","01_02_02_P","3320000","PHMG320143320045047400001","20140325","","01","영업/정상","13","영업중","","","","","051-714-7471","","616817","부산광역시 북구  536번지 1호","부산광역시 북구 금곡대로 96, 2층 (덕천동)","46545","(주)하이텔레서비스 서부산센터","20170427115748","I","2018-10-11 15:46:28.0","","382583.535231971","192844.73271925","","","","",
"123","의료기기수리업","01_02_02_P","3320000","PHMG320163320045047400001","20160927","","01","영업/정상","13","영업중","","","","","051-365-2233","","","부산광역시 북구 금곡동 259-3 우방하이츠빌라","부산광역시 북구 효열로203번가길 50, 1층 (금곡동, 우방하이츠빌라)","46506","(주)대성홈메디케어","20210914183109","U","2021-09-16 02:40:00.0","","383545.528647694","198041.762478603","","","","",
"124","의료기기수리업","01_02_02_P","3320000","PHMG320173320045047400002","20170502","","01","영업/정상","13","영업중","","","","","051-917-1009","","","부산광역시 북구 금곡동 53-1 금곡1단지주공아파트","부산광역시 북구 효열로 270, 상가동 1층 105호 (금곡동, 금곡1단지주공아파트)","46510","휠체어 맞춤공학","20200630115831","U","2020-07-02 02:40:00.0","","383675.465026876","198372.358377528","","","","",
"125","의료기기수리업","01_02_02_P","3330000","PHMG320053330024047400001","20050725","","03","폐업","03","폐업","20110825","","","","","","612011","부산광역시 해운대구 중1동 1313번지","","","수정냉열","20110829110524","I","2018-10-11 15:46:28.0","","","","","","","",
"126","의료기기수리업","01_02_02_P","3330000","PHMG320053330024047400002","20050622","","03","폐업","03","폐업","20161124","","","","051-744-1205","","","","부산광역시 해운대구 재반로 35, 2층 (재송동, 오메가메기사식당)","48056","세라젬의료기서비스부산동부","20161124135309","I","2018-10-11 15:46:28.0","","393625.595375999","189024.420431339","","","","",
"127","의료기기수리업","01_02_02_P","3330000","PHMG320083330024047400002","20081203","","03","폐업","03","폐업","20151201","","","","051-747-4751","","612011","부산광역시 해운대구 중1동 1756번지","부산광역시 해운대구 좌동로 3 (중동)","","엘지전자해운대서비스센터","20151201110310","I","2018-10-11 15:46:28.0","","397461.534125954","187491.273602287","","","","",
"128","의료기기수리업","01_02_02_P","3330000","PHMG320093330024047400001","20090323","","03","폐업","03","폐업","20161124","","","","051-724-5228","","","","부산광역시 해운대구 재반로 35, 2층 (재송동, 오메가메기사식당)","48056","서비스월드","20161124135243","I","2018-10-11 15:46:28.0","","393625.595375999","189024.420431339","","","","",
"129","의료기기수리업","01_02_02_P","3330000","PHMG320103330024047400001","20100222","","03","폐업","03","폐업","20181228","","","","051-625-8584","","612021","부산광역시 해운대구 우1동 1474번지 센텀SH밸리 502호","부산광역시 해운대구 센텀동로 35, 502호 (우동,센텀SH밸리)","","(주)라이트메드코리아","20181228164740","U","2018-12-30 02:40:00.0","","394067.607348183","188000.240488194","","","","",
"130","의료기기수리업","01_02_02_P","3330000","PHMG320103330024047400002","20100329","","03","폐업","03","폐업","20130218","","","","051-543-3211","","612082","부산광역시 해운대구 반송2동 196번지 3호","부산광역시 해운대구 신반송로182번길 7 (반송동)","","MH메디칼","20151203143745","I","2018-10-11 15:46:28.0","","396619.454157296","194391.327298472","","","","",
"131","의료기기수리업","01_02_02_P","3330000","PHMG320053330024047400003","20051027","","03","폐업","03","폐업","20110930","","","","","","612022","부산광역시 해운대구 우2동 1185번지 64호 (2층)","부산광역시 해운대구 해운대로383번길 55 (우동,(2층))","","메디피아","20110930174722","I","2018-10-11 15:46:28.0","","394833.880934626","187908.161663503","","","","",
"132","의료기기수리업","01_02_02_P","3330000","PHMG320173330024047400003","20170824","","01","영업/정상","13","영업중","","","","","051-930-0600","","","부산광역시 해운대구 좌동 1473번지 2호 엘리움","부산광역시 해운대구 해운대로 794, 엘리움 303호 (좌동)","48104","중앙덴탈","20190717093901","I","2019-07-19 02:21:45.0","","398155.660814985","187681.573589165","","","","",
"133","의료기기수리업","01_02_02_P","3330000","PHMG320193330024047400001","20190916","","01","영업/정상","13","영업중","","","","","051-747-4751","","","부산광역시 해운대구 중동 284번지 3호 하이프라자 장산역점","부산광역시 해운대구 해운대로767번길 7, 하이프라자 장산역점 4층 (중동)","48102","엘지전자(주) 해운대서비스","20190918110713","I","2019-09-20 02:22:31.0","","397905.177284475","187556.691081647","","","","",
"134","의료기기수리업","01_02_02_P","3330000","PHMG320223330024047400001","20220318","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 반송동 756-25 디자인하우스","부산광역시 해운대구 아랫반송로5번길 216, 디자인하우스 (반송동)","48014","나눔의료기","20220324133950","I","2022-03-26 00:22:34.0","","395662.025140287","194394.843394167","","","","",
"135","의료기기수리업","01_02_02_P","3330000","PHMG320223330024047400002","20220318","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 442-1","부산광역시 해운대구 우동2로30번길 3, 1층 (우동)","48086","대세의료기신","20220324134110","I","2022-03-26 00:22:34.0","","396705.918587088","187486.010481652","","","","",
"136","의료기기수리업","01_02_02_P","3330000","PHMG320203330024047400001","20201111","","01","영업/정상","13","영업중","","","","","051-741-5096","","","부산광역시 해운대구 송정동 306-12","부산광역시 해운대구 송정1로7번길 30-1 (송정동)","48068","진양메디 주식회사","20210601165013","U","2021-06-03 02:40:00.0","","400174.913507126","189093.671352481","","","","",
"137","의료기기수리업","01_02_02_P","3330000","PHMG320183330024047400004","20181015","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 반여동 1476번지 93호 반여메디컬센터 503호","부산광역시 해운대구 선수촌로 7, 반여메디컬센터 503호 (반여동)","48043","하이메디케어","20181015130147","U","2018-10-15 23:59:59.0","","392879.758608629","190416.431934508","","","","",
"138","의료기기수리업","01_02_02_P","3330000","PHMG320083330024047400001","20081028","","01","영업/정상","13","영업중","","","","","051-745-7777","","612021","부산광역시 해운대구 우1동 1464번지","부산광역시 해운대구 센텀서로 66 (우동)","","(주)디오","20181121101534","U","2018-11-23 02:35:55.0","","393671.016159575","188108.073521361","","","","",
"139","의료기기수리업","01_02_02_P","3330000","PHMG320113330024047400001","20110112","","01","영업/정상","13","영업중","","","","","051-702-6656","","612040","부산광역시 해운대구 송정동 199번지 17호","부산광역시 해운대구 송정중앙로 19, 201호 (송정동, 코스마아파트)","48070","양지복지센터","20151127163810","I","2018-10-11 15:46:28.0","","400599.91331495","189335.681021492","","","","",
"140","의료기기수리업","01_02_02_P","3330000","PHMG320113330024047400002","20110128","","01","영업/정상","13","영업중","","","","","051-742-2217","","","부산광역시 해운대구 반송동 275-455 도도헤어","부산광역시 해운대구 아랫반송로21번길 83, 도도헤어 1층 (반송동)","48014","대세의료기","20210707131816","U","2021-07-09 02:40:00.0","","395524.958877422","194148.26867317","","","","",
"141","의료기기수리업","01_02_02_P","3330000","PHMG320123330024047400001","20120308","","01","영업/정상","13","영업중","","","","","051-783-8572","","612834","부산광역시 해운대구 재송동 1187번지 세명그린타워상가 101호","부산광역시 해운대구 재송2로 153, 101호 (재송동, 세명그린타워아파트상가)","48052","아주냉동공조산업","20151127163712","I","2018-10-11 15:46:28.0","","394330.166508012","189981.113809652","","","","",
"142","의료기기수리업","01_02_02_P","3330000","PHMG320143330024047400001","20140611","","01","영업/정상","13","영업중","","","","","051-515-7995","","","","부산광역시 해운대구 재반로30번가길 38, 2층 (재송동)","48057","(주)금강지엔피","20151127150235","I","2018-10-11 15:46:28.0","","393839","189162","","","","",
"143","의료기기수리업","01_02_02_P","3330000","PHMG320173330024047400001","20170504","","01","영업/정상","13","영업중","","","","","051-527-2292","","","","부산광역시 해운대구 삼어로91번길 122-3, 1층 (반여동, 멘토)","48044","퍼슨정메디칼","20170512102519","I","2018-10-11 15:46:28.0","","392615.269963282","192128.933470536","","","","",
"144","의료기기수리업","01_02_02_P","3330000","PHMG320173330024047400002","20170807","","01","영업/정상","13","영업중","","","","","051-759-5766","","","부산광역시 해운대구 우동 1470번지","부산광역시 해운대구 센텀중앙로 48, 213호 (우동, 에이스하이테크21)","48059","대웅무역","20170809171212","I","2018-10-11 15:46:28.0","","393963.840834294","188061.35516256","","","","",
"145","의료기기수리업","01_02_02_P","3330000","PHMG320183330024047400001","20180315","","01","영업/정상","13","영업중","","","","","051-747-0337","","","부산광역시 해운대구 좌동 1482-2 가람프라자","부산광역시 해운대구 양운로42번길 12, 가람프라자 1005호 (좌동)","48111","금강보청기 해운대센터","20220209105413","U","2022-02-11 02:40:00.0","","398348.86365854","187594.700233182","","","","",
"146","의료기기수리업","01_02_02_P","3330000","PHMG320183330024047400002","20180528","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 석대동 638번지 701호","부산광역시 해운대구 반송로525번길 15, 701호 (석대동)","48002","엠에이치 사이언스(MH Science)","20180528175530","I","2018-10-11 15:46:28.0","","392978.975719781","193113.409233251","","","","",
"147","의료기기수리업","01_02_02_P","3330000","PHMG320183330024047400003","20181010","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 반송동 20번지 42호","부산광역시 해운대구 반송로 920-1, 1층 (반송동)","48004","장수케어","20181010165938","U","2018-10-10 23:59:59.0","","396041.874876803","194697.447281837","","","","",
"148","의료기기수리업","01_02_02_P","3330000","PHMG320213330024047400001","20210128","","01","영업/정상","13","영업중","","","","","051-747-1270","","","부산광역시 해운대구 중동 1766-6 영풍리젠시","부산광역시 해운대구 좌동순환로 506, 영풍리젠시 721호 (중동)","48101","주식회사 페디덴트","20220422110229","U","2022-04-24 02:40:00.0","","397518.595862562","187373.24534171","","","","",
"149","의료기기수리업","01_02_02_P","3330000","PHMG320223330024047400003","20220509","","01","영업/정상","13","영업중","","","","","051-701-8752","","","부산광역시 해운대구 좌동 1479-3 세종월드프라자","부산광역시 해운대구 해운대로 814, 세종월드프라자 A동 304호 (좌동)","48111","크리스탈보청기&청각언어센터","20220512163610","I","2022-05-14 00:22:32.0","","398330.516530402","187771.511373596","","","","",
"150","의료기기수리업","01_02_02_P","3340000","PHMG320193340025047400001","20190529","","02","휴업","02","휴업","","20210101","20220101","","051-934-9445","","","","부산광역시 사하구 다송로 12, 1층 2호 (다대동)","49518","든든케어","20210104130432","U","2021-01-06 02:40:00.0","","380623.193582971","175918.010468038","","","","",
"151","의료기기수리업","01_02_02_P","3340000","PHMG320053340025047400001","20050607","","03","폐업","03","폐업","20150128","","","","051-293-9366","","604809","부산광역시 사하구 괴정동 262번지 1호 지하1층","부산광역시 사하구 낙동대로 184, 지하1층 (괴정동)","604809","유창의료기","20150128110101","I","2018-10-11 15:46:28.0","","381944.468411967","179879.715624262","","","","",
"152","의료기기수리업","01_02_02_P","3340000","PHMG320053340025047400002","20050715","","03","폐업","03","폐업","20161115","","","","051-202-5959","","604811","부산광역시 사하구 괴정3동 446번지 36호","부산광역시 사하구 오작로 28 (괴정동)","","(주)영광사","20161115152627","I","2018-10-11 15:46:28.0","","381994.482560694","179514.874441151","","","","",
"153","의료기기수리업","01_02_02_P","3340000","PHMG320083340025047400001","20081203","","03","폐업","03","폐업","20180131","","","","051-205-2048","","604811","부산광역시 사하구 괴정동 1000번지 2호","부산광역시 사하구 낙동대로 220, 3층 (괴정동)","49340","엘지전자사하서비스센터","20180131141915","I","2018-10-11 15:46:28.0","","381626.553269982","179724.84529952","","","","",
"154","의료기기수리업","01_02_02_P","3340000","PHMG320093340025047400001","20090130","","03","폐업","03","폐업","20160303","","","","051-207-3329","","604851","부산광역시 사하구 하단2동 1161번지 가락타운 145동상가 지하제2호","부산광역시 사하구 하신번영로 365, 145동상가동 지하1층 B002호 (하단동, 가락타운1단지)","49305","영메딕스","20160303152333","I","2018-10-11 15:46:28.0","","378522.007200069","180909.306630124","","","","",
