"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"200","안경업","01_02_01_P","3290000","PHMB220173290024082200005","20171215","","03","폐업","03","폐업","20220617","","","","051-807-3820","","","부산광역시 부산진구 부전동 194번지 7호","부산광역시 부산진구 중앙대로 688, 1층 (부전동)","47296","렌즈베리 부산서면점","20220617132818","U","2022-06-19 02:40:00.0","","387595.420578279","185832.30169877","1","1","2","0","1","0","0","0","2","13.29",
"201","안경업","01_02_01_P","3290000","PHMB220063290024082200003","20060426","","03","폐업","03","폐업","20110201","","","","","","614030","부산광역시 부산진구 부전동 53번지 하나로클럽 2층","부산광역시 부산진구 중앙대로783번길 14 (부전동,하나로클럽 2층)","","하나로안경원","20131021111251","I","2018-08-31 23:59:59.0","","387835.925160286","186795.116897803","1","1","1","1","1","1","1","1","1","",
"202","안경업","01_02_01_P","3290000","PHMB220063290024082200004","20061108","","03","폐업","03","폐업","20110930","","","","","","614030","부산광역시 부산진구 부전동 255번지 4호","부산광역시 부산진구 서면로68번길 15 (부전동)","","안경렌즈스토리","20111010153219","I","2018-08-31 23:59:59.0","","387502.346379816","186067.146459631","1","1","1","1","1","1","1","1","1","",
"203","안경업","01_02_01_P","3290000","PHMB219933290024082200002","19930712","","03","폐업","03","폐업","20100319","","","","051-806-2873","","614024","부산광역시 부산진구 범천동 1066번지","","","제일안경원","20131021110140","I","2018-08-31 23:59:59.0","","","","1","1","1","1","1","1","1","1","1","",
"204","안경업","01_02_01_P","3290000","PHMB219953290024082200002","19950911","","03","폐업","03","폐업","20110216","","","","051-895-2288","","614103","부산광역시 부산진구 당감동 491번지 16호","부산광역시 부산진구 백양대로136번길 41 (당감동)","","국제안경원","20110216152556","I","2018-08-31 23:59:59.0","","385237.647998474","186634.428032715","1","1","1","1","1","1","1","1","1","",
"205","안경업","01_02_01_P","3290000","PHMB219953290024082200003","19951025","","03","폐업","03","폐업","20140220","","","","051-806-0221","","614070","부산광역시 부산진구 연지동 394번지 10호","","","제누네안경원","20140220174729","I","2018-08-31 23:59:59.0","","","","1","1","1","1","1","1","1","1","1","",
"206","안경업","01_02_01_P","3290000","PHMB219963290024082200003","19960826","","03","폐업","03","폐업","20091230","","","","051-805-6300","","614031","부산광역시 부산진구 부전동 485번지 17호","부산광역시 부산진구 가야대로 775-1 (부전동)","","아이비젼안경원","20131021110343","I","2018-08-31 23:59:59.0","","387307.94207796","186240.807961918","1","1","1","1","1","1","1","1","1","294.88",
"207","안경업","01_02_01_P","3290000","PHMB219973290024082200001","19970905","","03","폐업","03","폐업","20120228","","","","051-804-7711","","","부산광역시 부산진구 전포동 892-21 서면노르웨이아침 1816호","","","눈사랑안경원","20120228171958","I","2018-08-31 23:59:59.0","","","","1","1","1","1","1","1","1","1","1","",
"208","안경업","01_02_01_P","3290000","PHMB220003290024082200001","20000403","","03","폐업","03","폐업","20120508","","","","051-817-8852","","614043","부산광역시 부산진구 전포동 881번지 8호","부산광역시 부산진구 전포대로175번길 37-5 (전포동)","","시티안경원","20120508160307","I","2018-08-31 23:59:59.0","","387940.403285338","185592.056166344","1","1","1","1","1","1","1","1","1","",
"209","안경업","01_02_01_P","3290000","PHMB220113290024082200001","20110117","","03","폐업","03","폐업","20191122","","","","051-818-9938","","614848","부산광역시 부산진구 부전1동 573번지 1호 대현프리몰 E-11호","부산광역시 중앙대로 지하 717, E-11호 (대현지하상가)","47286","오렌즈부산점","20191122175157","U","2019-11-24 02:40:00.0","","387618.822819234","186273.478853367","1","1","1","1","1","1","1","1","1","19.57",
"210","안경업","01_02_01_P","3290000","PHMB220123290024082200003","20120524","","03","폐업","03","폐업","20150203","","","","","","614732","부산광역시 부산진구 부전2동 503번지 15호 롯데백화점 2층","부산광역시 부산진구 가야대로 772, 2층 (부전동)","614732","아이에비뉴안경 롯데백화점 부산점","20150203142922","I","2018-08-31 23:59:59.0","","387271.299492377","186099.137533193","1","1","1","1","1","1","1","1","1","39.89",
"211","안경업","01_02_01_P","3290000","PHMB220153290024082200003","20150512","","03","폐업","03","폐업","20170501","","","","051-810-3459","","614732","부산광역시 부산진구 부전동 503번지 15호","부산광역시 부산진구 가야대로 772 (부전동, 4층)","47285","스펙터 롯데부산본점","20170501130001","I","2018-08-31 23:59:59.0","","387271.299492377","186099.137533193","1","1","2","5","3","1","1","2","2","35.7",
"212","안경업","01_02_01_P","3290000","PHMB220153290024082200005","20150527","","03","폐업","03","폐업","20190812","","","","051-802-7899","","614031","부산광역시 부산진구 부전동 261번지 4호","부산광역시 부산진구 새싹로 10-1, 1층 (부전동)","47254","성모 안경원","20190902104622","U","2019-09-04 02:40:00.0","","387481.645549084","186375.065744993","1","1","1","1","1","1","1","1","1","33",
"213","안경업","01_02_01_P","3290000","PHMB220003290024082200003","20000908","","03","폐업","03","폐업","20110221","","","","051-922-4222","","614772","부산광역시 부산진구 전포동 668번지 1호 밀리오레(4층) 2085-1","부산광역시 부산진구 동천로 92 (전포동,밀리오레(4층) 2085-1)","","크리스탈안경 밀리오레점","20110221114829","I","2018-08-31 23:59:59.0","","387920.292112964","186157.316240551","1","1","1","1","1","1","1","1","1","",
"214","안경업","01_02_01_P","3290000","PHMB219923290024082200001","19920325","","03","폐업","03","폐업","20110303","","","","051-811-1211","","614040","부산광역시 부산진구 전포동 660번지 1호","부산광역시 부산진구 동천로 116 (전포동)","","한신안경원","20110303161520","I","2018-08-31 23:59:59.0","","387869.134317928","186381.28184674","1","1","1","1","1","1","1","1","1","",
"215","안경업","01_02_01_P","3290000","PHMB220183290024082200002","20180806","","03","폐업","03","폐업","20181120","","","","051-804-4009","","","부산광역시 부산진구 부전동 169번지 2호","부산광역시 부산진구 중앙대로702번길 50, 2층 (부전동)","47295","으뜸플러스","20181121121954","U","2018-11-23 02:35:54.0","","387808.638172909","185953.405150235","1","1","1","4","2","1","1","2","2","142.5",
"216","안경업","01_02_01_P","3290000","PHMB220193290024082200001","20190130","","01","영업/정상","13","영업중","","","","","051-715-7966","","","","부산광역시 부산진구 동성로 149, 1층 (전포동)","47243","눈사랑안경 부전역점","20190130134401","I","2019-02-01 02:21:07.0","","387890.230828618","186622.092859162","1","1","","1","1","","","","","40",
"217","안경업","01_02_01_P","3290000","PHMB220193290024082200002","20190513","","01","영업/정상","13","영업중","","","","","807-8843","","","부산광역시 부산진구 부전동 168번지 291호","부산광역시 부산진구 동천로 89, 1층 (부전동)","47292","세컨페이스안경","20190513165535","I","2019-05-15 02:21:01.0","","387825.371675288","186103.728712915","1","1","1","1","2","1","1","1","1","88.07",
"218","안경업","01_02_01_P","3290000","PHMB220193290024082200005","20190925","","01","영업/정상","13","영업중","","","","","051-816-5050","","","부산광역시 부산진구 부전동 187번지 13호","부산광역시 부산진구 중앙대로692번길 25, 지하1층 (부전동)","47295","으뜸50안경 서면점","20190927134153","I","2019-09-29 02:22:39.0","","387697.258183115","185880.145213983","1","1","1","1","2","","","","","76.69",
"219","안경업","01_02_01_P","3290000","PHMB220193290024082200004","20190726","","01","영업/정상","13","영업중","","","","","051-938-6815","","","부산광역시 부산진구 초읍동 268번지 5호","부산광역시 부산진구 새싹로210번길 5 (초읍동)","47127","폼하우스 안경","20190730132240","I","2019-08-01 02:21:51.0","","386598.436087782","188118.127398427","1","1","1","1","3","1","1","1","1","79.98",
"220","안경업","01_02_01_P","3290000","PHMB220193290024082200003","20190702","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 227번지 2호 삼정타워","부산광역시 부산진구 중앙대로 672, 삼정타워 2층 (부전동)","47296","룩옵티컬 서면점","20200422135243","U","2020-04-24 02:40:00.0","","387608.014165034","185703.079007724","1","1","1","1","1","1","1","1","1","59.88",
"221","안경업","01_02_01_P","3290000","PHMB220193290024082200006","20150731","","01","영업/정상","13","영업중","","","","","051-808-7088","","","부산광역시 부산진구 부전동 261번지 4호","부산광역시 부산진구 새싹로 10-1, 1층 (부전동)","47254","으뜸밝은세상안경 서면성모안과점","20220411100540","U","2022-04-13 02:40:00.0","","387481.645549084","186375.065744993","2","2","1","1","1","1","1","1","1","33",
"222","안경업","01_02_01_P","3290000","PHMB220223290024082200001","20220228","","01","영업/정상","13","영업중","","","","","051-806-6719","","","부산광역시 부산진구 부전동 255-52","부산광역시 부산진구 중앙대로 705, 1층 일부 (부전동)","47286","아이뱅크안경","20220228155227","I","2022-03-02 00:22:36.0","","387536.289343121","186005.344248737","1","0","0","1","1","0","0","0","0","60",
"223","안경업","01_02_01_P","3290000","PHMB220053290024082200003","20050511","","01","영업/정상","13","영업중","","","","","051-818-4959","","614847","부산광역시 부산진구 부전2동 256번지 3호 1층","부산광역시 부산진구 서면로 64, 1층 (부전동)","47286","렌즈하우스안경원","20190628152232","U","2019-06-30 02:40:00.0","","387460.643742242","186082.895892226","1","1","1","1","1","1","1","1","1","17.1",
"224","안경업","01_02_01_P","3290000","PHMB219813290024082200001","19810831","","01","영업/정상","13","영업중","","","","","051-806-3339","","","부산광역시 부산진구 부전동 396번지 22호","부산광역시 부산진구 새싹로 24-1 (부전동)","47253","밝은눈안경원","20180109134846","I","2018-08-31 23:59:59.0","","387401.690942275","186476.603888936","1","1","1","1","1","1","1","1","1","95.6",
"225","안경업","01_02_01_P","3290000","PHMB219913290024082200013","19910905","","01","영업/정상","13","영업중","","","","","051-803-1923","","","부산광역시 부산진구 부전동 573번지 1호","부산광역시 부산진구 중앙대로 지하 717, 나(46~48),다(46~48),라(64,65)호 (부전동, 대현프리몰)","47286","유진안경원","20160201153749","I","2018-08-31 23:59:59.0","","387618.822819234","186273.478853367","1","1","1","1","1","1","1","1","1","211.56",
"226","안경업","01_02_01_P","3290000","PHMB220023290024082200001","20020326","","01","영업/정상","13","영업중","","","","","051-802-9113","","614836","부산광역시 부산진구 부암1동 93번지","부산광역시 부산진구 시민공원로 31 (부암동)","47192","비젼센타","20131227155142","I","2018-08-31 23:59:59.0","","386948.954199558","186897.053699125","1","1","1","1","1","1","1","1","1","95.38",
"227","안경업","01_02_01_P","3290000","PHMB220023290024082200003","20020425","","01","영업/정상","13","영업중","","","","","051-864-6010","","614858","부산광역시 부산진구 양정1동 507번지 21호","부산광역시 부산진구 동평로 364 (양정동)","47207","공일공안경콘택트","20141222132418","I","2018-08-31 23:59:59.0","","388047.151272757","188103.290732645","1","1","1","1","1","1","1","1","1","",
"228","안경업","01_02_01_P","3290000","PHMB220033290024082200001","20030416","","01","영업/정상","13","영업중","","","","","051-896-9151","","614821","부산광역시 부산진구 당감4동 419번지 1층","부산광역시 부산진구 동평로 84, 1층 (당감동)","47180","010안경원","20140202163008","I","2018-08-31 23:59:59.0","","385667.376653877","187014.563169427","1","1","1","1","1","1","1","1","1","",
"229","안경업","01_02_01_P","3290000","PHMB219823290024082200001","19820331","","01","영업/정상","13","영업중","","","","","051-809-9362","","614817","부산광역시 부산진구 당감1동 258번지 12호","부산광역시 부산진구 당감로 23 (당감동)","47180","불란서안경원","20131227151858","I","2018-08-31 23:59:59.0","","385742.565723248","186851.111909532","1","1","1","1","1","1","1","1","1","50.6",
"230","안경업","01_02_01_P","3290000","PHMB219903290024082200001","19901010","","01","영업/정상","13","영업중","","","","","051-897-4729","","614817","부산광역시 부산진구 당감1동 252번지 96호","부산광역시 부산진구 당감로 22 (당감동)","47181","미라노안경원","20140202163456","I","2018-08-31 23:59:59.0","","385771.46395743","186843.486742016","1","1","1","1","1","1","1","1","1","34.45",
"231","안경업","01_02_01_P","3290000","PHMB219903290024082200002","19901107","","01","영업/정상","13","영업중","","","","","051-897-7278","","614817","부산광역시 부산진구 당감1동 887번지 7호","부산광역시 부산진구 동평로 110 (당감동)","47181","안경나라","20140202163423","I","2018-08-31 23:59:59.0","","385927.411996202","187085.537563701","1","1","1","1","1","1","1","1","1","20",
"232","안경업","01_02_01_P","3290000","PHMB219903290024082200003","19901110","","01","영업/정상","13","영업중","","","","","051-897-1038","","614821","부산광역시 부산진구 당감4동 730번지 80호","부산광역시 부산진구 당감로 61 (당감동)","47145","메디칼안경원","20131227151518","I","2018-08-31 23:59:59.0","","385665.555998157","187230.487212323","1","1","1","1","1","1","1","1","1","18.63",
"233","안경업","01_02_01_P","3290000","PHMB219903290024082200004","19901129","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 255-52","부산광역시 부산진구 중앙대로 705, 1층 일부층 (부전동)","47286","아이뱅크 위드렌즈","20220225171330","U","2022-02-27 02:40:00.0","","387536.289343121","186005.344248737","1","1","1","1","1","1","1","1","1","35.21",
"234","안경업","01_02_01_P","3290000","PHMB219913290024082200002","19910524","","01","영업/정상","13","영업중","","","","","051-804-8932","","614866","부산광역시 부산진구 전포1동 206번지 37호","부산광역시 부산진구 서전로 68 (전포동)","47303","서독안경원","20131227151954","I","2018-08-31 23:59:59.0","","388268.831073556","186231.777893338","1","1","1","1","1","1","1","1","1","42",
"235","안경업","01_02_01_P","3290000","PHMB219913290024082200003","19910628","","01","영업/정상","13","영업중","","","","","051-891-8600","","614803","부산광역시 부산진구 가야3동 271번지 13호 1층","부산광역시 부산진구 대학로 10-13, 1층 (가야동)","47330","뉴-이태리안경원","20151124145345","I","2018-08-31 23:59:59.0","","385513.902245166","185802.891469196","1","1","1","1","1","1","1","1","1","115.83",
"236","안경업","01_02_01_P","3290000","PHMB219913290024082200004","19910628","","01","영업/정상","13","영업중","","","","","051-863-8230","","614855","부산광역시 부산진구 양정2동 310번지 12호","부산광역시 부산진구 연수로 17 (양정동)","47216","영남안경마트","20131227152131","I","2018-08-31 23:59:59.0","","388803.364785092","188046.378216388","1","1","1","1","1","1","1","1","1","44.1",
"237","안경업","01_02_01_P","3290000","PHMB219913290024082200005","19910628","","01","영업/정상","13","영업중","","","","","051-802-0638","","614866","부산광역시 부산진구 전포1동 206번지 14호","부산광역시 부산진구 서전로 64 (전포동)","47303","중앙안경원","20171215154741","I","2018-08-31 23:59:59.0","","388244.27950273","186232.533164257","1","1","1","1","1","1","1","1","1","",
"238","안경업","01_02_01_P","3290000","PHMB219913290024082200006","19910628","","01","영업/정상","13","영업중","","","","","051-805-9304","","614873","부산광역시 부산진구 초읍동 218번지 12호 1층","부산광역시 부산진구 성지로 79, 1층 (초읍동)","47126","동국안경원","20131227152326","I","2018-08-31 23:59:59.0","","387009.673749545","188418.641226099","1","1","1","1","1","1","1","1","1","38.4",
"239","안경업","01_02_01_P","3290000","PHMB219913290024082200007","19910628","","01","영업/정상","13","영업중","","","","","051-634-7056","","614833","부산광역시 부산진구 범천2동 1252번지 112호","부산광역시 부산진구 신암로 79 (범천동)","47350","보안당안경원","20131227152508","I","2018-08-31 23:59:59.0","","387071.638288613","185180.725861681","1","1","1","1","1","1","1","1","1","29.7",
"240","안경업","01_02_01_P","3290000","PHMB219913290024082200008","19910628","","01","영업/정상","13","영업중","","","","","051-802-3975","","614845","부산광역시 부산진구 부전2동 197번지 3호 1층","부산광역시 부산진구 중앙대로680번길 680, 1층 (부전동)","47296","고려안경원","20140202163327","I","2018-08-31 23:59:59.0","","387597.486318085","185757.555098041","1","1","1","1","1","1","1","1","1","62.4",
"241","안경업","01_02_01_P","3290000","PHMB219913290024082200009","19910628","","01","영업/정상","13","영업중","","","","","051-863-9613","","614813","부산광역시 부산진구 개금1동 171번지 56호","부산광역시 부산진구 가야대로 484 (개금동)","47324","안경세상","20160715140434","I","2018-08-31 23:59:59.0","","384444.861626416","185621.975647113","1","1","1","1","1","1","1","1","1","24",
"242","안경업","01_02_01_P","3290000","PHMB219913290024082200011","19910628","","01","영업/정상","13","영업중","","","","","051-893-3042","","614815","부산광역시 부산진구 개금동 566번지 16호","부산광역시 부산진구 엄광로44번길 32 (개금동)","47388","남양사안경원","20150511155825","I","2018-08-31 23:59:59.0","","384133.453577714","184944.946784813","1","1","1","1","1","1","1","1","1","33",
"243","안경업","01_02_01_P","3290000","PHMB220003290024082200005","20001004","","01","영업/정상","13","영업중","","","","","051-922-4044","","614772","부산광역시 부산진구 전포1동 668번지 1호 밀리오레 4층 404호","부산광역시 부산진구 동천로 92, 4층 404호 (전포동, 밀리오레)","47293","나무안경","20140202163142","I","2018-08-31 23:59:59.0","","387920.292112964","186157.316240551","1","1","1","1","1","1","1","1","1","23.68",
"244","안경업","01_02_01_P","3290000","PHMB220003290024082200007","20001216","","01","영업/정상","13","영업중","","","","","051-817-7577","","","부산광역시 부산진구 초읍동 215번지 10호","부산광역시 부산진구 성지로 76-1, 1층 (초읍동)","47116","라데팡스안경원","20200323140552","U","2020-03-25 02:40:00.0","","387062.397133488","188409.275125206","1","1","1","1","1","1","1","1","1","96.6",
"245","안경업","01_02_01_P","3290000","PHMB220013290024082200001","20010523","","01","영업/정상","13","영업중","","","","","051-817-6006","","614876","부산광역시 부산진구 부전2동 467번지 11호","부산광역시 부산진구 가야대로 763 (부전동)","47257","아르고스안경","20131227154504","I","2018-08-31 23:59:59.0","","387175.937256479","186235.986134326","1","1","1","1","1","1","1","1","1","66",
"246","안경업","01_02_01_P","3290000","PHMB220103290024082200001","20100225","","01","영업/정상","13","영업중","","","","","051-816-8880","","614070","부산광역시 부산진구 연지동 340번지 3호","부산광역시 부산진구 새싹로 186 (연지동)","47132","초이스안경","20220510113129","U","2022-05-12 02:40:00.0","","386661.403096464","187879.971615299","1","1","1","1","1","1","1","1","2","68.82",
"247","안경업","01_02_01_P","3290000","PHMB220103290024082200002","20100402","","01","영업/정상","13","영업중","","","","","051-818-8827","","614845","부산광역시 부산진구 부전2동 170번지 31호","부산광역시 부산진구 중앙대로692번길 49 (부전동)","47295","파프리카안경","20181015141821","U","2018-10-15 23:59:59.0","","387815.652573538","185885.721009786","1","1","1","1","1","1","1","1","1","144.43",
"248","안경업","01_02_01_P","3290000","PHMB220103290024082200003","20100621","","01","영업/정상","13","영업중","","","","","051-818-8111","","614846","부산광역시 부산진구 부전2동 254번지 5호","부산광역시 부산진구 중앙대로 693 (부전동)","47286","아이젠트리서면점","20160407131125","I","2018-08-31 23:59:59.0","","387529.500161094","185897.36150471","2","2","2","1","3","2","1","3","3","132",
"249","안경업","01_02_01_P","3290000","PHMB220103290024082200004","20100712","","01","영업/정상","13","영업중","","","","","070-4065-6692","","614839","부산광역시 부산진구 부암3동 506번지 5호 1층","부산광역시 부산진구 당감서로 92-3, 1층 (부암동)","47142","비추미안경원","20131021170538","I","2018-08-31 23:59:59.0","","385460.537969093","187395.586613249","1","1","1","1","1","1","1","1","1","67.71",
"250","안경업","01_02_01_P","3290000","PHMB220103290024082200005","20100727","","01","영업/정상","13","영업중","","","","","051-808-9060","","614847","부산광역시 부산진구 부전2동 515번지 11호 1층","부산광역시 부산진구 중앙대로691번가길 5 (부전동)","47287","사라토가안경","20131021170240","I","2018-08-31 23:59:59.0","","387261.956732821","185871.693585718","1","1","1","1","2","1","1","2","2","66.57",
"251","안경업","01_02_01_P","3290000","PHMB220073290024082200003","20070412","","01","영업/정상","13","영업중","","","","","051-900-7733","","614800","부산광역시 부산진구 가야1동 56번지 2호","부산광역시 부산진구 가야대로 597 (가야동)","47272","안경나라 안경콘택트","20140202161943","I","2018-08-31 23:59:59.0","","385548.398326849","185908.029905205","1","1","1","1","1","1","1","1","1","",
"252","안경업","01_02_01_P","3290000","PHMB220073290024082200005","20071108","","01","영업/정상","13","영업중","","","","","051-638-1080","","614022","부산광역시 부산진구 범천2동 1234번지 36호","부산광역시 부산진구 신암로 83 (범천동)","47350","안경 1080","20161031162950","I","2018-08-31 23:59:59.0","","387045.260686193","185210.630517212","1","1","1","1","1","1","1","1","1","",
"253","안경업","01_02_01_P","3290000","PHMB220083290024082200001","20080807","","01","영업/정상","13","영업중","","","","","051-862-1400","","614853","부산광역시 부산진구 양정1동 353번지 29호","부산광역시 부산진구 양지로 5 (양정동)","47229","러브아이안경","20140202161820","I","2018-08-31 23:59:59.0","","388480.296087992","187606.156745906","1","1","1","1","1","1","1","1","1","",
"254","안경업","01_02_01_P","3290000","PHMB220033290024082200002","20030614","","01","영업/정상","13","영업중","","","","","051-866-6333","","","부산광역시 부산진구 양정동 502번지 15호","부산광역시 부산진구 동평로 382, 1층 (양정동)","47207","한스안경원","20190211090807","U","2019-02-13 02:40:00.0","","388221.951369144","188100.609504771","1","1","1","1","1","1","1","1","1","42.06",
"255","안경업","01_02_01_P","3290000","PHMB220033290024082200003","20030716","","01","영업/정상","13","영업중","","","","","051-898-0007","","614811","부산광역시 부산진구 개금3동 461번지 2호","부산광역시 부산진구 백양대로 301 (개금동)","47266","로뎀안경콘택트","20140202162130","I","2018-08-31 23:59:59.0","","383863.699412245","185759.635069571","1","1","1","1","1","1","1","1","1","",
"256","안경업","01_02_01_P","3290000","PHMB220033290024082200007","20030901","","01","영업/정상","13","영업중","","","","","051-897-7252","","614811","부산광역시 부산진구 개금3동 258번지 1호 1층 일부","부산광역시 부산진구 백양대로 235, 1층 (개금동)","47259","부산안경원","20140202162859","I","2018-08-31 23:59:59.0","","384446.673058078","186079.940973578","1","1","1","1","1","1","1","1","1","",
"257","안경업","01_02_01_P","3290000","PHMB220053290024082200007","20051220","","01","영업/정상","13","영업중","","","","","051-805-1777","","614845","부산광역시 부산진구 부전2동 175번지","부산광역시 부산진구 중앙대로680번가길 38 (부전동)","47295","갤러리안경원","20160226163106","I","2018-08-31 23:59:59.0","","387770.158586521","185942.717662486","1","1","1","1","1","1","1","1","1","144.85",
"258","안경업","01_02_01_P","3290000","PHMB220063290024082200001","20060203","","01","영업/정상","13","영업중","","","","","051-817-8084","","614845","부산광역시 부산진구 부전2동 168번지 173호","부산광역시 부산진구 중앙대로702번길 25 (부전동)","47292","코나비 안경","20131021171853","I","2018-08-31 23:59:59.0","","387691.688016444","185973.89504107","1","1","1","1","1","1","1","1","1","77.14",
"259","안경업","01_02_01_P","3290000","PHMB220063290024082200002","20060425","","01","영업/정상","13","영업중","","","","","051-898-1881","","614811","부산광역시 부산진구 개금3동 447번지 35호","부산광역시 부산진구 백양대로 315 (개금동)","47266","불루안경콘택트렌즈","20140202162646","I","2018-08-31 23:59:59.0","","383731.927035017","185720.780051873","1","1","1","1","1","1","1","1","1","",
"260","안경업","01_02_01_P","3290000","PHMB220103290024082200008","20101202","","01","영업/정상","13","영업중","","","","","051-892-6161","","614845","부산광역시 부산진구 부전2동 149번지 5호","부산광역시 부산진구 서전로 20 (부전동)","47292","렌즈#","20131202142614","I","2018-08-31 23:59:59.0","","387798.479598281","186214.046155557","1","1","1","1","1","1","1","1","1","11.5",
"261","안경업","01_02_01_P","3290000","PHMB220123290024082200005","20120827","","01","영업/정상","13","영업중","","","","","051-852-9777","","614852","부산광역시 부산진구 양정2동 336번지 6호","부산광역시 부산진구 연수로 4-1 (양정동)","47221","모노옵티컬안경","20141226165229","I","2018-08-31 23:59:59.0","","388688.953993966","187939.350778643","1","1","1","1","1","1","1","1","1","181.39",
"262","안경업","01_02_01_P","3290000","PHMB220133290024082200001","20130325","","01","영업/정상","13","영업중","","","","","051-893-3818","","614011","부산광역시 부산진구 가야1동 465번지 2호 외 14필지, 2층","부산광역시 부산진구 엄광로 176, 2층 (가야동)","47340","조은안경나라 동의대점","20160419094215","I","2018-08-31 23:59:59.0","","385416.164685348","184802.978933859","1","1","1","1","1","1","1","1","1","33",
"263","안경업","01_02_01_P","3290000","PHMB220133290024082200002","20130430","","01","영업/정상","13","영업중","","","","","051-892-7976","","","부산광역시 부산진구 가야동 50번지 1호 유림아파트 싱가동 107호","부산광역시 부산진구 가야대로 613, 상가동 107호 (가야동, 유림아파트)","47273","아이앤아이안경","20190628133823","U","2019-06-30 02:40:00.0","","385733.529901161","185961.315340121","1","1","1","1","1","1","1","1","1","56.3",
"264","안경업","01_02_01_P","3290000","PHMB220153290024082200001","20150122","","01","영업/정상","13","영업중","","","","","804-7975","","","","부산광역시 부산진구 새싹로 2, 4층 (부전동, 국민은행 부전동지점)","47254","아이포유 안경원","20170512171445","I","2018-08-31 23:59:59.0","","387541.644466417","186316.598024012","1","1","1","1","1","1","1","1","1","53.85",
"265","안경업","01_02_01_P","3290000","PHMB220163290024082200001","20160609","","01","영업/정상","13","영업중","","","","","051-802-0518","","","부산광역시 부산진구 부전동 194번지 5호","부산광역시 부산진구 중앙대로 690-1, 1층 (부전동)","47296","렌즈미서면점","20180614135829","I","2018-08-31 23:59:59.0","","387588.223994125","185848.569631731","1","1","1","1","1","1","1","2","2","77.69",
"266","안경업","01_02_01_P","3290000","PHMB220163290024082200003","20161025","","01","영업/정상","13","영업중","","","","","051-816-4500","","","부산광역시 부산진구 부전동 242번지 29호","부산광역시 부산진구 중앙대로691번길 18 (부전동)","47286","갤러리안경 서면1번가점","20171110105132","I","2018-08-31 23:59:59.0","","387462.725525152","185871.844070435","1","1","1","1","2","1","1","2","2","122.38",
"267","안경업","01_02_01_P","3290000","PHMB220163290024082200004","20161116","","01","영업/정상","13","영업중","","","","","051-893-5791","","","부산광역시 부산진구 개금동 177번지 241호 항외과","부산광역시 부산진구 가야대로 464 (개금동)","47323","다비치안경(개금역점)","20171110105013","I","2018-08-31 23:59:59.0","","384248.712050421","185620.350614322","1","1","1","1","1","1","1","1","1","",
"268","안경업","01_02_01_P","3290000","PHMB220173290024082200004","20170925","","01","영업/정상","13","영업중","","","","","051-810-3732","","","부산광역시 부산진구 부전동 503번지 15호","부산광역시 부산진구 가야대로 772, 7층 (부전동)","47285","프레임스토어315","20200224151140","U","2020-02-26 02:40:00.0","","387271.299492377","186099.137533193","1","1","1","1","1","1","1","1","1","13.86",
"269","안경업","01_02_01_P","3290000","PHMB220183290024082200001","20180509","","01","영업/정상","13","영업중","","","","","051-816-1042","","","부산광역시 부산진구 전포동 164번지 6호","부산광역시 부산진구 중앙대로824번길 12-1 (전포동)","47236","어바웃리더스","20180509104140","I","2018-08-31 23:59:59.0","","388183.844998164","186946.823433453","1","1","1","1","1","1","1","1","1","23.1",
"270","안경업","01_02_01_P","3290000","PHMB219933290024082200001","19930211","","01","영업/정상","13","영업중","","","","","051-818-3702","","614070","부산광역시 부산진구 연지동 376번지 8호","부산광역시 부산진구 새싹로 145 (연지동)","47109","연지안경원","20131202135639","I","2018-08-31 23:59:59.0","","386671.870094214","187483.273107918","1","1","1","1","1","1","1","1","1","",
"271","안경업","01_02_01_P","3290000","PHMB219963290024082200001","19960417","","01","영업/정상","13","영업중","","","","","051-802-0222","","614849","부산광역시 부산진구 부전1동 485번지 9호","부산광역시 부산진구 가야대로 767 (부전동)","47257","메디칼안경원","20160212110732","I","2018-08-31 23:59:59.0","","387221.898255712","186253.840304505","1","1","1","1","1","1","1","1","1","33.05",
"272","안경업","01_02_01_P","3290000","PHMB219963290024082200002","19960716","","01","영업/정상","13","영업중","","","","","051-636-9356","","614827","부산광역시 부산진구 범천1동 846번지 9호","부산광역시 부산진구 범일로 150 (범천동)","47365","비젼안경원","20131227153003","I","2018-08-31 23:59:59.0","","387625.344435399","184631.072324523","1","1","1","1","1","1","1","1","1","",
"273","안경업","01_02_01_P","3290000","PHMB219983290024082200001","19980323","","01","영업/정상","13","영업중","","","","","051-894-3200","","614817","부산광역시 부산진구 당감1동 257번지 9호","부산광역시 부산진구 당감로 21-1 (당감동)","47180","갤러리안경원","20131227153053","I","2018-08-31 23:59:59.0","","385746.70053912","186839.647091014","1","1","1","1","1","1","1","1","1","",
