"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","판매점영업면적",
"921","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500089","20121115","","01","영업/정상","13","영업중","","","","","051-611-3983","","608818","부산광역시 남구 대연동 1281번지 8호","부산광역시 남구 못골로41번길 20 (대연동)","48438","세븐일레븐부산대연동원점","20130820113229","I","2018-08-31 23:59:59.0","","390155.937021701","183951.439167477","49.5",
"922","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500090","20121115","","01","영업/정상","13","영업중","","","","","051-621-8530","","608838","부산광역시 남구 용호동 486번지 3호","부산광역시 남구 용호로178번길 3 (용호동)","48568","세븐일레븐부산용호2호점","20130820113355","I","2018-08-31 23:59:59.0","","392352.715711278","181729.363731621","49.5",
"923","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500094","20121115","","01","영업/정상","13","영업중","","","","","051-625-2057","","608805","부산광역시 남구 대연동 74번지 9호","부산광역시 남구 수영로298번길 14 (대연동)","48499","세븐일레븐경성용연점","20130820114057","I","2018-08-31 23:59:59.0","","391240.985587729","183906.486049357","49.5",
"924","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320133310024087500002","20130731","","01","영업/정상","13","영업중","","","","","610-0770","","","","부산광역시 남구 수영로 312-203 (대연동)","608743","씨유 경성대센츄리점","20140206131133","I","2018-08-31 23:59:59.0","","","","60",
"925","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320133310024087500004","20130114","","01","영업/정상","13","영업중","","","","","627-3423","","608837","부산광역시 남구 용호동 484번지 16호","부산광역시 남구 용호로178번길 16 (용호동)","48566","미니스톱 용호예문점","20130812133211","I","2018-08-31 23:59:59.0","","392300.154158792","181759.746918172","66",
"926","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320133310024087500005","20130204","","01","영업/정상","13","영업중","","","","","627-4582","","608817","부산광역시 남구 대연동 1767번지 15호","부산광역시 남구 수영로 159 (대연동)","48453","씨유남구청점","20130812133742","I","2018-08-31 23:59:59.0","","389871.986067031","183746.324322341","29.7",
"927","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320133310024087500008","20130313","","01","영업/정상","13","영업중","","","","","628-3526","","608817","부산광역시 남구 대연동 76번지 32호","부산광역시 남구 수영로 276-2 (대연동)","48499","씨유대연제일점","20130812135432","I","2018-08-31 23:59:59.0","","391046.671520217","183827.611266799","33",
"928","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320133310024087500010","20130325","","01","영업/정상","13","영업중","","","","","634-1384","","608803","부산광역시 남구 감만동 258번지 5호","부산광역시 남구 우암로26번길 8 (감만동)","48554","GS25감만현대점","20130812143424","I","2018-08-31 23:59:59.0","","389791.032395353","181301.067206454","66",
"929","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500079","20121128","","01","영업/정상","13","영업중","","","","","624-0812","","608829","부산광역시 남구 용당동 164번지 2호","부산광역시 남구 신선로 309-1 (용당동)","48548","GS25신선대점","20130812112907","I","2018-08-31 23:59:59.0","","390966.114586769","181415.034645234","85",
"930","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500081","20121224","","01","영업/정상","13","영업중","","","","","646-2200","","608824","부산광역시 남구 문현동 374번지 1호 이안아파트 상가 B2동 205호","부산광역시 남구 전포대로 16, B2동 205층 (문현동, 이안아파트 상가)","48415","GS25문현이안점","20130812132159","I","2018-08-31 23:59:59.0","","388439.180558069","184065.482335463","49.5",
"931","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500082","20121224","","01","영업/정상","13","영업중","","","","","611-8936","","","부산광역시 남구 대연동 638번지 14호","부산광역시 남구 유엔로201번길 41 (대연동)","48502","씨유 신대연여명점","20171103164805","I","2018-08-31 23:59:59.0","","391160.944254831","183445.297267104","49.5",
"932","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320143310024087500006","20140304","","01","영업/정상","13","영업중","","","","","051-611-6500","","","","부산광역시 남구 분포로 133, 1006동 1층 101호 (용호동)","608784","GS25 메트로 3호점","20140304165319","I","2018-08-31 23:59:59.0","","","","40",
"933","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320143310024087500009","20140425","","01","영업/정상","13","영업중","","","","","051-625-1675","","608805","부산광역시 남구 대연동 43번지 6호","부산광역시 남구 용소로19번길 54 (대연동)","48511","GS25 부경대연점","20140507171011","I","2018-08-31 23:59:59.0","","391645.40595519","183981.131367445","50.44",
"934","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320153310024087500009","20150710","","01","영업/정상","13","영업중","","","","","051)621-4950","","608804","부산광역시 남구 대연동 55번지 11호","부산광역시 남구 용소로7번길 21 (대연동)","48508","(주)코리아세븐 경성대점","20150713091706","I","2018-08-31 23:59:59.0","","391450.397442153","184032.376459689","49.5",
"935","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320153310024087500012","20150819","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용호동 76번지 1호","부산광역시 남구 용호로110번길 43 (용호동, 빅세일마트)","48526","세븐일레븐 부산용호일동점","20200910174143","U","2020-09-12 02:40:00.0","","392253.865963897","182399.177257849","136",
"936","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500040","20121112","","01","영업/정상","13","영업중","","","","","628-8900","","608090","부산광역시 남구 용호동 944번지 108호","부산광역시 남구 오륙도로 85 (용호동)","48594","GS25오륙도SK점","20130809115440","I","2018-08-31 23:59:59.0","","393449.69378400000","180727.61997800000","61.2",
"937","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500045","20121112","","01","영업/정상","13","영업중","","","","","611-9692","","608814","부산광역시 남구 대연동 1204번지 21호","부산광역시 남구 수영로196번길 42 (대연동)","48460","세븐일레븐 대연성심점","20130812092614","I","2018-08-31 23:59:59.0","","390247.584358319","183529.265469586","68",
"938","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500046","20121112","","01","영업/정상","13","영업중","","","","","633-1141","","608801","부산광역시 남구 감만동 160번지 5호","부산광역시 남구 홍곡로 10 (감만동)","48551","GS25감만점","20130812092943","I","2018-08-31 23:59:59.0","","389721.01850537","181632.426354221","153",
"939","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500050","20121112","","01","영업/정상","13","영업중","","","","","623-7880","","608749","부산광역시 남구 용호동 944번지","부산광역시 남구 오륙도로 85, 제1상가2동 109호 (용호동)","48594","씨유오륙도SK점","20130812095208","I","2018-08-31 23:59:59.0","","393163.706837417","180257.324526174","39.6",
"940","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500051","20121112","","01","영업/정상","13","영업중","","","","","642-7820","","608827","부산광역시 남구 문현동 774번지 15호","부산광역시 남구 전포대로 69 (문현동)","48401","씨유문현하나점","20130812095426","I","2018-08-31 23:59:59.0","","388249.967602327","184607.532982511","110",
"941","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320133310024087500014","20131104","","01","영업/정상","13","영업중","","","","","051-625-4799","","","부산광역시 남구 용호동 369번지 8호 용호동조광빌로체아파트","부산광역시 남구 용호로 124, 104호 (용호동, 용호동조광빌로체아파트)","48527","세븐일레븐 부산용호제일점","20181101145116","U","2018-11-03 02:35:53.0","","392452.564795287","182291.078475036","49.59",
"942","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320133310024087500016","20131107","","01","영업/정상","13","영업중","","","","","051-638-9128","","608803","부산광역시 남구 감만동 624번지","부산광역시 남구 북항로 133 (감만동)","48481","(주)준요지이(씨유감만부두점)","20131107132346","I","2018-08-31 23:59:59.0","","389811.392307835","180523.822532435","54",
"943","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320133310024087500017","20131118","","01","영업/정상","13","영업중","","","","","051-623-8936","","608811","부산광역시 남구 대연동 1723번지 17호","부산광역시 남구 유엔로201번길 57 (대연동)","48502","씨유 대연사랑점","20200218091044","U","2020-02-20 02:40:00.0","","391158.834412687","183537.688317596","79.2",
"944","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320133310024087500019","20131223","","01","영업/정상","13","영업중","","","","","051-622-9770","","608809","부산광역시 남구 대연동 333번지 3호","부산광역시 남구 수영로250번길 11-2 (대연동)","48497","GS25 대연용소점","20131223173056","I","2018-08-31 23:59:59.0","","390834.730943305","183747.487358227","45",
"945","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320143310024087500012","20140701","","01","영업/정상","13","영업중","","","","","051-636-5646","","608827","부산광역시 남구 문현동 734번지 3호","부산광역시 남구 전포대로91번길 27 (문현동)","48401","씨유 문현혁신점","20140702173846","I","2018-08-31 23:59:59.0","","388123.889843418","184803.789833843","75",
"946","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320143310024087500014","20140922","","01","영업/정상","13","영업중","","","","","051-623-1435","","608809","부산광역시 남구 대연동 362번지 7호","부산광역시 남구 수영로266번길 69 (대연동)","48498","씨유 대연용소점","20140922173437","I","2018-08-31 23:59:59.0","","391223.142908948","183656.09609763","43",
"947","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320153310024087500002","20150313","","01","영업/정상","13","영업중","","","","","626-2217","","608807","부산광역시 남구 대연동 1745번지 8호","부산광역시 남구 수영로219번길 8 (대연동)","48445","이마트24 대연못골점","20200609170309","U","2020-06-11 02:40:00.0","","390473.752707362","183817.156558657","77.63",
"948","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320153310024087500017","20151103","","01","영업/정상","13","영업중","","","","","623-1092","","","","부산광역시 남구 수영로 345, 301동 102호 (대연동, 대연힐스테이트푸르지오)","48432","GS25 대연혁신점","20170630145247","I","2018-08-31 23:59:59.0","","391728.56899900000","185102.22915100000","26.4",
"949","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320163310024087500011","20160725","","01","영업/정상","13","영업중","","","","","611-9404","","","","부산광역시 남구 용소로19번길 45 (대연동)","48512","레몬비 부산범표어묵점","20160728094930","I","2018-08-31 23:59:59.0","","391594.194471967","183984.553893806","89",
"950","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320163310024087500012","20160811","","01","영업/정상","13","영업중","","","","","624-4167","","","","부산광역시 남구 동명로152번길 69 (용호동, 오륙도빅세일)","48586","오륙도S마트","20160811163700","I","2018-08-31 23:59:59.0","","392528.180467787","181722.749123584","165",
"951","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320173310024087500001","20170103","","01","영업/정상","13","영업중","","","","","625-8100","","","","부산광역시 남구 유엔로 183-1 (대연동)","48506","씨유 대연조각공원점","20170103152014","I","2018-08-31 23:59:59.0","","391003.095451302","183254.062267976","52",
"952","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320173310024087500002","20170106","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 남구 용소로8번길 48, 101호 (대연동)","48499","위드미 대연금양타워점","20170111151435","I","2018-08-31 23:59:59.0","","391131.297204139","183855.232405152","90",
"953","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320173310024087500003","20170106","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 남구 수영로346번길 12 (대연동)","48509","위드미 경성대점","20170111151531","I","2018-08-31 23:59:59.0","","391649.269319311","184157.974040515","66",
"954","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320163310024087500013","20160822","","01","영업/정상","13","영업중","","","","","622-0583","","","","부산광역시 남구 유엔평화로 150 (용당동, 한신문화타운)","48535","(주)코리아세븐 부산용당점","20170310103153","I","2018-08-31 23:59:59.0","","391103.422349355","182446.170472991","95.2",
"955","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320163310024087500014","20160913","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 남구 유엔로 121 (대연동)","48472","씨유 대연대로점","20160913165226","I","2018-08-31 23:59:59.0","","390382.780980493","183247.250902199","81.96",
"956","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320163310024087500015","20160920","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 남구 동명로 171, 1층 (용호동)","48581","씨유 용호아진점","20160922151617","I","2018-08-31 23:59:59.0","","392791.78832436","182037.66523838","82.64",
"957","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320163310024087500017","20161216","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 남구 동명로 120 (용호동)","48566","미니스톱 용호동명점","20161216175821","I","2018-08-31 23:59:59.0","","392276.841881796","182131.894217181","105.6",
"958","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320153310024087500004","20150427","","01","영업/정상","13","영업중","","","","","051)636-4984","","608822","부산광역시 남구 문현동 202번지 35호","부산광역시 남구 수영로39번길 37 (문현동)","48419","GS25 문현고동골점","20150430165834","I","2018-08-31 23:59:59.0","","388787.898889237","184144.229506522","82.5",
"959","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320183310024087500010","20180531","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 968번지 26호","부산광역시 남구 석포로86번길 86 (대연동)","48532","세븐일레븐 부산파크푸르지오점","20180601092525","I","2018-08-31 23:59:59.0","","390484.277226637","182814.280867077","",
"960","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320183310024087500011","20180612","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 1773번지 1호 대연동에스케이뷰아파트","부산광역시 남구 진남로 159 (대연동, 대연동에스케이뷰아파트)","48447","GS25 부산대연SK점","20180612105915","I","2018-08-31 23:59:59.0","","389337.028684565","184337.936787473","165.28",
"961","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320183310024087500012","20180625","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용호동 421번지 17호 1층","부산광역시 남구 동명로 108, 원세탁할인마트 (용호동)","48564","씨유 용호동명","20180627150954","I","2018-08-31 23:59:59.0","","392184.783448815","182136.289375232","66",
"962","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320183310024087500014","20180702","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 865번지 3호 대흥택시","부산광역시 남구 유엔로 197, 대흥택시 (대연동)","48506","GS25 대연UN점","20180702113040","I","2018-08-31 23:59:59.0","","391158.275431948","183257.960482894","79.2",
"963","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320183310024087500015","20180705","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 63번지 3호","부산광역시 남구 용소로14번길 23 (대연동)","48498","미니스톱 대연경성점","20180705143019","I","2018-08-31 23:59:59.0","","391286.860392032","183831.010058253","",
"964","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320163310024087500007","20160510","","01","영업/정상","13","영업중","","","","","635-0606","","","","부산광역시 남구 못골로12번길 29 (대연동, 늘봄숯불갈비)","48453","GS25 성소병원점","20160511094737","I","2018-08-31 23:59:59.0","","390002.24914508","183801.076588943","78.2",
"965","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320163310024087500008","20160526","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 남구 못골번영로40번길 25 (대연동)","48437","GS25 못골제일점","20160526152509","I","2018-08-31 23:59:59.0","","390453.733107352","184176.594416644","82.5",
"966","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500052","20121112","","01","영업/정상","13","영업중","","","","","635-6363","","608821","부산광역시 남구 문현동 119번지 2호","부산광역시 남구 고동골로78번길 64 (문현동)","48417","씨유문현그린점","20130812095603","I","2018-08-31 23:59:59.0","","389035.519814011","184706.432014863","132",
"967","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500056","20121112","","01","영업/정상","13","영업중","","","","","623-2660","","608838","부산광역시 남구 용호동 558번지 23호","부산광역시 남구 용호로 254 (용호동)","48575","씨유용호대로점","20130812100326","I","2018-08-31 23:59:59.0","","392435.877752984","180991.67515097","85.8",
"968","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500059","20121113","","01","영업/정상","13","영업중","","","","","628-9912","","608804","부산광역시 남구 대연동 56번지 2호","부산광역시 남구 수영로322번길 22 (대연동)","48512","씨유부경대2호점","20130812101241","I","2018-08-31 23:59:59.0","","391479.523260093","183980.128407116","100",
"969","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320123310024087500060","20121113","","01","영업/정상","13","영업중","","","","","","","608811","부산광역시 남구 대연동 885번지 1호","부산광역시 남구 유엔평화로41번가길 42 (대연동)","48504","하프타임대연점","20130925165207","I","2018-08-31 23:59:59.0","","390679.163754107","183552.473094419","91.8",
"970","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320203310024087500011","20200703","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용호동 391-42 난다슈퍼","부산광역시 남구 동명로158번길 32, 난다슈퍼 (용호동)","48584","세븐일레븐 용호마음점","20200703103355","I","2020-07-05 00:23:17.0","","392603.450325491","181885.478100631","97.1",
"971","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320203310024087500014","20200831","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 1724-9 보람빌라","부산광역시 남구 유엔로169번길 60 (대연동, 보람빌라)","48503","GS25 대연보람점","20200831150643","I","2020-09-02 00:23:13.0","","390865.461997291","183537.343694214","85",
"972","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320203310024087500013","20200818","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 911-4 으뜸어린이집","부산광역시 남구 유엔로201번길 78, 으뜸어린이집 1층 (대연동)","48501","이마트24 부산대연점","20200818133332","I","2020-08-20 00:23:13.0","","391179.969413723","183631.81051958","82.5",
"973","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500019","20210707","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용호동 517-21 성원부동산","부산광역시 남구 동명로164번길 94, 성원부동산 (용호동)","48587","세븐일레븐 부산용호동일점","20210707131024","I","2021-07-09 00:22:53.0","","392627.934340722","181568.627199363","66",
"974","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500020","20210708","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용당동 99-10 현대아이파크","부산광역시 남구 동명로 26, 현대아이파크 (용당동)","48559","지에스25 용당현대점","20210708124322","I","2021-07-10 00:22:52.0","","391283.093231215","182002.550147818","43",
"975","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500021","20210708","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용호동 533-1","부산광역시 남구 용호로198번길 11(용호동)","48568","지에스25 부산용호점","20210708124519","I","2021-07-10 00:22:52.0","","392327.475616711","181538.258655672","49",
"976","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500018","20210705","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 1349-14","부산광역시 남구 못골로 95-1(대연동)","48444","세븐일레븐 부산대연점","20210705113151","I","2021-07-07 00:22:53.0","","390683.255798785","183855.550712392","75",
"977","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500025","20210914","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용호동 394-2 휴대폰 아울렛","부산광역시 남구 동명로 144, 휴대폰 아울렛 (용호동)","48585","지에스(GS)25 용호동명로점","20210914163009","I","2021-09-16 00:22:48.0","","392513.216309416","182064.978385672","81.3",
"978","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500024","20210913","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 우암동 43-32","부산광역시 남구 우암로154번길 36-7, 1층 (우암동)","48489","씨유우암코끼리점","20210913172002","I","2021-09-15 00:22:49.0","","389649.670517334","182629.802036468","0",
"979","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500023","20210824","","01","영업/정상","13","영업중","","","","","051-612-7322","","","부산광역시 남구 용호동 198-22","부산광역시 남구 용호로42번길 19(용호동)","48523","씨유 용호블루점","20210824110504","I","2021-08-26 00:22:50.0","","392204.130342052","182792.103442356","0",
"980","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500022","20210818","","01","영업/정상","13","영업중","","","","","051-634-1157","","","부산광역시 남구 감만동 20-1 국제아파트","부산광역시 남구 석포로 34, 상가동 101호 (감만동, 국제아파트)","48541","세배로마트","20210818175509","I","2021-08-20 00:22:50.0","","389988.001791476","182376.536367486","0",
"981","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500015","20210625","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 남구 유엔평화로 128 (용당동)","48535","씨유 용당오거리점","20210625173634","I","2021-06-27 00:23:03.0","","390983.277578894","182627.72912254","100",
"982","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500016","20210625","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 남구 황령대로319번가길 190-6, 대우그린아파트 상가동 2층 5,6호 (대연동)","48426","지에스25 대우그린점","20210625173720","I","2021-06-27 00:23:03.0","","390265.695930437","185511.344637376","47.9",
"983","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500014","20210623","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 문현동 1244 문현경동리인 1단지","부산광역시 남구 문현로 36-1 (문현동, 문현경동리인 1단지)","48420","씨유 문현경동리인점","20210623094853","I","2021-06-25 00:22:54.0","","","","57.9",
"984","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320183310024087500022","20180920","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 1160번지 1호","부산광역시 남구 홍곡로 360 (대연동)","48532","GS25 대연파크푸르지오점","20180921105424","U","2018-09-21 23:59:59.0","","390441.667568338","182636.918588265","51.45",
"985","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320183310024087500023","20180921","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용호동 215번지 8호 자수정삼겹살","부산광역시 남구 용호로42번길 56 (용호동)","48522","GS25 용호그랜드점","20180921111356","U","2018-09-21 23:59:59.0","","392256.526043438","182627.909107843","82.24",
"986","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320183310024087500020","20180910","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 1160번지 1호","부산광역시 남구 홍곡로 360 (대연동)","48532","씨유 대연푸르지오","20180911100328","U","2018-09-11 23:59:59.0","","390441.667568338","182636.918588265","59",
"987","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320203310024087500015","20201005","","01","영업/정상","13","영업중","","","","","051-621-1026","","","부산광역시 남구 용호동 197 GS하이츠자이","부산광역시 남구 신선로 566, 127-1호 (용호동, GS하이츠자이)","48515","GS25 하이츠자이점","20201006161857","I","2020-10-08 00:23:10.0","","392336.824825275","183544.386230822","37.6",
"988","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320203310024087500016","20201005","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 93-3 부산대연동푸르지오","부산광역시 남구 수영로325번길 12, 501동 1층 1호 (대연동, 부산대연동푸르지오)","48432","세븐일레븐 부산대연푸르지오점","20201006161937","I","2020-10-08 00:23:10.0","","391504.959072197","184238.621211609","56",
"989","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320203310024087500019","20201016","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 1750-11","부산광역시 남구 수영로208번길 15 (대연동)","48493","GS25 대연래미안점","20201016174635","I","2020-10-18 00:23:10.0","","390388.494503729","183675.335594306","60",
"990","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320203310024087500017","20201014","","01","영업/정상","13","영업중","","","","","051-623-6751","","","부산광역시 남구 대연동 290-11","부산광역시 남구 진남로 18, 1층 (대연동)","48444","씨유 대연태양점","20201014174330","I","2020-10-16 00:23:10.0","","390573.951928162","183934.207162259","45",
"991","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320203310024087500020","20201028","","01","영업/정상","13","영업중","","","","","051-639-0099","","","부산광역시 남구 문현동 205-29","부산광역시 남구 수영로39번길 29-14, `1층 (문현동)","48419","씨유 부산문현점","20201028175239","I","2020-10-30 00:23:09.0","","388741.084254255","184106.634349231","52.8",
"992","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320203310024087500022","20201029","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용호동 957-1 힐탑탑플레이스","부산광역시 남구 분포로 115, 힐탑탑플레이스 B동 1층 3호 (용호동)","48515","씨유 용호힐탑점","20201029125352","I","2020-10-31 00:23:09.0","","392515.689667818","183481.94111857","36.7",
"993","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500005","20210219","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 감만동 19-17","부산광역시 남구 석포로 26 (감만동)","48542","미니스톱 감만동천점","20210219175208","I","2021-02-21 00:23:01.0","","389889.862895631","182345.213014758","",
"994","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500008","20210312","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 72-7 산암빌딩","부산광역시 남구 수영로 298, 산암빌딩 (대연동)","48499","GS25 경성중앙점","20210312150400","I","2021-03-14 00:23:00.0","","391236.731927596","183961.925783646","102",
"995","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500007","20210225","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 문현동 395 문현동삼성아파트","부산광역시 남구 전포대로20번길 15, 125동 1층 8,9호 (문현동, 문현동삼성아파트)","48414","씨유 문현삼성점","20210225161120","I","2021-02-27 00:23:00.0","","388508.92424016","184240.639378779","25",
"996","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500003","20210210","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 문현동 1227-2","부산광역시 남구 전포대로 133, 1층 20호 (문현동)","48400","이마트24 R 오슬로파크 1호점","20210210153526","I","2021-02-12 00:23:02.0","","388150.394268792","185188.729710212","154",
"997","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500006","20210224","","01","영업/정상","13","영업중","","","","","051-612-7927","","","부산광역시 남구 용호동 484-16","부산광역시 남구 용호로178번길 16, 1층 (용호동)","48566","씨유 용호예문점","20210224174932","I","2021-02-26 00:23:01.0","","392300.154158792","181759.746918172","121",
"998","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500002","20210209","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용당동 168-1 부산 용당 화물차 휴게소","부산광역시 남구 신선로 261, 부산 용당 화물차 휴게소 (용당동)","48553","하프타임 신선대점","20210209092713","I","2021-02-11 00:23:11.0","","390807.628200016","181223.764821635","155",
"999","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500009","20210401","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 984-18","부산광역시 남구 유엔평화로 26, 1층 (대연동)","48494","GS25 대연평화로점","20210401103927","I","2021-04-03 00:22:58.0","","390581.096819443","183510.132185187","84",
"1000","안전상비의약품 판매업소","01_01_05_P","3310000","PHMH320213310024087500010","20210401","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 문현동 73-1 현대아파트","부산광역시 남구 진남로198번길 9-1 (문현동, 현대아파트)","48423","씨유 문현현대점","20210401143232","I","2021-04-03 00:22:58.0","","389365.039184382","184794.467709964","99",
