"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","환경업무구분명","폐기물처리업구분명","폐기물처리업별처리구분명","폐기물구분명","허용보관량","허용보관량내용",
"71","건설폐기물처리업","09_30_05_P","3310000","331000092201600001","20161205","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 남구 대연동 245-23 삼익그린타운","부산광역시 남구 황령대로319번가길 142, 상가동 311호 (대연동, 삼익그린타운)","48424","(주)석천개발","20220427142458","U","2022-04-29 02:40:00.0","","390157.22701355","185670.705261658","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"72","건설폐기물처리업","09_30_05_P","3310000","331000092201500001","20150416","","01","영업/정상","BBBB","영업","","","","","051-634-6699","","","부산광역시 남구 감만동 239-14","부산광역시 남구 신선로 213-1 (감만동)","48553","(주)부경환경산업","20220221100620","U","2022-02-23 02:40:00.0","","390260.79338632","181077.22045525","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"73","건설폐기물처리업","09_30_05_P","3310000","331000092200200003","20021118","","01","영업/정상","BBBB","영업","","","","","051 6435577","","608023","부산광역시 남구 대연동 239","","","(주)청룡산업","20210924094416","U","2021-09-26 02:40:00.0","","390824.584814619","185437.704026776","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"74","건설폐기물처리업","09_30_05_P","3310000","331000092200700001","20071130","","01","영업/정상","BBBB","영업","","","","","051-645-8866","","608040","부산광역시 남구 문현동 1219-1번지","","","거창기업","20190621151206","U","2019-06-23 02:40:00.0","","388427.881284727","182921.918496851","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"75","건설폐기물처리업","09_30_05_P","3310000","331000092201700001","20170303","","01","영업/정상","BBBB","영업","","","","","051-637-8287","","","부산광역시 남구 감만동 504-2번지","부산광역시 남구 무민사로 5 (감만동)","48557","양지자원","20170303080248","I","2018-08-31 23:59:59.0","","389597.402452026","181087.809832668","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"76","건설폐기물처리업","09_30_05_P","3320000","332000092201000001","20170214","","03","폐업","2","폐업","20170214","","","","051-337-2340","","616853","","부산광역시 북구 금곡대로 166, 401동 703호 (화명동)","616846","(주)동방개발","20170214124551","I","2018-08-31 23:59:59.0","","383398.91523500000","194063.87502600000","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"77","건설폐기물처리업","09_30_05_P","3320000","332000092200700002","20070731","","03","폐업","2","폐업","20070731","","","","","","616092","부산광역시 북구 구포동 1184-1번지","부산광역시 북구 낙동대로 1578  (구포동)","","금강기업","20070731163210","I","2018-08-31 23:59:59.0","","381087.127070886","190505.557359","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"78","건설폐기물처리업","09_30_05_P","3320000","332000092201300001","20140522","","03","폐업","2","폐업","20140522","","","","","","","","부산광역시 북구 낙동북로772번길 11 (구포동)","616809","(주)태산산업개발","20140522173208","I","2018-08-31 23:59:59.0","","382581.09254963","190624.094460235","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"79","건설폐기물처리업","09_30_05_P","3320000","332000092201900002","20191230","","01","영업/정상","BBBB","영업","","","","","","","616112","부산광역시 북구 만덕동 136-1","부산광역시 북구 덕천로 343 (만덕동)","46610","한국산업환경(주)","20211007174558","U","2021-10-09 02:40:00.0","","385809.027731252","191897.800754054","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"80","건설폐기물처리업","09_30_05_P","3320000","332000092201900001","20191231","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 북구 덕천동 405-1번지 일진주택","부산광역시 북구 만덕대로142번가길 4, A동 103호 (덕천동, 일진주택)","46569","늘푸른환경","20200521094617","U","2020-05-23 02:40:00.0","","383904.081467215","192224.322679436","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"81","건설폐기물처리업","09_30_05_P","3320000","332000092202100001","20210324","","01","영업/정상","BBBB","영업","","","","","051-714-4096","","","부산광역시 북구 화명동 188 벽산강변타운","부산광역시 북구 양달로9번길 17, 벽산강변타운 상가14동 401호 (화명동)","46518","(주)유노그린텍","20220315183833","U","2022-03-17 02:40:00.0","","383239.395718821","195733.599928009","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"82","건설폐기물처리업","09_30_05_P","3320000","332000092200700001","20070525","","01","영업/정상","BBBB","영업","","","","","051-335-3372","","616092","부산광역시 북구 구포동 1224번지 동성성가 136호","","","(주)삼성환경","20080110123933","I","2018-08-31 23:59:59.0","","382734.03719127","190624.868664197","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"83","건설폐기물처리업","09_30_05_P","3320000","332000092200900001","20090604","","01","영업/정상","BBBB","영업","","","","","7405-083","","616101","부산광역시 북구 덕천동 417-28번지","부산광역시 북구 만덕대로40번길 33  (덕천동)","","대건에스앤지(주)","20090525131547","I","2018-08-31 23:59:59.0","","382968.70613675","191893.259358959","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"84","건설폐기물처리업","09_30_05_P","3320000","332000092200900002","20150507","","01","영업/정상","BBBB","영업","","","","","6127771","","608020","부산광역시 남구 대연동 209-1번지","부산광역시 남구 황령대로 355-14 (대연동)","","더조은환경","20150703112905","I","2018-08-31 23:59:59.0","","391103.082670862","185085.536792093","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"85","건설폐기물처리업","09_30_05_P","3320000","332000092201000002","20101025","","01","영업/정상","BBBB","영업","","","","","3337774","","616827","부산광역시 북구 만덕동 471-2번지","부산광역시 북구 구만덕로 38 (만덕동)","","더조은환경","20170306133424","I","2018-08-31 23:59:59.0","","385825.268873754","192470.439998544","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"86","건설폐기물처리업","09_30_05_P","3320000","332000092200300001","20030604","","01","영업/정상","BBBB","영업","","","","","337-5234","","616805","부산광역시 북구 구포동 1224번지 동성상가 126호","부산광역시 북구 시랑로79번길 20-5, 126호 (구포동, 구포동성가든타워)","46622","거창환경산업(주)","20180509165855","I","2018-08-31 23:59:59.0","","382734.03719127","190624.868664197","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"87","건설폐기물처리업","09_30_05_P","3330000","333000092200800001","20080130","","03","폐업","2","폐업","20090928","","","","","","612020","부산광역시 해운대구 우동 760-3번지 오션타워 1518","부산광역시 해운대구 해운대해변로 203  (우동,오션타워 1518)","","대건에스앤지(주)","20090928181023","I","2018-08-31 23:59:59.0","","396180.621244719","186522.35047527","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"88","건설폐기물처리업","09_30_05_P","3330000","333000092200800002","20100408","","03","폐업","2","폐업","20100408","","","","","","612020","부산광역시 해운대구 우동 1102-221번지 현대아파트 102동 1304호","부산광역시 해운대구 해운대로469번길 190, 102동 1304호 (우동,현대아파트)","","대성기업","20100408172935","I","2018-08-31 23:59:59.0","","395058.342150913","187798.935918343","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"89","건설폐기물처리업","09_30_05_P","3330000","333000092200800004","20120924","","03","폐업","2","폐업","20120924","","","","","","612050","부산광역시 해운대구 재송동 1209번지 센텀IS타워 1001호","부산광역시 해운대구 센텀북대로 60,  1001호 (재송동,센텀IS타워)","","동래산업","20120924090933","I","2018-08-31 23:59:59.0","","393527.757337839","188440.756376893","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"90","건설폐기물처리업","09_30_05_P","3330000","333000092200700001","20180517","","03","폐업","2","폐업","20180517","","","","","","612020","부산광역시 해운대구 우동 1434번지 선프라자 805호","부산광역시 해운대구 마린시티3로 1, 805호 (우동,선프라자)","","칠성자원","20180517111046","I","2018-08-31 23:59:59.0","","395615.201853958","186406.750870936","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","1","",
"91","건설폐기물처리업","09_30_05_P","3330000","333000092201200001","20181101","","03","폐업","2","폐업","20181101","","","","","","","","부산광역시 해운대구 재반로27번길 37-5 (재송동)","612828","조은환경경","20181101164354","U","2018-11-12 04:00:00.0","","","","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"92","건설폐기물처리업","09_30_05_P","3330000","333000092201200003","20161012","","03","폐업","2","폐업","20170908","","","","","","612735","부산광역시 해운대구 반송동 872번지 삼한그린타운2차 201동 601호","부산광역시 해운대구 신반송로 102 (반송동, 삼한그린타운2차)","612735","아성","20170908154355","I","2018-08-31 23:59:59.0","","396841.065777781","194463.478475622","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"93","건설폐기물처리업","09_30_05_P","3330000","333000092201900001","20191121","","01","영업/정상","BBBB","영업","","","","","051-721-6689","","","부산광역시 해운대구 반여동 1088번지 센텀강변현대아파트","부산광역시 해운대구 삼어로 131, 상가동 203호 (반여동, 센텀강변현대아파트)","48045","(주)새환경","20191121122559","I","2019-11-23 00:23:21.0","","392910.95751858","191939.261986056","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"94","건설폐기물처리업","09_30_05_P","3330000","333000092202000001","20200813","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 해운대구 송정동 445-1","부산광역시 해운대구 송정광어골로82번길 9 (송정동)","48073","천하BTS","20210324140253","U","2021-03-26 02:40:00.0","","399983.306833921","188286.702091906","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"95","건설폐기물처리업","09_30_05_P","3330000","333000092200600002","20060803","","01","영업/정상","BBBB","영업","","","","","","","607061","부산광역시 동래구 온천동 1380-7번지","부산광역시 동래구 여고북로33번길 35  (온천동)","","(합)기전사","20120221153131","I","2018-08-31 23:59:59.0","","388255.494294602","191200.765363326","건설폐기물처리업사업계획(허가)신청","","","","","",
"96","건설폐기물처리업","09_30_05_P","3330000","333000092200600001","20060428","","01","영업/정상","BBBB","영업","","","","","","","612030","부산광역시 해운대구 좌동 1478번지","","","한맥(주)","20070917170855","I","2018-08-31 23:59:59.0","","","","건설폐기물처리업사업계획(허가)신청","","","","","",
"97","건설폐기물처리업","09_30_05_P","3330000","333000092200800003","20080723","","01","영업/정상","BBBB","영업","","","","","","","612704","부산광역시 해운대구 우동 1500번지 벡스코 지하사무실동 12호","부산광역시 해운대구 APEC로 55, 지하층 12호 (우동)","612704","하나자원","20111115163924","I","2018-08-31 23:59:59.0","","394482.139208377","187606.035424193","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"98","건설폐기물처리업","09_30_05_P","3330000","333000092200800005","20040721","","01","영업/정상","BBBB","영업","","","","","704-2420","","612040","부산광역시 해운대구 송정동 99-4","","","유성환경산업","20210422161744","U","2021-04-24 02:40:00.0","","400677.230815194","190250.043787251","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","450","",
"99","건설폐기물처리업","09_30_05_P","3330000","333000092200900001","20090929","","01","영업/정상","BBBB","영업","","","","","702-1471","","612040","부산광역시 해운대구 송정동 99-10","부산광역시 해운대구 해운대로 1189 (송정동)","48068","(주)토정환경","20211215092558","U","2021-12-17 02:40:00.0","","400661.418728505","190227.798693542","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","300","",
"100","건설폐기물처리업","09_30_05_P","3330000","333000092200900002","20091009","","01","영업/정상","BBBB","영업","","","","","554-7766","","612060","부산광역시 해운대구 반여동 748-1","부산광역시 해운대구 선수촌로 220-1 (반여동)","612810","동래덤프","20210821151543","U","2021-08-24 02:40:00.0","","393577.215081398","192348.059016321","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"101","건설폐기물처리업","09_30_05_P","3330000","333000092199700001","19970106","","01","영업/정상","BBBB","영업","","","","","0517847707","","null","부산광역시 해운대구 송정동 87-9","부산광역시 해운대구 송정2로 9 (송정동)","","(주)아세아산업","20210629092208","U","2021-07-01 02:40:00.0","","400815.862216954","190439.8460827","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","150","",
"102","건설폐기물처리업","09_30_05_P","3330000","333000092200400001","20040706","","01","영업/정상","BBBB","영업","","","","","701-2443","","612040","부산광역시 해운대구 송정동 140-8","","","태양환경","20210514115527","U","2021-05-16 02:40:00.0","","400296.300510312","189268.817099344","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","450","",
"103","건설폐기물처리업","09_30_05_P","3330000","333000092201300001","20130318","","01","영업/정상","BBBB","영업","","","","","","","612011","부산광역시 해운대구 중동 1754-1번지 뉴대원빌딩 501호","부산광역시 해운대구 좌동순환로 11,  501호 (중동,뉴대원빌딩)","","부산폐기물공사","20130318131719","I","2018-08-31 23:59:59.0","","397359.91063096","187519.041394415","건설폐기물처리업사업계획(허가)신청","","","","","",
"104","건설폐기물처리업","09_30_05_P","3330000","333000092201200005","20121224","","01","영업/정상","BBBB","영업","","","","","264-0358","","","부산광역시 해운대구 반송동 895","부산광역시 해운대구 윗반송로 64 (반송동)","48008","서봉리사이를링(주)","20220315142434","U","2022-03-17 02:40:00.0","","396264.054016705","194390.729083277","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"105","건설폐기물처리업","09_30_05_P","3330000","333000092201400001","20141219","","01","영업/정상","BBBB","영업","","","","","","","612083","부산광역시 해운대구 반송동 250번지","","","일성환경","20161018131241","I","2018-08-31 23:59:59.0","","395987.602580538","193597.907863193","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"106","건설폐기물처리업","09_30_05_P","3330000","333000092201500001","20151126","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 해운대구 송정동 99-5","부산광역시 해운대구 해운대로 1199-23 (송정동)","48068","대동환경","20211110145321","U","2021-11-12 02:40:00.0","","400672.119129522","190237.398890989","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"107","건설폐기물처리업","09_30_05_P","3330000","333000092201600001","20160812","","01","영업/정상","BBBB","영업","","","","","781-5552","","","부산광역시 해운대구 재송동 1023 센텀삼익아파트","부산광역시 해운대구 해운대로61번가길 6, 상가동동 201호 (재송동, 센텀삼익아파트)","48051","주식회사 명진디엔씨","20220525162401","U","2022-05-27 02:40:00.0","","393140.687808246","190048.604696982","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"108","건설폐기물처리업","09_30_05_P","3330000","333000092201200002","20120704","","01","영업/정상","BBBB","영업","","","","","051-506-8837","","","부산광역시 해운대구 반여동 1291-1182번지","부산광역시 해운대구 해운대로61번길 84-58 (반여동)","48051","SH TECH","20191031111720","U","2019-11-02 02:40:00.0","","393703.236092028","190410.305041269","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"109","건설폐기물처리업","09_30_05_P","3330000","333000092202100001","20210202","","01","영업/정상","BBBB","영업","","","","","051-505-9906","","","부산광역시 해운대구 석대동 314","부산광역시 해운대구 반송로623번길 30 (석대동)","48001","수성스틸","20210217093150","U","2021-02-19 02:40:00.0","","394030.339661073","193362.918116598","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"110","건설폐기물처리업","09_30_05_P","3340000","334000092199700033","20130717","","03","폐업","2","폐업","20130717","","","","266-8456","","604842","부산광역시 사하구 장림동 914-36번지","부산광역시 사하구 다산로208번길 42 (장림동)","604842","풍산기업(주)","20130717185820","I","2018-08-31 23:59:59.0","","378718.257403196","176512.687604912","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"111","건설폐기물처리업","09_30_05_P","3340000","334000092200400105","20040917","","03","폐업","2","폐업","20070802","","","","0512076039","","604020","부산광역시 사하구 하단동 611-45번지","부산광역시 사하구 동매로81번길 1  (하단동)","","(주)정열중기건설","20110216165641","I","2018-08-31 23:59:59.0","","379272.846036421","179936.08112558","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"112","건설폐기물처리업","09_30_05_P","3340000","334000092200700146","20070806","","03","폐업","2","폐업","20080124","","","","0512070067","","604080","부산광역시 사하구 괴정동 1125-5번지","부산광역시 사하구 낙동대로 335  (괴정동)","","(주)케이피환경","20080124143715","I","2018-08-31 23:59:59.0","","380510.424913452","179688.743883538","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"113","건설폐기물처리업","09_30_05_P","3340000","334000092200300093","20030728","","03","폐업","2","폐업","20080818","","","","0512628241","","604040","부산광역시 사하구 장림동 990-1번지","부산광역시 사하구 하신중앙로17번길 19  (장림동)","","명성환경산업","20080818162955","I","2018-08-31 23:59:59.0","","378901.217329386","177451.128812049","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","819","",
"114","건설폐기물처리업","09_30_05_P","3340000","334000092200400136","20040116","","03","폐업","2","폐업","20080605","","","","0512628555","","604040","부산광역시 사하구 장림동 1144-2번지","부산광역시 사하구 장림로 118  (장림동)","","(주)효일자원","20081030094656","I","2018-08-31 23:59:59.0","","378874.784338262","177642.91863286","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"115","건설폐기물처리업","09_30_05_P","3340000","334000092200800003","20110216","","03","폐업","2","폐업","20110216","","","","0512076039","","604020","부산광역시 사하구 하단동 611-45번지","부산광역시 사하구 동매로81번길 1  (하단동)","","(주)정열중기건설","20110216165641","I","2018-08-31 23:59:59.0","","379272.846036421","179936.08112558","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"116","건설폐기물처리업","09_30_05_P","3340000","334000092200600124","20060123","","03","폐업","2","폐업","20090123","","","","051-205-5125","","604030","부산광역시 사하구 신평동 634-1번지","부산광역시 사하구 하신번영로151번길 74 (신평동)","","(주)보성건설자재","20140731145005","I","2018-08-31 23:59:59.0","","378294.618531356","179247.62965845","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"117","건설폐기물처리업","09_30_05_P","3340000","334000092200100057","20100304","","03","폐업","2","폐업","20100304","","","","","","604060","부산광역시 사하구 구평동 332번지","부산광역시 사하구 두송로 262  (구평동)","","중앙덤프","20100304154928","I","2018-08-31 23:59:59.0","","381447.41162816","176865.274200513","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"118","건설폐기물처리업","09_30_05_P","3340000","334000092202000001","20200504","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 사하구 하단동 1158번지","부산광역시 사하구 하신번영로 395 (하단동)","49301","대윤개발","20200504101405","U","2020-05-06 02:40:00.0","","378638.300284091","181434.090196654","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"119","건설폐기물처리업","09_30_05_P","3340000","334000092201800003","20180912","","01","영업/정상","BBBB","영업","","","","","051-266-8456","","","부산광역시 사하구 장림동 682-16번지","부산광역시 사하구 장림로 195-4, 2층 (장림동)","49474","풍산기업(주)","20180912175718","U","2018-09-12 23:59:59.0","","379643.863948631","177746.916631277","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"120","건설폐기물처리업","09_30_05_P","3340000","334000092202100001","20211006","","01","영업/정상","BBBB","영업","","","","","0512633752","","","부산광역시 사하구 다대동 1338-1","부산광역시 사하구 홍티로 108 (다대동)","49490","순환산업 주식회사","20211006130800","I","2021-10-08 00:22:47.0","","378795.615566696","175696.937178813","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"121","건설폐기물처리업","09_30_05_P","3340000","334000092202100002","20220103","","01","영업/정상","BBBB","영업","","","","","0512636943","","","부산광역시 사하구 구평동 422-10 (주)운종테크","부산광역시 사하구 감천항로 271-6 (주)운종테크 (구평동)","49454","(주)운종테크","20220103112912","U","2022-01-05 02:40:00.0","","381609.457545628","176274.782133469","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"122","건설폐기물처리업","09_30_05_P","3340000","334000092202000002","20201013","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 사하구 장림동 915-1","부산광역시 사하구 보덕포2길 15 (장림동)","49485","LG자원","20201013112414","I","2020-10-15 00:23:10.0","","378560.482513039","176684.483764729","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"123","건설폐기물처리업","09_30_05_P","3340000","334000092201400001","20200417","","01","영업/정상","BBBB","영업","","","","","051-317-6076","","604041","부산광역시 사하구 장림동 914-4","부산광역시 사하구 다산로208번길 32, 701호 (장림동)","604041","(주)지원","20201120150655","U","2020-11-22 02:40:00.0","","378589.860456269","176478.096857031","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","6150","",
"124","건설폐기물처리업","09_30_05_P","3340000","334000092201700001","20170321","","01","영업/정상","BBBB","영업","","","","","051-928-6161","","","","부산광역시 사하구 다산로208번길 32, 701호 (장림동, 장림월드리치)","49485","(주)대호ENC","20170321174533","I","2018-08-31 23:59:59.0","","378589.860456269","176478.096857031","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"125","건설폐기물처리업","09_30_05_P","3340000","334000092201800001","20180510","","01","영업/정상","BBBB","영업","","","","","0512713201","","","부산광역시 사하구 신평동 259-1번지","부산광역시 사하구 장평로299번길 7, 상가3층 (신평동)","49418","해동환","20180510143405","I","2018-08-31 23:59:59.0","","379832.244049678","178867.135423449","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"126","건설폐기물처리업","09_30_05_P","3340000","334000092201600002","20210108","","01","영업/정상","BBBB","영업","","","","","317-6076","","","부산광역시 사하구 장림동 914-4","부산광역시 사하구 다산로208번길 32, 601호 (장림동, 장림월드리치)","49485","(주)지원","20220324104630","U","2022-03-26 02:40:00.0","","378589.860456269","176478.096857031","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"127","건설폐기물처리업","09_30_05_P","3340000","334000092201600003","20161027","","01","영업/정상","BBBB","영업","","","","","","","","","부산광역시 사하구 감천항로 271-3 (구평동)","49454","청송환경자원","20210510114241","U","2021-05-12 02:40:00.0","","381588","176226","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"128","건설폐기물처리업","09_30_05_P","3340000","334000092201400002","20140807","","01","영업/정상","BBBB","영업","","","","","051-265-8677","","","부산광역시 사하구 장림동 1124-6","부산광역시 사하구 하신중앙로 30 (장림동)","604842","(주)아성산업","20220330113951","U","2022-04-01 02:40:00.0","","379150.146888395","177603.284587957","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"129","건설폐기물처리업","09_30_05_P","3340000","334000092201500001","20150514","","01","영업/정상","BBBB","영업","","","","","0512641123","","","부산광역시 사하구 장림동 980-25번지","부산광역시 사하구 다대로1066번길 64-8 (장림동)","49479","이원환경","20190925131305","U","2019-09-27 02:40:00.0","","378567.938559623","177193.79355109","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"130","건설폐기물처리업","09_30_05_P","3340000","334000092201600001","20160324","","01","영업/정상","BBBB","영업","","","","","070-8867-4763","","","부산광역시 사하구 하단동 277-2번지","부산광역시 사하구 동매로 120, 상가동 304호 (하단동, 한신혜성아파트)","49415","(주)이노텍코리아","20160324130431","I","2018-08-31 23:59:59.0","","379697.483702324","179813.940476827","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"131","건설폐기물처리업","09_30_05_P","3340000","334000092200800002","20201006","","01","영업/정상","BBBB","영업","","","","","","","604050","부산광역시 사하구 다대동 1338-1","부산광역시 사하구 홍티로 108 (다대동)","49490","에코포스트(주)","20201006164848","U","2020-10-08 02:40:00.0","","378795.615566696","175696.937178813","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","11600","",
"132","건설폐기물처리업","09_30_05_P","3340000","334000092200200125","20020924","","01","영업/정상","BBBB","영업","","","","","0512656078","","","부산광역시 사하구 신평동 370-192번지","부산광역시 사하구 을숙도대로480번길 17 (신평동)","604836","(주)수종환경","20170626103055","I","2018-08-31 23:59:59.0","","378474.512821233","177878.659948148","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"133","건설폐기물처리업","09_30_05_P","3340000","334000092199700023","20120521","","01","영업/정상","BBBB","영업","","","","","051--293--6595","","604851","부산광역시 사하구 하단동 1157-7번지","부산광역시 사하구 다송로68번길 34, 2층 (다대동, 대진빌딩)","49521","두승산업(주)","20190103144022","U","2019-01-05 02:40:00.0","","378649.61250949","181651.976286336","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"134","건설폐기물처리업","09_30_05_P","3340000","334000092200300002","20201201","","01","영업/정상","BBBB","영업","","","","","0512653640","","604040","부산광역시 사하구 장림동 914-8","부산광역시 사하구 다산로208번길 44 (장림동)","604842","(주)부영개발","20220628134402","U","2022-06-30 02:40:00.0","","378766.168587312","176563.292260915","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"135","건설폐기물처리업","09_30_05_P","3340000","334000092200200082","20021125","","01","영업/정상","BBBB","영업","","","","","317-6076","","","부산광역시 사하구 장림동 914-4 914-49","부산광역시 사하구 다산로208번길 32 (장림동)","604842","(주)지원","20211230111603","U","2022-01-01 02:40:00.0","","378589.860456269","176478.096857031","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"136","건설폐기물처리업","09_30_05_P","3340000","334000092200400111","20210113","","01","영업/정상","BBBB","영업","","","","","0512653640","","604040","부산광역시 사하구 장림동 914-8","부산광역시 사하구 다산로208번길 44 (장림동)","604842","(주)부영개발","20220628134402","U","2022-06-30 02:40:00.0","","378766.168587312","176563.292260915","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"137","건설폐기물처리업","09_30_05_P","3340000","334000092200000059","20000308","","01","영업/정상","BBBB","영업","","","","","0512664006","","604040","부산광역시 사하구 장림동 980-25번지","부산광역시 사하구 다대로1066번길 64-8 (장림동)","","동명환경(주) 장림","20140417102137","I","2018-08-31 23:59:59.0","","378567.938559623","177193.79355109","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"138","건설폐기물처리업","09_30_05_P","3340000","334000092200100056","20010203","","01","영업/정상","BBBB","영업","","","","","0512926000","","604022","부산광역시 사하구 하단동 870-19번지 공작아파트 나-406호","부산광역시 사하구 하신번영로380번길 120  (하단동,공작아파트 나-406호)","","하단덤프","20110805142021","I","2018-08-31 23:59:59.0","","378610.478091493","180646.640701334","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"139","건설폐기물처리업","09_30_05_P","3340000","334000092199700129","19971028","","01","영업/정상","BBBB","영업","","","","","0512052931","","604022","부산광역시 사하구 하단동 494-3번지 에덴맨션 2-201호","부산광역시 사하구 낙동대로516번길 48  (하단동,에덴맨션 2-201호)","","경북환경산업","20080416154533","I","2018-08-31 23:59:59.0","","379182.553020163","181081.44391017","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
