"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"81","요양보호사교육기관","11_49_01_P","6260000","201062600000040063-20100902","20100902","","03","폐업","1","폐지","20150731","","","","0519902419","","","부산광역시 영도구 동삼1동  고신대학교","","","고신대학교 평생교육원 부설 요양보호사 교육원","20150806155303","I","2018-08-31 23:59:59.0","","","","","","","",
"82","요양보호사교육기관","11_49_01_P","6260000","201062600000040064-20100902","20100902","","03","폐업","1","폐지","20120507","","","","0515539996","","","부산광역시 동래구 온천1동   480번지 42호 4층","부산광역시 동래구 동래로 15 (온천동,4층)","","온천 요양보호사교육원","20141211191616","I","2018-08-31 23:59:59.0","","389129.243305862","192406.955231023","","","","",
"83","요양보호사교육기관","11_49_01_P","6260000","201062600000040021-20100611","20100611","","03","폐업","1","폐지","20110712","","","","0515171881","","","부산광역시 금정구 구서2동   248번지 10호 현대빌딩 2층","부산광역시 금정구 중앙대로 1883 (구서동,현대빌딩 2층)","26410","안심생활 요양보호사교육원","20110316093310","I","2018-08-31 23:59:59.0","","390220.030386525","196800.01715156","","","","",
"84","요양보호사교육기관","11_49_01_P","6260000","201062600000040022-20100611","20100611","","03","폐업","1","폐지","20101119","","","","0518674794","","","부산광역시 부산진구 양정2동   331번지 16호 2층","부산광역시 부산진구 연수로11번길 19-5 (양정동,2층)","26230","은빛 요양보호사교육원","20210409093529","U","2021-04-11 02:40:00.0","","388758.407651959","188079.890003368","","","","",
"85","요양보호사교육기관","11_49_01_P","6260000","201062600000040084-20101019","20101019","","03","폐업","1","폐지","20110530","","","","0514694455","","","부산광역시 부산진구 범천1동   870번지 1호 석 빌딩 3층","","","미래사회 요양보호사교육원","20110315171836","I","2018-08-31 23:59:59.0","","","","","","","",
"86","요양보호사교육기관","11_49_01_P","6260000","201062600000040087-20101019","20101019","","03","폐업","1","폐지","20120229","","","","0512039466","","","부산광역시 사하구 당리동   39번지 24호 (4층)","부산광역시 사하구 제석로95번길 27 (당리동,(1층))","26380","환희 요양보호사교육원","20110909154304","I","2018-08-31 23:59:59.0","","","","","","","",
"87","요양보호사교육기관","11_49_01_P","6260000","201062600000040088-20101019","20101019","","03","폐업","1","폐지","20140116","","","","0517553733","","","부산광역시 수영구 수영동   503-24","","","나눔 요양보호사교육원","20141020095933","I","2018-08-31 23:59:59.0","","","","","","","",
"88","요양보호사교육기관","11_49_01_P","6260000","201062600000040018-20100611","20100611","","03","폐업","1","폐지","20170918","","","","0518085632","","","부산광역시 부산진구 부전1동   266번지 30호","부산광역시 부산진구 새싹로8번길 36 (부전동)","","자모사랑 요양보호사교육원","20150206175148","I","2018-08-31 23:59:59.0","","387624.989707084","186442.636762676","","","","",
"89","요양보호사교육기관","11_49_01_P","6260000","201062600000040020-20100611","20100611","","03","폐업","1","폐지","20110525","","","","0515435225","","","부산광역시 해운대구 반송2동   62번지 121호 2층","부산광역시 해운대구 윗반송로51번길 149 (반송동,2층)","26350","심청이 요양보호사교육원","20110316093012","I","2018-08-31 23:59:59.0","","396292.555984134","194737.007490582","","","","",
"90","요양보호사교육기관","11_49_01_P","6260000","201062600000040033-20100622","20100622","","03","폐업","1","폐지","20110706","","","","0515587500","","","부산광역시 동래구 명륜1동   528번지 4호","부산광역시 동래구 충렬대로 180 (명륜동)","26260","혜성 요양보호사교육원","20110318162422","I","2018-08-31 23:59:59.0","","389306.986426849","191351.326138058","","","","",
"91","요양보호사교육기관","11_49_01_P","6260000","201062600000040032-20100622","20100622","","03","폐업","1","폐지","20110214","","","","0512421588","","","부산광역시 서구 서대신동2가   35번지 10호 401호","부산광역시 서구 구덕로 311 (서대신동2가,401호)","26140","밀알 요양보호사교육원","20110118202945","I","2018-08-31 23:59:59.0","","383800.456189752","181030.551709861","","","","",
"92","요양보호사교육기관","11_49_01_P","6260000","201062600000040031-20100622","20100622","","03","폐업","1","폐지","20161010","","","","0518631456","","","부산광역시 부산진구 양정동   336번지 14호","부산광역시 부산진구 중앙대로 930 (양정동)","","인성 요양보호사교육원","20160329144223","I","2018-08-31 23:59:59.0","","388644.828513293","187911.443870304","","","","",
"93","요양보호사교육기관","11_49_01_P","6260000","201062600000040030-20100622","20100622","","03","폐업","1","폐지","20110704","","","","0515447736","","","부산광역시 해운대구 반송2동   301번지 7호 2층","부산광역시 해운대구 반송로892번길 20 (반송동,2층)","26350","반송 참사랑 요양보호사교육원","20110316135111","I","2018-08-31 23:59:59.0","","395888.167910697","194489.213658893","","","","",
"94","요양보호사교육기관","11_49_01_P","6260000","201062600000040028-20100622","20100622","","03","폐업","1","폐지","20120903","","","","0515075305","","","부산광역시 동래구 온천3동   1444번지 6호","부산광역시 동래구 충렬대로108번길 4 (온천동)","26260","동래 요양보호사교육원","20120619110524","I","2018-08-31 23:59:59.0","","388649.545806744","191668.881450636","","","","",
"95","요양보호사교육기관","11_49_01_P","6260000","201062600000040042-20100706","20100706","","03","폐업","1","폐지","20120420","","","","0513337739","","","부산광역시 북구 구포1동   700번지 53호 3층","부산광역시 북구 시랑로 9 (구포동,3층)","26320","성안 요양보호사교육원","20110315183547","I","2018-08-31 23:59:59.0","","382471.875875289","191337.559320129","","","","",
"96","요양보호사교육기관","11_49_01_P","6260000","201062600000040047-20100706","20100706","","03","폐업","1","폐지","20110518","","","","0513344200","","","부산광역시 북구 덕천2동   400번지 1호 동강빌딩 5층","부산광역시 북구 백양대로 1204 (덕천동,동강빌딩5층)","26320","부민 요양보호사교육원","20110315174234","I","2018-08-31 23:59:59.0","","382578.562683938","191907.270869556","","","","",
"97","요양보호사교육기관","11_49_01_P","6260000","201062600000040050-20100715","20100715","","03","폐업","1","폐지","20120705","","","","0513146614","","","부산광역시 사상구 주례1동   824번지 8호 2층","","","한울진사랑 요양보호사교육원","20100715200447","I","2018-08-31 23:59:59.0","","381984.293245804","185467.603657087","","","","",
"98","요양보호사교육기관","11_49_01_P","6260000","201062600000040089-20101019","20101019","","03","폐업","1","폐지","20150930","","","","0518651600","","","부산광역시 부산진구 양정2동   406-11","부산광역시 부산진구 중앙대로 939, 4층 (양정동,조광빌딩)","","부산평생교육원 부설 요양보호사 교육원","20140709153738","I","2018-08-31 23:59:59.0","","","","","","","",
"99","요양보호사교육기관","11_49_01_P","6260000","201062600000040090-20101019","20101019","","03","폐업","1","폐지","20140415","","","","0516376609","","","부산광역시 동구 범일동   830번지 27호 (5층)","부산광역시 동구 범일로102번길 14, 5층 (범일동)","","이웃사랑 요양보호사교육원","20141020100132","I","2018-08-31 23:59:59.0","","","","","","","",
"100","요양보호사교육기관","11_49_01_P","6260000","201062600000040091-20101020","20101020","","03","폐업","1","폐지","20161230","","","","0517530322","","","부산광역시 수영구 광안1동   118-5","부산광역시 수영구 수영로 612 (광안동)","","수영 요양보호사교육원","20170222103952","I","2018-08-31 23:59:59.0","","","","","","","",
"101","요양보호사교육기관","11_49_01_P","6260000","201062600000040092-20101025","20101025","","03","폐업","1","폐지","20151210","","","","0513145858","","","부산광역시 사상구 덕포1동   113번지 13호","부산광역시 사상구 백양대로 687-23 (덕포동)","","정향 요양보호사교육원","20150323104105","I","2018-08-31 23:59:59.0","","381067.320399592","187194.092227461","","","","",
"102","요양보호사교육기관","11_49_01_P","6260000","201062600000040053-20100803","20100803","","03","폐업","1","폐지","20100803","","","","0512003402","","","부산광역시 사하구 괴정3동  동주대학","","","동주대학 요양보호사교육원","20151202140042","I","2018-08-31 23:59:59.0","","","","","","","",
"103","요양보호사교육기관","11_49_01_P","6260000","201062600000040051-20100803","20100803","","03","폐업","1","폐지","","","","","0515150985","","","부산광역시 금정구 남산동   104번지 3호","부산광역시 금정구 남산로 2 (남산동)","","금정 요양보호사교육원","20141028131533","I","2018-08-31 23:59:59.0","","390303.378661175","198413.266906048","","","","",
"104","요양보호사교육기관","11_49_01_P","6260000","201062600000040052-20100803","20100803","","03","폐업","1","폐지","20110908","","","","0516434009","","","부산광역시 남구 문현2동   798번지 원방아트빌딩 4층","","","치사람 요양보호사교육원","20110404103117","I","2018-08-31 23:59:59.0","","","","","","","",
"105","요양보호사교육기관","11_49_01_P","6260000","201062600000040057-20100811","20100811","","03","폐업","1","폐지","20120330","","","","07087250633","","","부산광역시 연제구 연산5동   1341번지 23호 3층","부산광역시 연제구 신촌로 3 (연산동,3층)","26470","구명 요양보호사교육원","20110315155721","I","2018-08-31 23:59:59.0","","389196.054357731","188948.965331069","","","","",
"106","요양보호사교육기관","11_49_01_P","6260000","201062600000040055-20100811","20100811","","03","폐업","1","폐지","20111107","","","","0517240035","","","부산광역시 기장군 기장읍 대라리  56번지 9호 무산빌딩 3층","부산광역시 기장군 기장읍 차성로288번길 50 (무산빌딩 3층)","26710","효성 요양보호사교육원","20110404103452","I","2018-08-31 23:59:59.0","","401668.449608778","195984.927496977","","","","",
"107","요양보호사교육기관","11_49_01_P","6260000","201062600000040066-20100917","20100917","","03","폐업","1","폐지","20120313","","","","0512032244","","","부산광역시 사하구 괴정2동   356-1","부산광역시 사하구 까치고개로 9 (괴정동)","","제일 요양보호사교육원","20120308155551","I","2018-08-31 23:59:59.0","","","","","","","",
"108","요양보호사교육기관","11_49_01_P","6260000","201062600000040068-20101011","20101011","","03","폐업","1","폐지","20160923","","","","0515100952","","","부산광역시 해운대구 반송2동   301번지 7호 2층","부산광역시 금정구 오륜대로 57, 2호 (부곡동,부산가톨릭대학교간호대학메리놀관)","","부산가톨릭대학교 부설 요양보호사교육원","20220322171612","U","2022-03-24 02:40:00.0","","395888.167910697","194489.213658893","","","","",
"109","요양보호사교육기관","11_49_01_P","6260000","201062600000040069-20101011","20101011","","03","폐업","1","폐지","20110331","","","","0513328004","","","부산광역시 북구 만덕2동   949-1","null","","만덕종합사회복지관 요양보호사교육원","20190325173028","U","2019-03-27 02:40:00.0","","","","","","","",
"110","요양보호사교육기관","11_49_01_P","6260000","201062600000040072-20101011","20101011","","03","폐업","1","폐지","20180110","","","","0518603066","","","부산광역시 부산진구 양정동 산 72번지","부산광역시 부산진구 양지로 54, 1층 (양정동,동의대학교석당문화관)","","동의과학대학교 부설 요양보호사교육원","20170117091931","I","2018-08-31 23:59:59.0","","","","","","","",
"111","요양보호사교육기관","11_49_01_P","6260000","201062600000040046-20100706","20100706","","03","폐업","1","폐지","20160923","","","","0518532739","","","부산광역시 부산진구 양정2동   145번지 3호","부산광역시 사상구 가야대로 329, 4층 (주례동,알뜰주유소)","","비젼 요양보호사교육원","20220322171938","U","2022-03-24 02:40:00.0","","388901.34682885","188341.322416779","","","","",
"112","요양보호사교육기관","11_49_01_P","6260000","201062600000040013-20100605","20100605","","03","폐업","1","폐지","20160923","","","","","","","부산광역시 부산진구 범천동 886번지 41호","부산광역시 부산진구 범일로131번길 44, 2층 (범천동)","","열린평생 요양보호사교육원","20220322170438","U","2022-03-24 02:40:00.0","","387560.954427464","184617.756634556","","","","",
"113","요양보호사교육기관","11_49_01_P","6260000","201062600000040056-20100811","20100811","","03","폐업","1","폐지","20170724","","","","0513111212","","","부산광역시 사상구 주례3동   1162번지 14호 주례중앙빌딩 5층","부산광역시 사상구 가야대로 260, 3층 (주례동)","26530","북부산 요양보호사교육원","20210104091117","U","2021-01-06 02:40:00.0","","382442.365387785","185279.162706642","","","","",
"114","요양보호사교육기관","11_49_01_P","6260000","201062600000040081-20101019","20101019","","03","폐업","1","폐지","20180206","","","","0518014035","","","부산광역시 부산진구 전포2동  적십자회관빌딩","부산광역시 부산진구 동성로 144, 1층 (전포동,대한적십자빌딩)","","대한적십자사 부산광역시지사 요양보호사 교육원","20161005140717","I","2018-08-31 23:59:59.0","","388569.448930725","185453.187416704","","","","",
"115","요양보호사교육기관","11_49_01_P","6260000","201062600000040082-20101019","20101019","","03","폐업","1","폐지","20121023","","","","0512619922","","","부산광역시 사하구 장림2동   64번지 2호 2층","부산광역시 사하구 두송로 40 (장림동,2층)","26380","부경보건고등학교 부설 요양보호사교육원","20110415165411","I","2018-08-31 23:59:59.0","","380585.880007958","177277.315650526","","","","",
"116","요양보호사교육기관","11_49_01_P","6260000","201062600000040083-20101019","20101019","","03","폐업","1","폐지","20160630","","","","0518677557","","","부산광역시 수영구 수영동   451번지 13호 태향빌딩 6층","부산광역시 수영구 연수로 395 (수영동,태향빌딩 6층)","","행복 요양보호사교육원","20160722172252","I","2018-08-31 23:59:59.0","","392423.66915777","187601.27921049","","","","",
"117","요양보호사교육기관","11_49_01_P","6260000","201062600000040086-20101019","20101019","","03","폐업","1","폐지","20150105","","","","0519995356","","","부산광역시 사상구 괘법동   산1-1","","","신라대학교 부설 요양보호사교육원","20131022143443","I","2018-08-31 23:59:59.0","","","","","","","",
"118","요양보호사교육기관","11_49_01_P","6260000","201062600000040076-20101011","20101011","","03","폐업","1","폐지","20110412","","","","0512466613","","","부산광역시 중구 남포동2가   25번지 10호","부산광역시 중구 구덕로34번길 4 (남포동2가)","26110","메디칼 요양보호사교육원","20110315171151","I","2018-08-31 23:59:59.0","","385243.158543667","179580.295176299","","","","",
"119","요양보호사교육기관","11_49_01_P","6260000","201062600000040077-20101011","20101011","","03","폐업","1","폐지","20120328","","","","0515104807","","","부산광역시 금정구 부곡2동  대동대학","","","대동대학 부설 요양보호사교육원","20110315163154","I","2018-08-31 23:59:59.0","","","","","","","",
"120","요양보호사교육기관","11_49_01_P","6260000","201062600000040078-20101011","20101011","","03","폐업","1","폐지","20160831","","","","0516379949","","","부산광역시 부산진구 범천1동   836-1","","","현대 요양보호사교육원","20161005165214","I","2018-08-31 23:59:59.0","","","","","","","",
"121","요양보호사교육기관","11_49_01_P","6260000","201062600000040094-20101025","20101025","","03","폐업","1","폐지","20150501","","","","0512664949","","","부산광역시 사하구 신평1동   14번지","부산광역시 사하구 다대낙조2길 3, 5층 (다대동,몰운대빌딩)","","천사(다대) 요양보호사 교육원","20150513144601","I","2018-08-31 23:59:59.0","","380234.027024159","179074.881612575","","","","",
"122","요양보호사교육기관","11_49_01_P","6260000","201062600000040095-20101025","20101025","","03","폐업","1","폐지","20110210","","","","0513168255","","","부산광역시 사상구 괘법동   511번지 2호 2층","부산광역시 사상구 사상로148번길 25 (괘법동,2층)","26530","샘물 요양보호사교육원","20101026092159","I","2018-08-31 23:59:59.0","","381141.053269394","186313.167239437","","","","",
"123","요양보호사교육기관","11_49_01_P","6260000","201062600000040098-20101025","20101025","","03","폐업","1","폐지","20101222","","","","0518187578","","","부산 부산진구 양정1동   391번지 10호 2층","부산광역시 부산진구 동평로420번길 28 (양정동,2층)","26230","아산 요양보호사교육원","20101029164252","I","2018-08-31 23:59:59.0","","388472.360041319","187842.952825733","","","","",
"124","요양보호사교육기관","11_49_01_P","6260000","201062600000040011-20100605","20100605","","03","폐업","1","폐지","20150731","","","","0518503108","","","부산광역시 부산진구 양정1동  1050번지 부산여자대학","","","부산여자대학 요양보호사교육원","20150806155154","I","2018-08-31 23:59:59.0","","","","","","","",
"125","요양보호사교육기관","11_49_01_P","6260000","201062600000040037-20100622","20100622","","03","폐업","1","폐지","20120904","","","","0514413023","","","부산광역시 남구 문현2동   517번지 3호 3층","부산광역시 남구 전포대로 108-1 (문현동,3층)","26290","시티 요양보호사교육원","20120417112944","I","2018-08-31 23:59:59.0","","388302.764889546","184987.804781904","","","","",
"126","요양보호사교육기관","11_49_01_P","6260000","201062600000040043-20100706","20100706","","03","폐업","1","폐지","20150731","","","","0515134567","","","부산광역시 금정구 구서2동   177번지 25호 대원빌딩 3층","부산광역시 금정구 중앙대로 1927 (구서동)","","세영 요양보호사교육원","20150806155347","I","2018-08-31 23:59:59.0","","390235.603406903","197238.082748025","","","","",
"127","요양보호사교육기관","11_49_01_P","6260000","201062600000040058-20100902","20100902","","03","폐업","1","폐지","20110119","","","","0518022038","","","부산광역시 부산진구 전포2동   874번지 13호 레그늄오피스텔 101호, 102호","부산광역시 부산진구 중앙대로 800 (전포동,레그늄오피스텔 101호, 102호)","26230","그린케어 요양보호사교육원","20101029175517","I","2018-08-31 23:59:59.0","","387957.596838922","186815.652008647","","","","",
"128","요양보호사교육기관","11_49_01_P","6260000","201062600000040079-20101019","20101019","","03","폐업","1","폐지","20121025","","","","0513435664","","","부산광역시 북구 구포3동   1255번지 2호","부산광역시 북구 시랑로114번길 45 (구포동)","26320","JS 요양보호사교육원","20120405114013","I","2018-08-31 23:59:59.0","","382865.897094966","190186.827804782","","","","",
"129","요양보호사교육기관","11_49_01_P","6260000","202062600000040001-20201126","20201126","","03","폐업","1","폐지","20201126","","","","","","","부산광역시 영도구 대교동1가 39번지","부산광역시 영도구 태종로 47, 신일빌딩 201호 (대교동1가)","","은하수요양보호사교육원","20201126100201","I","2020-11-28 00:23:08.0","","","","","","","",
"130","요양보호사교육기관","11_49_01_P","6260000","201062600000040041-20100706","20100706","","01","영업/정상","3","재개","","","20171231","20160513","0515139088","","","부산광역시 금정구 구서동 163-25","부산광역시 금정구 중앙대로 1949, 2층 (구서동)","","금강 요양보호사교육원","20210610150815","U","2021-06-12 02:40:00.0","","","","","","","",
