"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"147","치과기공소","01_02_04_P","3290000","PHMB320153290024062300005","20151202","","01","영업/정상","13","영업중","","","","","051-632-2808","","","부산광역시 부산진구 범천동 869번지 33호","부산광역시 부산진구 중앙대로621번길 14-7, 3층 (범천동)","47351","치아공방","20160427154213","I","2018-08-31 23:59:59.0","","387498.215392806","185202.684418887","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"148","치과기공소","01_02_04_P","3290000","PHMB320153290024062300006","20151222","","01","영업/정상","13","영업중","","","","","051-717-2835","","","부산광역시 부산진구 범천동 1154번지 4호","부산광역시 부산진구 신암로 145, 3층 (범천동)","47344","가인치과기공소","20151224152104","I","2018-08-31 23:59:59.0","","386655.288964554","185696.933950937","1","1","3","1","1","1","1","1","1","1","1","2","3","1","1",
"149","치과기공소","01_02_04_P","3290000","PHMB320213290024062300004","20201204","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 개금동 271-1","부산광역시 부산진구 백양대로 246, 2층 (개금동)","47172","투탑치과기공소","20211229132240","I","2021-12-31 00:22:51.0","","384343.278844587","186057.21022587","1","1","3","1","1","1","4","1","1","1","1","1","1","1","1",
"150","치과기공소","01_02_04_P","3290000","PHMB320013290024062300001","20010419","","01","영업/정상","13","영업중","","","","","051-853-5795","","614853","부산광역시 부산진구 양정1동 350번지 70호 2층","부산광역시 부산진구 양지로5번길 48 (양정동)","47222","다움 치과기공소","20131220173006","I","2018-08-31 23:59:59.0","","388612.102726678","187779.12160125","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"151","치과기공소","01_02_04_P","3290000","PHMB320013290024062300002","20010516","","01","영업/정상","13","영업중","","","","","051-646-2804","","614827","부산광역시 부산진구 범천1동 846번지 29호","부산광역시 부산진구 범일로 152 (범천동)","47365","중앙치과기공소","20131220172234","I","2018-08-31 23:59:59.0","","387627.505161688","184656.463185727","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"152","치과기공소","01_02_04_P","3290000","PHMB320033290024062300001","20030419","","01","영업/정상","13","영업중","","","","","051-806-2855","","614856","부산광역시 부산진구 양정1동 394번지 23호","부산광역시 부산진구 거제대로36번길 32 (양정동)","47213","수치과기공소","20131220172256","I","2018-08-31 23:59:59.0","","388439.298520235","187770.605460576","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"153","치과기공소","01_02_04_P","3290000","PHMB320043290024062300001","20040116","","01","영업/정상","13","영업중","","","","","051-802-2582","","614844","부산광역시 부산진구 부전1동 259번지 12호","부산광역시 부산진구 서면문화로 6-1 (부전동)","47256","동원치과기공소","20140228200437","I","2018-08-31 23:59:59.0","","387466.163909041","186310.088245899","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"154","치과기공소","01_02_04_P","3290000","PHMB320093290024062300004","20090701","","01","영업/정상","13","영업중","","","","","051-442-0402","","614021","부산광역시 부산진구 범천1동 868번지 44호 2층","부산광역시 부산진구 신천대로71번길 19, 2층 (범천동)","47351","미래로치과기공소","20180109171514","I","2018-08-31 23:59:59.0","","387443.259748489","185213.531217319","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"155","치과기공소","01_02_04_P","3290000","PHMB320053290024062300001","20050712","","01","영업/정상","13","영업중","","","","","051-868-3537","","614856","부산광역시 부산진구 양정1동 397번지 6호","부산광역시 부산진구 동평로406번길 44 (양정동)","47212","그린치과기공소","20140228200536","I","2018-08-31 23:59:59.0","","388394.184503341","187813.767511935","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"156","치과기공소","01_02_04_P","3290000","PHMB320053290024062300002","20050603","","01","영업/정상","13","영업중","","","","","051-861-3267","","614853","부산광역시 부산진구 양정1동 366번지 2호","부산광역시 부산진구 진남로 491 (양정동)","47234","석치과기공소","20140228200508","I","2018-08-31 23:59:59.0","","388531.963389238","187394.486270179","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"157","치과기공소","01_02_04_P","3290000","PHMB320113290024062300003","20110509","","01","영업/정상","13","영업중","","","","","051-853-7528","","614853","부산광역시 부산진구 양정1동 353번지 4호 4층","부산광역시 부산진구 중앙대로 908, 4층 (양정동)","47229","예인치과기공소","20190829173614","U","2019-08-31 02:40:00.0","","388522.164895874","187735.173145226","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"158","치과기공소","01_02_04_P","3290000","PHMB320113290024062300004","20110512","","01","영업/정상","13","영업중","","","","","051-544-2888","","","부산광역시 부산진구 전포동 674번지 3호 3층","부산광역시 부산진구 서전로58번길 33 (전포동)","47303","288치과기공소","20170307110843","I","2018-08-31 23:59:59.0","","388047.822277369","186218.853885765","1","1","10","1","1","2","2","1","2","1","1","2","2","2","1",
"159","치과기공소","01_02_04_P","3290000","PHMB319933290024062300004","19930901","","01","영업/정상","13","영업중","","","","","051-643-9956","","614847","부산광역시 부산진구 부전2동 512번지 3호 정산빌딩 7층","부산광역시 부산진구 부전로 71, 7층 (부전동, 정산빌딩)","47284","부산심미","20190508172659","U","2019-05-10 02:40:00.0","","387136.993149411","186074.151759368","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"160","치과기공소","01_02_04_P","3290000","PHMB320093290024062300002","20090526","","01","영업/정상","13","영업중","","","","","051-807-1757","","614844","부산광역시 부산진구 부전1동 142번지 7호","부산광역시 부산진구 동천로107번길 21 (부전동)","47246","클래식치과기공소","20180131102848","I","2018-08-31 23:59:59.0","","387725.986323061","186280.432629121","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"161","치과기공소","01_02_04_P","3290000","PHMB320123290024062300009","20121221","","01","영업/정상","13","영업중","","","","","051-462-2805","","614868","부산광역시 부산진구 전포동 883번지 10호 외2필지, 3층","부산광역시 부산진구 전포대로171번길 44, 3층 (전포동)","47298","예림 치과기공소","20131220161752","I","2018-08-31 23:59:59.0","","387923.471530635","185512.087729222","1","1","4","1","1","2","1","2","1","1","1","1","1","1","1",
"162","치과기공소","01_02_04_P","3290000","PHMB320143290024062300002","20140226","","01","영업/정상","13","영업중","","","","","051-465-0562","","614826","부산광역시 부산진구 범천동 871번지 24호 2층","부산광역시 부산진구 신천대로65번길 64-1, 2층 (범천동)","47351","신의치과기공소","20180626162136","I","2018-08-31 23:59:59.0","","387456.58969711","185076.593791719","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"163","치과기공소","01_02_04_P","3290000","PHMB320163290024062300002","20160613","","01","영업/정상","13","영업중","","","","","051-501-7260","","","부산광역시 부산진구 개금동 218번지 15호","부산광역시 부산진구 백양대로 258, 4층 (개금동)","47173","스마트치과기공소","20160613175443","I","2018-08-31 23:59:59.0","","384251.48834835","185983.631795526","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"164","치과기공소","01_02_04_P","3290000","PHMB320163290024062300003","20161031","","01","영업/정상","13","영업중","","","","","051-988-9160","","","부산광역시 부산진구 부전동 512번지 7호","부산광역시 부산진구 부전로 75-3, 4층 (부전동)","47284","홍익 치과기공소","20171012104326","I","2018-08-31 23:59:59.0","","387128.934960873","186101.151404012","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"165","치과기공소","01_02_04_P","3290000","PHMB320163290024062300004","20161212","","01","영업/정상","13","영업중","","","","","051-996-2804","","","","부산광역시 부산진구 신암로 90 (범천동)","47343","민덴탈랩","20180803092331","I","2018-08-31 23:59:59.0","","387039.265439899","185282.382201489","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"166","치과기공소","01_02_04_P","3290000","PHMB320173290024062300002","20170322","","01","영업/정상","13","영업중","","","","","051-804-4921","","","","부산광역시 부산진구 새싹로 215, 2층 203호 (초읍동, 선경성지곡아파트)","47108","예명치과기공소","20180803092201","I","2018-08-31 23:59:59.0","","386474.243582484","188216.799854015","1","1","3","1","1","1","2","1","1","1","1","1","2","1","1",
"167","치과기공소","01_02_04_P","3290000","PHMB320173290024062300006","20170830","","01","영업/정상","13","영업중","","","","","051-818-1216","","","부산광역시 부산진구 부암동 689번지 1호","부산광역시 부산진구 신천대로 192, 2층 (부암동)","47195","에스(S)치과기공소","20170830130727","I","2018-08-31 23:59:59.0","","386788.042844127","186352.088169556","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"168","치과기공소","01_02_04_P","3290000","PHMB320183290024062300001","20180131","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 142번지 7호","부산광역시 부산진구 동천로107번길 21, 3층 (부전동)","47246","이편한치과기공소","20180131095843","I","2018-08-31 23:59:59.0","","387725.986323061","186280.432629121","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"169","치과기공소","01_02_04_P","3290000","PHMB320183290024062300002","20180416","","01","영업/정상","13","영업중","","","","","051-861-0003","","","부산광역시 부산진구 양정동 336번지 9호","부산광역시 부산진구 중앙대로928번길 5, 3~4층 (양정동)","47221","코리아덴탈랩","20190218092230","U","2019-02-20 02:40:00.0","","388656.904720544","187904.042506196","1","3","5","1","1","1","2","1","2","1","1","3","1","1","1",
"170","치과기공소","01_02_04_P","3290000","PHMB319933290024062300001","19930504","","01","영업/정상","13","영업중","","","","","051-817-2531","","614865","부산광역시 부산진구 전포2동 664번지 6호","부산광역시 부산진구 서전로37번길 26 (전포동)","47247","바른이 치과기공소","20140228200359","I","2018-08-31 23:59:59.0","","388014.861812957","186366.081928266","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"171","치과기공소","01_02_04_P","3290000","PHMB319933290024062300002","19931009","","01","영업/정상","13","영업중","","","","","051-891-6708","","614811","부산광역시 부산진구 개금3동 208번지 43호","부산광역시 부산진구 백양대로 265 (개금동)","47259","파티마 치과기공소","20131220165240","I","2018-08-31 23:59:59.0","","384219.031359906","185872.378891965","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"172","치과기공소","01_02_04_P","3290000","PHMB319953290024062300001","19951229","","01","영업/정상","13","영업중","","","","","051-645-5255","","","","부산광역시 부산진구 범일로 134-1 (범천동)","47365","푸른솔 치과기공소","20210412134402","U","2021-04-14 02:40:00.0","","387630.704414325","184483.985078712","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"173","치과기공소","01_02_04_P","3290000","PHMB319743290024062300002","19741231","","01","영업/정상","13","영업중","","","","","051-802-8005","","614844","부산광역시 부산진구 부전동 122번지 5호","부산광역시 부산진구 동천로107번길 12-23 (부전동)","47246","항도","20131220171606","I","2018-08-31 23:59:59.0","","387766.494286003","186343.102083747","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"174","치과기공소","01_02_04_P","3290000","PHMB319893290024062300001","19890609","","01","영업/정상","13","영업중","","","","","051-808-2249","","614843","부산광역시 부산진구 부전1동 347번지 28호","부산광역시 부산진구 부전로152번길 31-7 (부전동)","47253","금오","20200702091035","U","2020-07-04 02:40:00.0","","387488.580865842","186588.695809223","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"175","치과기공소","01_02_04_P","3290000","PHMB319813290024062300002","19810430","","01","영업/정상","13","영업중","","","","","051-809-0457","","614844","부산광역시 부산진구 부전1동 264번지 6호","부산광역시 부산진구 새싹로14번길 23 (부전동)","47253","동산치과기공소","20220621162151","U","2022-06-23 02:40:00.0","","387519.671481516","186486.192235971","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"176","치과기공소","01_02_04_P","3290000","PHMB319823290024062300001","19820831","","01","영업/정상","13","영업중","","","","","051-802-7873","","614865","부산광역시 부산진구 전포2동 660번지 18호","부산광역시 부산진구 전포대로255번길 43-14 (전포동)","47247","해성","20140228200041","I","2018-08-31 23:59:59.0","","387888.510637658","186352.945279534","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"177","치과기공소","01_02_04_P","3290000","PHMB319873290024062300001","19870716","","01","영업/정상","13","영업중","","","","","051-802-4168","","614845","부산광역시 부산진구 부전2동 198번지 10호","부산광역시 부산진구 중앙대로680번가길 11-5 (부전동)","47296","에덴","20140228200112","I","2018-08-31 23:59:59.0","","387693.318318294","185796.15847989","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"178","치과기공소","01_02_04_P","3290000","PHMB319883290024062300003","19880910","","01","영업/정상","13","영업중","","","","","051-805-0087","","614843","부산광역시 부산진구 부전1동 347번지 32호","부산광역시 부산진구 부전로158번길 30 (부전동)","47253","지산","20131227175328","I","2018-08-31 23:59:59.0","","387537.804372536","186609.965348972","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"179","치과기공소","01_02_04_P","3290000","PHMB318903290024062300002","19900820","","01","영업/정상","13","영업중","","","","","051-816-2800","","614865","부산광역시 부산진구 전포2동 654번지 2호","부산광역시 부산진구 전포대로255번길 37 (전포동)","47247","부영","20160328111906","I","2018-08-31 23:59:59.0","","387929.302547561","186395.044177632","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"180","치과기공소","01_02_04_P","3290000","PHMB318903290024062300001","19900803","","01","영업/정상","13","영업중","","","","","051-816-2590","","","부산광역시 부산진구 전포동 660번지 18호","부산광역시 부산진구 전포대로255번길 43-14, 4층 (전포동)","47247","인제치과기공소","20210224155842","U","2021-02-26 02:40:00.0","","387888.510637658","186352.945279534","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"181","치과기공소","01_02_04_P","3290000","PHMB319913290024062300001","19911007","","01","영업/정상","13","영업중","","","","","051-819-6646","","614843","부산광역시 부산진구 부전1동 259번지 18호","부산광역시 부산진구 새싹로 5-1 (부전동)","47256","동광","20140228200323","I","2018-08-31 23:59:59.0","","387468.613253692","186315.960659359","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"182","치과기공소","01_02_04_P","3290000","PHMB319913290024062300002","19911018","","01","영업/정상","13","영업중","","","","","051-817-4900","","614858","부산광역시 부산진구 양정1동 503번지 12호","부산광역시 부산진구 범양로126번길 8 (양정동)","47207","남영","20131220165608","I","2018-08-31 23:59:59.0","","388153.00345066","188055.311498173","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"183","치과기공소","01_02_04_P","3290000","PHMB320173290024062300004","20170526","","01","영업/정상","13","영업중","","","","","070-4384-2804","","","","부산광역시 부산진구 당감로 49, 2층 (당감동)","47145","마린치과기공소","20180803092629","I","2018-08-31 23:59:59.0","","385691.821081318","187111.384740236","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"184","치과기공소","01_02_04_P","3290000","PHMB320203290024062300001","20200615","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 573번지 3호 부전시장","부산광역시 부산진구 중앙대로783번길 23, 부전시장 2층 213호 (부전동)","47251","프로덱 치과기공소","20210310130910","U","2021-03-12 02:40:00.0","","387713.995735189","186850.240379432","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"185","치과기공소","01_02_04_P","3290000","PHMB320213290024062300003","20210825","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 532-6","부산광역시 부산진구 부전로 9, 3층 (부전동)","47290","Zero To One 치과기공소","20210906175412","U","2021-09-08 02:40:00.0","","387389.849508358","185504.041467402","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"186","치과기공소","01_02_04_P","3290000","PHMB320203290024062300002","20180326","","01","영업/정상","13","영업중","","","","","051-316-2804","","","부산광역시 부산진구 범천동 869-33","부산광역시 부산진구 중앙대로621번길 14-7, 3층 (범천동)","47351","Dream(드림)치과기공소","20210310132622","U","2021-03-12 02:40:00.0","","387498.215392806","185202.684418887","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"187","치과기공소","01_02_04_P","3290000","PHMB320213290024062300001","20210310","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부암동 722-3 골든박스","부산광역시 부산진구 백양산로54번길 3, 골든박스 301호 (부암동)","47148","이루다덴탈랩","20210310181047","I","2021-03-12 00:23:00.0","","384958.595783129","187977.94791185","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"188","치과기공소","01_02_04_P","3290000","PHMB320183290024062300006","20181107","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 당감동 367번지 2호","부산광역시 부산진구 동평로 46, 3층 (당감동)","47177","상아치과기공소","20181107142927","I","2018-11-09 02:36:07.0","","385305.852237669","186962.551611725","1","1","3","1","1","2","1","1","1","1","1","1","1","1","1",
"189","치과기공소","01_02_04_P","3290000","PHMB320223290024062300001","20121226","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 당감동 418-1 미래메디칼","부산광역시 부산진구 동평로 83, 미래메디칼 7층 (당감동)","47145","가온치과기공소","20220523093448","I","2022-05-25 00:22:31.0","","385674.179714428","187063.898656278","1","3","6","1","1","3","2","1","1","1","1","2","2","1","1",
"190","치과기공소","01_02_04_P","3300000","PHMB320193300024062300004","20190607","","03","폐업","03","폐업","20211102","","","","","","","","부산광역시 동래구 미남로 54, 3층 (사직동)","47829","성지치과기공소","20211102134919","U","2021-11-04 02:40:00.0","","388517.99390444","190809.241364035","1","1","4","1","1","2","2","1","2","1","1","1","1","1","1",
"191","치과기공소","01_02_04_P","3300000","PHMB320083300024062300003","20081226","","03","폐업","03","폐업","20140409","","","","334-1116","","607841","부산광역시 동래구 온천동 1415번지 26호 세림빌딩 3층","부산광역시 동래구 아시아드대로220번길 49 (온천동,세림빌딩 3층)","","세미치과기공소","20140409115440","I","2018-08-31 23:59:59.0","","388376.297251488","191284.177187902","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"192","치과기공소","01_02_04_P","3300000","PHMB320163300024062300002","20160317","","03","폐업","03","폐업","20210826","","","","051-553-2804","","","부산광역시 동래구 복천동 369번지 2호 6층","부산광역시 동래구 명륜로94번길 53, 6층 (복천동)","47808","두호치과기공소","20210826170732","U","2021-08-28 02:40:00.0","","389711.467696402","191482.165059713","1","1","4","1","1","2","2","1","2","1","1","1","2","1","1",
"193","치과기공소","01_02_04_P","3300000","PHMB320163300024062300004","20160929","","03","폐업","03","폐업","20171206","","","","051-731-2805","","","부산광역시 동래구 명장동 133번지 89호 2층","부산광역시 동래구 명안로85번길 20, 2층 (명장동)","47773","BNT치과기공소","20171206191125","I","2018-08-31 23:59:59.0","","391483.504958544","191487.199540416","1","1","8","1","1","2","2","2","1","2","1","1","3","2","1",
"194","치과기공소","01_02_04_P","3300000","PHMB320033300024062300001","20030224","","03","폐업","03","폐업","20130812","","","","504-2855","","607837","부산광역시 동래구 온천2동 784번지 23호 2층","부산광역시 동래구 충렬대로107번길 115 (온천동)","607837","신라치과기공소","20130812165331","I","2018-08-31 23:59:59.0","","388689.406409617","192255.083707316","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"195","치과기공소","01_02_04_P","3300000","PHMB320083300024062300005","20080703","","03","폐업","03","폐업","20110729","","","","553-7524","","607837","부산광역시 동래구 온천2동 1439번지 3호","부산광역시 동래구 중앙대로 1325 (온천동)","","아름다운기공소","20110729115814","I","2018-08-31 23:59:59.0","","389118.58376653","191534.442906501","1","1","2","1","1","1","1","1","1","1","1","","","","",
"196","치과기공소","01_02_04_P","3300000","PHMB320023300024062300001","20020426","","03","폐업","03","폐업","20100127","","","","557-1741","","607840","부산광역시 동래구 온천3동 1378번지 6호 효승오피스텔 101","부산광역시 동래구 여고북로73번길 42 (온천동,효승오피스텔 101)","","효성치과기공소","20100309164737","I","2018-08-31 23:59:59.0","","388345.820304671","191203.664581537","1","1","2","1","1","1","1","1","1","1","1","","","","",
"197","치과기공소","01_02_04_P","3300000","PHMB319953300024062300001","19950623","","03","폐업","03","폐업","20111004","","","","525-7532","","607827","부산광역시 동래구 안락1동 426번지 39호","부산광역시 동래구 반송로 234 (안락동)","","한일치과기공소","20111004171005","I","2018-08-31 23:59:59.0","","391062.674829159","191144.18075191","1","1","2","1","1","1","1","1","1","1","1","","","","",
"198","치과기공소","01_02_04_P","3300000","PHMB320103300024062300001","20100128","","03","폐업","03","폐업","20120813","","","","501-1824","","607840","부산광역시 동래구 온천3동 1378번지 6호 효승오피스텔  101호","부산광역시 동래구 여고북로73번길 42, 101호 (온천동,효승오피스텔)","","효성치과기공소","20120813132201","I","2018-08-31 23:59:59.0","","388345.820304671","191203.664581537","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"199","치과기공소","01_02_04_P","3300000","PHMB319953300024062300002","19950817","","03","폐업","03","폐업","20170609","","","","502-7879","","607814","부산광역시 동래구 사직1동 53번지 31호","부산광역시 동래구 석사로 47 (사직동)","","푸른치과기공소","20170609173712","I","2018-08-31 23:59:59.0","","387913.739625893","190986.119342215","1","1","2","1","1","1","1","1","1","1","1","0","0","0","0",
"200","치과기공소","01_02_04_P","3300000","PHMB320023300024062300004","20020705","","03","폐업","03","폐업","20110506","","","","555-0562","","607806","부산광역시 동래구 명륜1동 679번지 6호 (3층)","부산광역시 동래구 동래로 63 (명륜동,(3층))","","나라치과기공소","20110506154627","I","2018-08-31 23:59:59.0","","389396.774528485","192024.388317074","1","1","2","1","1","1","1","1","1","1","1","","","","",
"201","치과기공소","01_02_04_P","3300000","PHMB320033300024062300002","20031125","","03","폐업","03","폐업","20180531","","","","553-8030","","607822","부산광역시 동래구 수안동 9번지 9호","부산광역시 동래구 충렬대로218번길 55 (수안동)","","세린치과기공소","20180531150127","I","2018-08-31 23:59:59.0","","389668.776465696","190891.873921921","1","1","2","1","1","1","1","1","1","1","1","0","0","0","0",
"202","치과기공소","01_02_04_P","3300000","PHMB320063300024062300002","20060223","","03","폐업","03","폐업","20130304","","","","505-9272","","607818","부산광역시 동래구 사직3동 137번지 40호","부산광역시 동래구 미남로 74 (사직동)","","현성치과기공소","20130304180542","I","2018-08-31 23:59:59.0","","388450.724252136","191016.294528763","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"203","치과기공소","01_02_04_P","3300000","PHMB320133300024062300001","20130419","","03","폐업","03","폐업","20141121","","","","051-553-2804","","","","부산광역시 동래구 명륜로94번길 53 (복천동)","607020","두호치과기공소","20141121101748","I","2018-08-31 23:59:59.0","","389711.467696402","191482.165059713","1","1","4","1","1","1","1","1","1","1","1","1","2","1","1",
"204","치과기공소","01_02_04_P","3300000","PHMB320063300024062300006","20060721","","03","폐업","03","폐업","20110401","","","","557-2808","","607827","부산광역시 동래구 안락1동 425번지 45호 (3층)","부산광역시 동래구 반송로 220 (안락동,(3층))","","투탑치과기공소","20120509115729","I","2018-08-31 23:59:59.0","","391012.252791711","191021.504225877","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"205","치과기공소","01_02_04_P","3300000","PHMB320063300024062300007","20060907","","03","폐업","03","폐업","20160331","","","","505-2825","","607813","부산광역시 동래구 사직3동 145번지 2호 (2층)","부산광역시 동래구 중앙대로1277번길 1 (사직동)","47833","플러스치과기공소","20160422092251","I","2018-08-31 23:59:59.0","","389131.74678488","191077.103392608","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"206","치과기공소","01_02_04_P","3300000","PHMB320073300024062300003","20070720","","03","폐업","03","폐업","20170227","","","","852-2950","","607050","부산광역시 동래구 수안동 9번지 33호 (3층)","부산광역시 동래구 명륜로 47, 3층 (수안동)","47818","원치과기공소","20170227163502","I","2018-08-31 23:59:59.0","","389739.128920367","190786.245620109","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"207","치과기공소","01_02_04_P","3300000","PHMB320073300024062300004","20070813","","03","폐업","03","폐업","20120618","","","","867-2801","","607822","부산광역시 동래구 수안동 2번지 11호","부산광역시 동래구 충렬대로202번길 27 (수안동)","607822","동경치과기공소","20120618134601","I","2018-08-31 23:59:59.0","","389550.857500663","191111.932805233","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"208","치과기공소","01_02_04_P","3300000","PHMB320103300024062300003","20100421","","03","폐업","03","폐업","20200330","","","","","","607843","부산광역시 동래구 온천3동 1465번지 5호 3층","부산광역시 동래구 미남로 86, 3층 (온천동)","47827","한사랑치과기공소","20200423135804","U","2020-04-25 02:40:00.0","","388415.534200456","191123.672657321","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"209","치과기공소","01_02_04_P","3300000","PHMB320103300024062300005","20101207","","03","폐업","03","폐업","20160613","","","","501-7260","","607063","부산광역시 동래구 온천3동 1452번지 1호","부산광역시 동래구 충렬대로108번길 37 (온천동)","","스마트치과기공소","20160613140526","I","2018-08-31 23:59:59.0","","388702.034322","191499.496712784","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"210","치과기공소","01_02_04_P","3300000","PHMB320113300024062300003","20110920","","03","폐업","03","폐업","20150626","","","","051-504-2802","","607843","부산광역시 동래구 온천3동 1465번지 1호 3층","부산광역시 동래구 미남로 88 (온천동,3층)","","이그린치과기공소","20150626154705","I","2018-08-31 23:59:59.0","","388408.214241187","191135.874398487","1","1","3","1","1","2","1","1","1","1","1","1","1","1","1",
"211","치과기공소","01_02_04_P","3300000","PHMB320113300024062300004","20111013","","03","폐업","03","폐업","20190102","","","","501-2285","","607818","부산광역시 동래구 사직3동 151번지 19호","부산광역시 동래구 미남로 54 (사직동)","47829","미드림치과기공소","20190102132251","U","2019-01-04 02:40:00.0","","388517.99390444","190809.241364035","1","1","5","1","1","2","1","1","1","1","1","1","1","1","1",
"212","치과기공소","01_02_04_P","3300000","PHMB320123300024062300003","20120221","","03","폐업","03","폐업","20160516","","","","912-2804","","607840","부산광역시 동래구 온천3동 1370번지 17호 2층","부산광역시 동래구 여고북로 71 (온천동)","47839","미리내치과기공소","20160516111600","I","2018-08-31 23:59:59.0","","388348.010053167","191009.515637013","1","1","3","1","1","2","1","1","1","1","1","1","1","1","1",
"213","치과기공소","01_02_04_P","3300000","PHMB320133300024062300003","20131219","","03","폐업","03","폐업","20210430","","","","070-8824-3192","","607020","부산광역시 동래구 복천동 311번지 1호","부산광역시 동래구 동래로136번길 18, 3층 (복천동)","47809","더블유 치과기공소","20210430160959","U","2021-05-02 02:40:00.0","","389815.79610878","191546.027339182","1","1","3","1","1","1","21","1","1","1","1","1","1","1","1",
"214","치과기공소","01_02_04_P","3300000","PHMB320143300024062300001","20140122","","03","폐업","03","폐업","20170206","","","","","","607800","부산광역시 동래구 낙민동 198번지 16호","부산광역시 동래구 충렬대로 296 (낙민동)","47880","이세라 치과기공소","20170206153810","I","2018-08-31 23:59:59.0","","390384.622151723","190955.130265215","1","1","4","1","1","1","2","1","1","1","1","1","2","1","1",
"215","치과기공소","01_02_04_P","3300000","PHMB320043300024062300001","20040916","","03","폐업","03","폐업","20190601","","","","555-2801","","607061","부산광역시 동래구 온천1동 182번지 6호","부산광역시 동래구 온천장로 77, 182층 6호 (온천동)","47712","크로바치과기공소","20190618142552","U","2019-06-20 02:40:00.0","","389502.408166702","192999.343172502","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"216","치과기공소","01_02_04_P","3300000","PHMB320193300024062300001","20190319","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 사직동 70번지 2호","부산광역시 동래구 아시아드대로 169, 2층 (사직동)","47858","바오치과기공소","20190319135408","I","2019-03-21 02:21:57.0","","387957.321737732","190865.516190493","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
