"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분","건축물명","건축물연면적","건축물상태명","청소대상시작일자","청소대상종료일자","휴업폐지사유","업무구분명",
"107","저수조청소업","09_30_14_P","3290000","329000031200300007","20080107","","03","폐업","2","폐업","","","","","","","","부산광역시 부산진구 초읍동 536-2","","","참빛산업","20150105205851","I","2018-08-31 23:59:59.0","","387107.574939578","188711.856322083","31","","","","","","직장근무","저수조청소업",
"108","저수조청소업","09_30_14_P","3290000","329000031200300009","20080211","","03","폐업","2","폐업","","","","","(051)809-2388","","","부산광역시 부산진구 부암동 637-61 (2)동","부산광역시 부산진구 신천대로 190-1 (2)동 (부암동)","","천지환경","20150105205851","I","2018-08-31 23:59:59.0","","386789.149774848","186340.38237081","31","","","","","","영업부진","저수조청소업",
"109","저수조청소업","09_30_14_P","3290000","329000031200300010","20090325","","03","폐업","2","폐업","20090325","","","","(051)807-2124","","","부산광역시 부산진구 초읍동 272-13 지하","부산광역시 부산진구 초읍천로 58-2  (초읍동,지하)","","한국특수","20150105205851","I","2018-08-31 23:59:59.0","","386412.225034757","188410.474588961","31","","","","","","개인사정","저수조청소업",
"110","저수조청소업","09_30_14_P","3290000","329000031201300003","20130808","","03","폐업","2","폐업","20190128","","","","070-8841-1028","","","부산광역시 부산진구 부암동 669-16","부산광역시 부산진구 신천대로220번길 93-16 (부암동)","","(주)나눔플러스","20190128163146","U","2019-01-30 02:40:00.0","","387077.467375858","186731.907178001","31","","","","","","영업부진","저수조청소업",
"111","저수조청소업","09_30_14_P","3290000","329000031201500003","20151221","","03","폐업","2","폐업","20190430","","","","","","","부산광역시 부산진구 양정동 271-8","부산광역시 부산진구 중앙대로970번길 32 (양정동)","","대성환경","20190503111240","U","2019-05-05 02:40:00.0","","388960.532665859","188169.532733257","31","","","","","","연제구로 사업장 이전","저수조청소업",
"112","저수조청소업","09_30_14_P","3290000","329000031200600002","20091231","","03","폐업","2","폐업","20091231","","","","809-8530","","","부산광역시 부산진구 연지동 72-8","부산광역시 부산진구 성지로 12  (연지동)","","(주)엘씨이노베이션","20150105205851","I","2018-08-31 23:59:59.0","","387173.384667787","187760.224166181","31","","","","","","영업부진","저수조청소업",
"113","저수조청소업","09_30_14_P","3290000","329000031200700003","20071217","","03","폐업","2","폐업","","","","","819-3047","","","부산광역시 부산진구 부전동 127 성도빌딩 205호","부산광역시 부산진구 중앙대로756번길 10,  205호 (부전동,성도빌딩)","","(주)대은기업","20150105205851","I","2018-08-31 23:59:59.0","","387736.151040548","186418.027301075","31","","","","","","영업소이전","저수조청소업",
"114","저수조청소업","09_30_14_P","3290000","329000031200700005","20080102","","03","폐업","2","폐업","","","","","","","","부산광역시 부산진구 범천동 853-33","부산광역시 부산진구 황령대로18번길 23  (범천동)","","에스텍 개발","20150105205851","I","2018-08-31 23:59:59.0","","387795.667002134","185026.900433009","31","","","","","","영업부진","저수조청소업",
"115","저수조청소업","09_30_14_P","3290000","329000031200400002","20080312","","03","폐업","2","폐업","","","","","897-9667","","","부산광역시 부산진구 양정동 365-30","부산광역시 부산진구 양지로14번길 23  (양정동)","","한마음","20150105205851","I","2018-08-31 23:59:59.0","","388442.579622374","187417.241463702","31","","","","","","장기적자","저수조청소업",
"116","저수조청소업","09_30_14_P","3290000","329000031200400006","20080122","","03","폐업","2","폐업","","","","","","","","부산광역시 부산진구 연지동 177-32","부산광역시 부산진구 연지로 3  (연지동)","","우정환경","20150105205851","I","2018-08-31 23:59:59.0","","386715.509638728","187637.585618291","31","","","","","","업종변경","저수조청소업",
"117","저수조청소업","09_30_14_P","3290000","329000031200300018","20060523","","03","폐업","2","폐업","","","","","(051)868-7370","","","부산광역시 부산진구 양정동 140-49 (2)동","부산광역시 부산진구 중앙대로970번가길 22 (2)동 (양정동)","","제일용역","20150105205851","I","2018-08-31 23:59:59.0","","388982.913520637","188295.193642194","31","","","","","","건강상","저수조청소업",
"118","저수조청소업","09_30_14_P","3290000","329000031201100003","20120906","","03","폐업","2","폐업","20120906","","","","051-801-3823","","","부산광역시 부산진구 양정동 361-1 대학빌딩 401호","부산광역시 부산진구 양지로11번길 16 (양정동, 대학빌딩401","","이지환경(주)","20150105205851","I","2018-08-31 23:59:59.0","","388551.555118044","187567.403851048","31","","","","","","장소이전","저수조청소업",
"119","저수조청소업","09_30_14_P","3290000","329000031200300011","20061228","","03","폐업","2","폐업","","","","","(051)807-3095","","","부산광역시 부산진구 부암동 508-9 (3)동","부산광역시 부산진구 당감서로94번길 24 (3)동 (부암동)","","새부산환경","20150105205851","I","2018-08-31 23:59:59.0","","385372.67526986","187463.969082977","31","","","","","","장소 이전","저수조청소업",
"120","저수조청소업","09_30_14_P","3290000","329000031200300013","20080211","","03","폐업","2","폐업","","","","","(051)818-6303","","","부산광역시 부산진구 부암동 308-2","부산광역시 부산진구 동평로 187  (부암동)","","(주)익성","20150105205851","I","2018-08-31 23:59:59.0","","386616.178964504","187289.93927901","31","","","","","","경영부진","저수조청소업",
"121","저수조청소업","09_30_14_P","3290000","329000031200300016","20071130","","03","폐업","2","폐업","","","","","(051)722-9190","","","부산광역시 부산진구 범천동 855-3 신세계빌딩10F (1)동","부산광역시 부산진구 중앙대로 612 (1)동 (범천동,신세계빌딩10F)","","(주)에스텍용역","20150105205851","I","2018-08-31 23:59:59.0","","387658.020080791","185065.02506996","31","","","","","","영업부진","저수조청소업",
"122","저수조청소업","09_30_14_P","3290000","329000031201300001","20130313","","03","폐업","2","폐업","20181030","","","","051-639-6400","","","부산광역시 부산진구 범천동 1192-45","부산광역시 부산진구 신암로117번길 4 (범천동)","","한빛환경","20181030113910","U","2018-11-01 02:37:55.0","","386819.647627182","185477.078386269","31","","","","","","지역재개발사업","저수조청소업",
"123","저수조청소업","09_30_14_P","3290000","329000031200300023","20080312","","03","폐업","2","폐업","","","","","(051)803-0701","","","부산광역시 부산진구 전포동 362-37 (3)동","부산광역시 부산진구 전포대로 174-1 (3)동 (전포동)","","(주)한솔라인","20150105205851","I","2018-08-31 23:59:59.0","","388172.606946977","185614.852626274","31","","","","","","업종변경","저수조청소업",
"124","저수조청소업","09_30_14_P","3290000","329000031200300026","20080104","","03","폐업","2","폐업","","","","","(051)338-9001","","","부산광역시 부산진구 전포동 878-10 (2)동","부산광역시 부산진구 동성로 149-7 (2)동 (전포동)","","푸른환경공사","20150105205851","I","2018-08-31 23:59:59.0","","387862.667535445","186602.991429237","31","","","","","","사무실이전","저수조청소업",
"125","저수조청소업","09_30_14_P","3290000","329000031200300001","20100901","","03","폐업","2","폐업","20200113","","","","(051)894-0388","","","부산광역시 부산진구 가야동 595-1 삼유빌딩3층","부산광역시 부산진구 냉정로 273 (가야동)","","(주)대창기업","20200113152654","U","2020-01-15 02:40:00.0","","384885.420396141","185453.068452467","31","","","","","","사업부진에 의한 폐업","저수조청소업",
"126","저수조청소업","09_30_14_P","3300000","330000031202200001","20220401","","01","영업/정상","11","정상","","","","","","","","부산광역시 동래구 온천동 1832 명륜역 대원칸타빌 2203호","부산광역시 동래구 온천장로 21, 명륜역 대원칸타빌 2203호 (온천동)","47713","칠일환경","20220405131831","U","2022-04-07 02:40:00.0","","389235.781289577","192560.544371807","31","","0","","","","","저수조청소업",
"127","저수조청소업","09_30_14_P","3300000","330000031202000001","20200331","","01","영업/정상","11","정상","","","","","051)851-0950","","","부산광역시 동래구 온천동 1143-5 (주)현대용역","부산광역시 동래구 쇠미로217번길 48 (주)현대용역 (온천동)","47718","(주)현대용역","20200331174026","I","2020-04-02 00:23:32.0","","387731.891160009","192138.170148935","31","","","","","","소재지 이전(연제구)에 따른 변경","저수조청소업",
"128","저수조청소업","09_30_14_P","3300000","330000031202100003","20210521","","01","영업/정상","11","정상","","","","","","","","부산광역시 동래구 수안동 32-42 세영아파트","부산광역시 동래구 온천천로301번길 57, 101호 (수안동, 세영아파트)","47883","(주)영진이엔디","20210611113650","U","2021-06-13 02:40:00.0","","389810.931311165","190624.977509113","31","","","","","","","저수조청소업",
"129","저수조청소업","09_30_14_P","3300000","330000031202000002","20200902","","01","영업/정상","11","정상","","","","","","","","부산광역시 동래구 복천동 153","부산광역시 동래구 복천로 20-1 (복천동)","47802","청수산업","20210716141328","U","2021-07-18 02:40:00.0","","390089.24308033","191591.136952328","31","","0","","","","","저수조청소업",
"130","저수조청소업","09_30_14_P","3300000","330000031202100001","20210331","","01","영업/정상","11","정상","","","","","051)502-1369","","","부산광역시 동래구 사직동 132-1","부산광역시 동래구 여고로 66, 현대빌딩 403호 (사직동)","47845","대세환경산업","20210716141002","U","2021-07-18 02:40:00.0","","388554.681298299","190500.850756461","31","","0","","","","","저수조청소업",
"131","저수조청소업","09_30_14_P","3300000","330000031202100002","20210416","","01","영업/정상","11","정상","","","","","","","","부산광역시 동래구 온천동 963-1 대경빌라트 1동 101호","부산광역시 동래구 충렬대로75번길 14 (온천동, 대경빌라트)","47724","정상개발","20210416103900","I","2021-04-18 00:22:58.0","","388377.975563711","191942.775777965","31","","","","","","","저수조청소업",
"132","저수조청소업","09_30_14_P","3300000","330000031200400005","20071214","","01","영업/정상","11","정상","","","","","051)524-7234","","","부산광역시 동래구 안락동 802-19","부산광역시 동래구 충렬대로321번길 7-3 (안락동)","47755","(주)창성티앤씨","20210727141326","U","2021-07-29 02:40:00.0","","390641.442899366","190931.616686099","31","","0","","","","","저수조청소업",
"133","저수조청소업","09_30_14_P","3300000","330000031200500001","20071228","","01","영업/정상","11","정상","","","","","051-556-8400","","","부산광역시 동래구 낙민동 186-13","부산광역시 동래구 낙민로 14 (낙민동)","","(주)대성실업","20150105205900","I","2018-08-31 23:59:59.0","","390255.14363107","190880.746707561","31","","","","","","","저수조청소업",
"134","저수조청소업","09_30_14_P","3300000","330000031201700001","20170220","","01","영업/정상","11","정상","","","","","051-501-5614","","","","부산광역시 동래구 여고북로33번가길 27 (온천동)","","청소맨","20170216125525","I","2018-08-31 23:59:59.0","","388344.954635767","191052.657172355","31","","","","","","","저수조청소업",
"135","저수조청소업","09_30_14_P","3300000","330000031201300002","20130320","","01","영업/정상","11","정상","","","","","051-851-3823","","","부산광역시 동래구 온천동 1442-26 101호","부산광역시 동래구 충렬대로126번길 7, 101호 (온천동)","","이지환경","20210331174611","U","2021-04-02 02:40:00.0","","388835.517757447","191562.553927909","31","","","","","","","저수조청소업",
"136","저수조청소업","09_30_14_P","3300000","330000031201400001","20140218","","01","영업/정상","11","정상","","","","","515-7484","","","부산광역시 동래구 온천동 1428-13","부산광역시 동래구 우장춘로4번길 38 (온천동)","","(주)서광티에스","20191128102521","U","2019-11-30 02:40:00.0","","388641.534817675","191792.635408597","31","","","","","","","저수조청소업",
"137","저수조청소업","09_30_14_P","3300000","330000031201400002","20141110","","01","영업/정상","11","정상","","","","","051-316-4377","","","부산광역시 동래구 온천동 174-5","부산광역시 동래구 중앙대로1473번길 8 (온천동)","","(주)삼명이엔씨","20201215115931","U","2020-12-17 02:40:00.0","","389616.543690396","192913.389227108","31","","","","","","","저수조청소업",
"138","저수조청소업","09_30_14_P","3300000","330000031201200001","20170905","","01","영업/정상","11","정상","","","","","051-809-3774","","","부산광역시 동래구 온천동 1209-17","부산광역시 동래구 아시아드대로255번길 82-2 (온천동)","","원형실업","20210115162116","U","2021-01-17 02:40:00.0","","388006.682404575","191852.574227455","31","","","","","","","저수조청소업",
"139","저수조청소업","09_30_14_P","3300000","330000031201200002","20121022","","01","영업/정상","11","정상","","","","","","","","부산광역시 동래구 사직동 129-31","부산광역시 동래구 아시아드대로126번길 66 (사직동)","47843","아신실업","20200717161143","U","2020-07-19 02:40:00.0","","388475.201251583","190561.671937133","31","","","","","","","저수조청소업",
"140","저수조청소업","09_30_14_P","3300000","330000031201300001","20141210","","01","영업/정상","11","정상","","","","","051-851-4002","","","부산광역시 동래구 명장동 67-57","부산광역시 동래구 명안로45번길 64-3 (명장동)","","(주)조은P&P","20150105205900","I","2018-08-31 23:59:59.0","","391280.975361289","191152.665967678","31","","","","","","","저수조청소업",
"141","저수조청소업","09_30_14_P","3300000","330000031200300001","20071126","","01","영업/정상","11","정상","","","","","051-529-7144","","","부산광역시 동래구 명장동 145-14 35통3반","부산광역시 동래구 명안로86번길 45 (명장동)","","제곤산업","20220303173129","U","2022-03-05 02:40:00.0","","391794.117665578","191451.076954614","31","","0","","","","","저수조청소업",
"142","저수조청소업","09_30_14_P","3300000","330000031200300002","20071126","","01","영업/정상","11","정상","","","","","051-502-0395","","","부산광역시 동래구 온천동 1249-10","부산광역시 동래구 아시아드대로 221 (온천동)","","극동환경","20210115153750","U","2021-01-17 02:40:00.0","","388127.242320365","191359.920451791","31","","","","","","","저수조청소업",
"143","저수조청소업","09_30_14_P","3300000","330000031200600001","20120213","","01","영업/정상","11","정상","","","","","554-5775","","","부산광역시 동래구 온천동 963-1","부산광역시 동래구 충렬대로75번길 14, 1동 2층 (온천동, 대경빌라트)","","(주)좋은개발","20210415112808","U","2021-04-17 02:40:00.0","","388377.975563711","191942.775777965","31","","","","","","","저수조청소업",
"144","저수조청소업","09_30_14_P","3300000","330000031200600003","20160422","","01","영업/정상","11","정상","","","","","5042955","","","부산광역시 동래구 온천동 1266-2","부산광역시 동래구 아시아드대로207번길 7 (온천동)","","시온환경개발","20201214165504","U","2020-12-16 02:40:00.0","","388046.220218587","191240.008771517","31","","","","","","","저수조청소업",
"145","저수조청소업","09_30_14_P","3300000","330000031200900002","20160701","","01","영업/정상","11","정상","","","","","051-524-7235","","","부산광역시 동래구 안락동 802-19","부산광역시 동래구 충렬대로321번길 7-3 (안락동)","","(주)신창성씨앤씨","20210727141604","U","2021-07-29 02:40:00.0","","390641.442899366","190931.616686099","31","","0","","","","","저수조청소업",
"146","저수조청소업","09_30_14_P","3300000","330000031201000001","20100419","","01","영업/정상","11","정상","","","","","051-301-7130","","","부산광역시 동래구 안락동 1224-1 101호","부산광역시 동래구 명안로46번길 10 (안락동)","","(주)지우환경","20210128152100","U","2021-01-30 02:40:00.0","","391636.606830949","191073.926205336","31","","","","","","","저수조청소업",
"147","저수조청소업","09_30_14_P","3300000","330000031201000002","20100421","","01","영업/정상","11","정상","","","","","051-727-8896","","","부산광역시 동래구 사직동 141-17","부산광역시 동래구 중앙대로1277번길 58 (사직동)","","지오클린서비스(주)","20200717153828","U","2020-07-19 02:40:00.0","","388868.516701815","191029.875713531","31","","","","","","","저수조청소업",
"148","저수조청소업","09_30_14_P","3300000","330000031201000004","20130501","","01","영업/정상","11","정상","","","","","051-522-2888","","","부산광역시 동래구 안락동 435-2 2층","부산광역시 동래구 안연로110번길 32, 2층 (안락동)","","부일환경시스템","20150105205900","I","2018-08-31 23:59:59.0","","391153.007214205","190597.943403205","31","","","","","","","저수조청소업",
"149","저수조청소업","09_30_14_P","3300000","330000031200300006","20071112","","01","영업/정상","11","정상","","","","","","","","부산광역시 동래구 명륜동 562-45","부산광역시 동래구 동래로80번길 16 (명륜동)","","동래산업","20150105205900","I","2018-08-31 23:59:59.0","","389422.462250275","191830.555574353","31","","","","","","","저수조청소업",
"150","저수조청소업","09_30_14_P","3300000","330000031200300007","20071129","","01","영업/정상","11","정상","","","","","504-7298","","","부산광역시 동래구 사직동 102-12","부산광역시 동래구 종합운동장로40번길 19 (사직동)","","세계환경공사","20200717143157","U","2020-07-19 02:40:00.0","","388017.529847122","190319.687752682","31","","","","","","","저수조청소업",
"151","저수조청소업","09_30_14_P","3300000","330000031200300009","20110418","","01","영업/정상","11","정상","","","","","051-502-8300","","","부산광역시 동래구 온천동 1421-36","부산광역시 동래구 미남로 131 (온천동)","","주식회사 삼보환경개발","20170414100108","I","2018-08-31 23:59:59.0","","388373.679687682","191580.318215539","31","","","","","","","저수조청소업",
"152","저수조청소업","09_30_14_P","3300000","330000031200300010","20040622","","01","영업/정상","11","정상","","","","","557-1603","","","부산광역시 동래구 명장동 149-2","부산광역시 동래구 명안로86번길 76 (명장동)","","종남산업","20150105205900","I","2018-08-31 23:59:59.0","","391939.14466438","191412.176764974","31","","","","","","","저수조청소업",
"153","저수조청소업","09_30_14_P","3300000","330000031200300011","19990911","","01","영업/정상","11","정상","","","","","","","","부산광역시 동래구 온천동 1446-26","부산광역시 동래구 충렬대로86번길 41 (온천동)","","(주)천우시스템","20150105205900","I","2018-08-31 23:59:59.0","","388465.192461509","191483.905771822","31","","","","","","","저수조청소업",
"154","저수조청소업","09_30_14_P","3300000","330000031200300013","20071228","","01","영업/정상","11","정상","","","","","554-3904","","","부산광역시 동래구 온천동 1432-20","부산광역시 동래구 중앙대로1333번길 62 (온천동)","","유일종합공사","20150105205900","I","2018-08-31 23:59:59.0","","388800.839871593","191712.661844216","31","","","","","","","저수조청소업",
"155","저수조청소업","09_30_14_P","3300000","330000031200300014","20071130","","01","영업/정상","11","정상","","","","","531-0655","","","부산광역시 동래구 안락동 1224-1 한진상가빌라","부산광역시 동래구 명안로46번길 10, 102호 (안락동, 한진상가빌라)","47784","늘푸른환경","20211109140614","U","2021-11-11 02:40:00.0","","391636.606830949","191073.926205336","31","","0","","","","","저수조청소업",
"156","저수조청소업","09_30_14_P","3300000","330000031200300016","20210326","","01","영업/정상","11","정상","","","","","051)502-1282","","","부산광역시 동래구 온천동 1465-5","부산광역시 동래구 미남로 86, 302호 (온천동)","47827","주식회사 성호","20210329160346","U","2021-03-31 02:40:00.0","","388415.534200456","191123.672657321","31","","","","","","","저수조청소업",
"157","저수조청소업","09_30_14_P","3300000","330000031200400003","20110823","","01","영업/정상","11","정상","","","","","504-6945","","","부산광역시 동래구 사직동 129-31","부산광역시 동래구 아시아드대로126번길 66 (사직동)","","주식회사 이수","20150105205900","I","2018-08-31 23:59:59.0","","388475.201251583","190561.671937133","31","","","","","","","저수조청소업",
"158","저수조청소업","09_30_14_P","3300000","330000031200300008","20050310","","03","폐업","2","폐업","","","","","523-0551","","","부산광역시 동래구 안락동 462-25","","","뉴그린산업","20150105205900","I","2018-08-31 23:59:59.0","","392011.539108981","190630.860316441","31","","","","","","영업부실","저수조청소업",
"159","저수조청소업","09_30_14_P","3300000","330000031201300003","20130816","","03","폐업","2","폐업","20190321","","","","503-1547","","","부산광역시 동래구 온천동 1140","부산광역시 동래구 쇠미로217번길 58 (온천동)","","유정개발 주식회사","20190321180046","U","2019-03-23 02:40:00.0","","387668.872915731","192148.751779435","31","","","","","","자진폐업","저수조청소업",
"160","저수조청소업","09_30_14_P","3300000","330000031201500001","20150901","","03","폐업","2","폐업","20161018","","","","","","","부산광역시 동래구 낙민동 223-17","부산광역시 동래구 충렬대로 276, 7층 (낙민동, 청암빌딩)","","세영개발","20210416093841","U","2021-04-18 02:40:00.0","","390190.531477943","191034.616517691","31","","","","","","영업부진","저수조청소업",
"161","저수조청소업","09_30_14_P","3300000","330000031201700002","20170721","","03","폐업","2","폐업","20191010","","","","051-531-0321","","","부산광역시 동래구 안락동 546-1","부산광역시 동래구 충렬대로 402 (안락동, 경동빌딩2층)","","(주)휴먼플러스","20191014085909","U","2019-10-16 02:40:00.0","","391387.04342924","190625.373044832","31","","","","","","경기불황으로 인한 폐업","저수조청소업",
"162","저수조청소업","09_30_14_P","3300000","330000031201000006","20120618","","03","폐업","2","폐업","20120618","","","","051-529-3775","","","부산광역시 동래구 안락동 633-35","부산광역시 동래구 온천천로431번길 19 (안락동)","","(주)지은엔지니어링","20150105205900","I","2018-08-31 23:59:59.0","","391179.543404505","190187.882578377","31","","","","","","회사이전 자진폐업","저수조청소업",
"163","저수조청소업","09_30_14_P","3300000","330000031200300003","20131230","","03","폐업","2","폐업","20131230","","","","","","","부산광역시 동래구 명륜동 97-21","","","보람종합시스템","20150105205900","I","2018-08-31 23:59:59.0","","","","31","","","","","","타구이전(개인에서 법인으로 전환)","저수조청소업",
"164","저수조청소업","09_30_14_P","3300000","330000031200300004","20121017","","03","폐업","2","폐업","20121017","","","","503-6339","","","부산광역시 동래구 온천동 1421-36","부산광역시 동래구 미남로 131 (사직동)","","주식회사 아신실업","20150105205900","I","2018-08-31 23:59:59.0","","388373.679687682","191580.318215539","31","","","","","","자진폐업","저수조청소업",
"165","저수조청소업","09_30_14_P","3300000","330000031200300005","20040527","","03","폐업","2","폐업","","","","","531-4680","","","부산광역시 동래구 안락동 628-41","부산광역시 동래구 연안로59번길 89-1  (안락동)","","부일환경개발","20150105205900","I","2018-08-31 23:59:59.0","","391506.087116855","190400.043694634","31","","","","","","영업부진","저수조청소업",
"166","저수조청소업","09_30_14_P","3300000","330000031200600002","20060111","","03","폐업","2","폐업","20060112","","","","554-5775","","","부산광역시 동래구 온천동 963-1 대경빌라트 1동 2층","부산광역시 동래구 충렬대로75번길 14, 1동 2층 (온천동, 대경빌라트)","","좋은개발","20150105205900","I","2018-08-31 23:59:59.0","","388377.975563711","191942.775777965","31","","","","","","","저수조청소업",
"167","저수조청소업","09_30_14_P","3300000","330000031200600004","20061103","","03","폐업","2","폐업","","","","","552-8955","","","부산광역시 동래구 복천동 443-1","","","그린시스템","20150105205900","I","2018-08-31 23:59:59.0","","","","31","","","","","","사업장 변경","저수조청소업",
"168","저수조청소업","09_30_14_P","3300000","330000031200600005","20071214","","03","폐업","2","폐업","20210408","","","","505-2566","","","부산광역시 동래구 온천동 1248-8","부산광역시 동래구 사직북로28번길 206 (사직동)","","(주)옥산","20210408115233","U","2021-04-10 02:40:00.0","","388178.560258148","191527.119967242","31","","","","","","자진폐업","저수조청소업",
"169","저수조청소업","09_30_14_P","3300000","330000031200600006","20070103","","03","폐업","2","폐업","","","","","","","","부산광역시 동래구 사직동 149-1","부산광역시 동래구 중앙대로1277번길 99  (사직동)","","비젼환경","20150105205900","I","2018-08-31 23:59:59.0","","388666.855524259","190941.453192427","31","","","","","","영업부진","저수조청소업",
"170","저수조청소업","09_30_14_P","3300000","330000031200700001","20071129","","03","폐업","2","폐업","","","","","051-558-4838","","","부산광역시 동래구 안락동 795-5","부산광역시 동래구 충렬대로 334  (안락동)","","유한회사 백강환경","20150105205900","I","2018-08-31 23:59:59.0","","390728.365958908","190812.422716504","31","","","","","","영업부진","저수조청소업",
"171","저수조청소업","09_30_14_P","3300000","330000031200800001","20150902","","03","폐업","2","폐업","20160722","","","","0518163083","","","부산광역시 동래구 온천동 1393","부산광역시 동래구 우장춘로9번길 2-12 (온천동)","","칠일용역","20200717154339","U","2020-07-19 02:40:00.0","","388288.820515482","191950.339895705","31","","","","","","2016.7.22 부산진구 이전(소재지변경)","저수조청소업",
"172","저수조청소업","09_30_14_P","3300000","330000031200900001","20130704","","03","폐업","2","폐업","20130704","","","","","","","부산광역시 동래구 안락동 756-55","부산광역시 동래구 안연로 94 (낙민동)","","(주)보성기업","20150105205900","I","2018-08-31 23:59:59.0","","391004.68701","190502.040825831","31","","","","","","소재지 이전(해운대구)에 따른 폐업","저수조청소업",
"173","저수조청소업","09_30_14_P","3300000","330000031200900003","20090710","","03","폐업","2","폐업","20151231","","","","051-557-6223","","","부산광역시 동래구 복천동 374-4","부산광역시 동래구 동래로136번길 32 (복천동)","","(주)청마오에스","20200717153001","U","2020-07-19 02:40:00.0","","389743.30426975","191516.432368304","31","","","","","","","저수조청소업",
"174","저수조청소업","09_30_14_P","3300000","330000031201000003","20100520","","03","폐업","2","폐업","20200811","","","","051-507-7823","","","부산광역시 동래구 온천동 1464-12 3층","부산광역시 동래구 미남로 92, 3층 (사직동)","","(주)엘엠에이치 엔지니어링","20200812170738","U","2020-08-14 02:40:00.0","","388407.971937629","191180.454945076","31","","","","","","자진폐업","저수조청소업",
"175","저수조청소업","09_30_14_P","3300000","330000031201000005","20100520","","03","폐업","2","폐업","20201211","","","","051-555-5776","","","부산광역시 동래구 온천동 963-1 대경빌라트 1동 1층호","부산광역시 동래구 충렬대로75번길 14, 1동 1층 (온천동)","","(주)지앤디시스템","20201211162100","U","2020-12-13 02:40:00.0","","388377.975563711","191942.775777965","31","","","","","","매출부진","저수조청소업",
"176","저수조청소업","09_30_14_P","3300000","330000031200300012","20070223","","03","폐업","2","폐업","","","","","557-1114","","","부산광역시 동래구 온천동 1446-26 지하","부산광역시 동래구 충렬대로86번길 41  (온천동,지하)","","(주)좋은환경","20150105205900","I","2018-08-31 23:59:59.0","","388465.192461509","191483.905771822","31","","","","","","본사 서울이전","저수조청소업",
"177","저수조청소업","09_30_14_P","3300000","330000031200300015","20040712","","03","폐업","2","폐업","","","","","504-6955","","","부산광역시 동래구 온천동 1367-2","부산광역시 동래구 아시아드대로208번길 4  (온천동)","","(주)청운시스템","20150105205900","I","2018-08-31 23:59:59.0","","388105.957501527","191210.940760015","31","","","","","","영업부진","저수조청소업",
"178","저수조청소업","09_30_14_P","3300000","330000031200300017","20071106","","03","폐업","2","폐업","","","","","","","","부산광역시 동래구 온천동 1210-1","부산광역시 동래구 아시아드대로247번길 52-14  (온천동)","","덕진개발","20150105205900","I","2018-08-31 23:59:59.0","","388107.42597918","191790.160042226","31","","","","","","영업부진","저수조청소업",
"179","저수조청소업","09_30_14_P","3300000","330000031200400004","20080918","","03","폐업","2","폐업","20080918","","","","531-4680","","","부산광역시 동래구 사직동 60-40 승만빌라지하","부산광역시 동래구 아시아드대로170번길 27  (사직동,승만빌라지하)","","부일환경개발","20150105205900","I","2018-08-31 23:59:59.0","","388083.872912903","190970.064821841","31","","","","","","사무실 이전","저수조청소업",
"180","저수조청소업","09_30_14_P","3310000","331000031201900001","20190116","","01","영업/정상","11","정상","","","","","631-2931","","","부산광역시 남구 우암동 43-73 장수목욕탕","부산광역시 남구 우암로154번길 34, 장수목욕탕 (우암동)","48489","부산환경공사","20190116145107","I","2019-01-18 02:20:52.0","","389641.385670462","182612.723345417","31","","","","","","","저수조청소업",
"181","저수조청소업","09_30_14_P","3310000","331000031202000002","20200120","","01","영업/정상","11","정상","","","","","0516255567","","","부산광역시 남구 대연동 243-8","부산광역시 남구 황령대로319번나길 57, 1층 (대연동)","48427","(주)청담아이앤씨","20201030114108","U","2020-11-01 02:40:00.0","","390398.260372129","185676.573767696","31","","","","","","","저수조청소업",
"182","저수조청소업","09_30_14_P","3310000","331000031202000003","20200318","","01","영업/정상","11","정상","","","","","051-958-1919","","","부산광역시 남구 문현동 776-23 늘송빌딩","부산광역시 남구 자유평화로59번길 2, 늘송빌딩 2층 (문현동)","48402","주식회사 벌떼에이취알(HR)","20200326180605","I","2020-03-28 00:23:21.0","","388251.041082974","184448.16174547","31","","","","","","","저수조청소업",
"183","저수조청소업","09_30_14_P","3310000","331000031202000001","20200113","","01","영업/정상","11","정상","","","","","611-7567","","","부산광역시 남구 대연동 910-2","부산광역시 남구 수영로266번길 81, 2층 (대연동)","48500","(주)두레박","20200113142408","I","2020-01-15 00:23:25.0","","391267.959815385","183604.676225948","31","","","","","","","저수조청소업",
"184","저수조청소업","09_30_14_P","3310000","331000031202200001","20220117","","01","영업/정상","11","정상","","","","","","","","부산광역시 남구 감만동 197","부산광역시 남구 양지골로169번길 25-1, 1층 (감만동)","48550","일진환경","20220223155837","U","2022-02-25 02:40:00.0","","389955.555602667","181610.959607058","31","","0","","","","","저수조청소업",
"185","저수조청소업","09_30_14_P","3310000","331000031202100001","20210820","","01","영업/정상","11","정상","","","","","051-634-0134","","","부산광역시 남구 문현동 366-18 세종그랑시아아파트","부산광역시 남구 수영로 12, 207호 (문현동, 세종그랑시아아파트)","48456","(주)미성기업","20220223161059","U","2022-02-25 02:40:00.0","","388514.801338309","183853.843158677","31","","0","","","","","저수조청소업",
