"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사무소전화번호","사업장전화번호",
"85","계량기증명업","09_28_04_P","3390000","2006339001506500001","20060426","","03","폐업","03","폐업","20101116","","","","051 3220417","","","부산광역시 사상구 학장동 724번지 5호","부산광역시 사상구 새벽로45번길 35 (학장동)","617843","한국선재(주)계량증명업소","20111101095558","I","2018-08-31 23:59:59.0","","380250.117796691","184672.317471389","051 3220417","",
"86","계량기증명업","09_28_04_P","3390000","2006339001506500002","20061115","","03","폐업","03","폐업","20071227","","","","051 3133400","","","부산광역시 사상구 감전동 166번지 22호","부산광역시 사상구 낙동대로1048번길 42 (감전동)","617804","부성자원","20111031110938","I","2018-08-31 23:59:59.0","","379945.19043554","185538.096924617","051 3133400","",
"87","계량기증명업","09_28_04_P","3390000","2010339006606500002","20100831","","03","폐업","03","폐업","20141114","","","","051 314 5453","","617081","부산광역시 사상구 모라1동 728번지 29호","부산광역시 사상구 사상로 415 (모라동)","617823","(주)동남리싸이클링","20141114180852","I","2018-08-31 23:59:59.0","","380795.635296867","188762.196173464","051 314 5453","",
"88","계량기증명업","09_28_04_P","3400000","2000340002506500001","19890809","","01","영업/정상","01","영업중","","","","","051 728 5276","","","부산광역시 기장군 정관읍 달산리 148-13 정관농공단지입주기업체협의회","부산광역시 기장군 정관읍 농공길 4, 정관농공단지입주기업체협의회","46020","정관농공단지입주기업체협의회","20200812094208","U","2020-09-16 02:40:00.0","","399291.393107116","204745.058572184","051 728 5276","",
"89","계량기증명업","09_28_04_P","3400000","2000340002506500002","19921007","","01","영업/정상","01","영업중","","","","","051 728 5579","","619963","부산광역시 기장군 정관면 용수리 604번지 11호","부산광역시 기장군 정관읍 용수로 94","46004","정관계량증명업소","20200812094156","U","2020-09-16 02:40:00.0","","397574.08926000000","205869.79800400000","051 728 5579","",
"90","계량기증명업","09_28_04_P","3400000","2006340002506500001","20060403","","01","영업/정상","01","영업중","","","","","051 7228702","","","부산광역시 기장군 일광면 화전리 90-7번지","부산광역시 기장군 일광면 기장대로 996","619912","신아시아드주유소","20200812094007","U","2020-09-16 02:40:00.0","","403131.751907109","200389.809025544","051 7228702","",
"91","계량기증명업","09_28_04_P","3400000","2015340004406500001","20150730","","01","영업/정상","01","영업중","","","","","051 728 5583","","","","부산광역시 기장군 장안읍 반룡로 68","619951","장안계량사","20150731103946","I","2018-08-31 23:59:59.0","","405026","207644","051 728 5583","",
"92","계량기증명업","09_28_04_P","3400000","2016340007206500001","20160614","","01","영업/정상","01","영업중","","","","","051 518 4555","","","","부산광역시 기장군 장안읍 명례산단5로 93 ((주)현대철강)","46028","(주)현대철강","20160614152004","I","2018-08-31 23:59:59.0","","404550","210223","051 518 4555","",
"93","계량기증명업","09_28_04_P","3400000","2006340002506500003","20061228","","03","폐업","03","폐업","20090225","","","","051 727 5759","","","부산광역시 기장군 정관면 예림리 340번지","부산광역시 기장군 정관면 예림1로 87-9","619961","우성자원계량소","20120201095831","I","2018-08-31 23:59:59.0","","400997.87385100000","205560.00010200000","051 727 5759","",
"94","계량기증명업","09_28_04_P","3400000","2007340002506500001","20070515","","03","폐업","03","폐업","20091022","","","","051 727 7500","","","부산광역시 기장군 정관면 달산리 938번지","부산광역시 기장군 정관면 산단1로 56","619961","(주)정관전자공인계량소","20120201095710","I","2018-08-31 23:59:59.0","","397987.32358600000","204006.57024900000","051 727 7500","",
