"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"57","관광숙박업","03_11_01_P","3290000","CDFI2260032015000004","20150626","","01","영업/정상","13","영업중","","","","","051-808-2000","","","부산광역시 부산진구 부전동 512-4번지","부산광역시 부산진구 부전로 67 (부전동)","47284","부산비즈니스호텔","20190706185155","U","2019-07-09 02:40:00.0","","387138.186862821","186037.533271738","관광숙박업","","일반상업지역","13","학교정화(상대)","","","호텔","11","2","234","10894","","","","","","","","","","10894","","","","","","","","","","","","","10894","관광호텔업",
"58","관광숙박업","03_11_01_P","3290000","CDFI2260032015000006","20151113","","01","영업/정상","13","영업중","","","","","051-819-8231","","","부산광역시 부산진구 부전동 526-18","부산광역시 부산진구 부전로 33-1 (부전동)","47290","TRT HOTEL","20220405140350","U","2022-04-07 02:40:00.0","","387262.239932889","185719.941792507","관광숙박업","","일반상업지역","9","학교정화(상대)","","NH농협금융(재난배상책임보험)","숙박시설","8","1","48","2515","","","0","0","","0","0","","0","2514.91","","0","","","","","","","0","","","","2515","관광호텔업",
"59","관광숙박업","03_11_01_P","3290000","CDFI2260032016000001","20161125","","01","영업/정상","13","영업중","","","","","051-806-7171","","","부산광역시 부산진구 부전동 522-40 (주)샤이어호텔","부산광역시 부산진구 부전로 18-5 (부전동)","47288","(주)샤이어호텔","20220405135226","U","2022-04-07 02:40:00.0","","387381.213351964","185611.932168866","관광숙박업","","일반상업지역","11","","","","숙박시설","9","2","69","0","","","0","0","","0","0","","0","3356.19","","0","","","","","","","0","","","","3356","관광호텔업",
"60","관광숙박업","03_11_01_P","3290000","CDFI2260032016000002","20161125","","01","영업/정상","13","영업중","","","","","051-803-7281","","","부산광역시 부산진구 부전동 242-13 7층","부산광역시 부산진구 서면로68번길 52, 7층 (부전동)","47286","부산트래블타이","20220203171921","U","2022-02-05 02:40:00.0","","387479.390387744","185887.136338202","관광숙박업","","일반상업지역","9","","","삼성화재(재난배상책임보험)","숙박시설","8","1","10","","","","","","","","","","","337.29","","","","","","","","","","","","","337","호스텔업",
"61","관광숙박업","03_11_01_P","3290000","CDFI2260032017000001","20170626","","01","영업/정상","13","영업중","","","","","051 808 3593","","","부산광역시 부산진구 부전동 519-26","부산광역시 부산진구 중앙대로691번가길 14-7 (부전동)","47287","라이온호텔","20220405140607","U","2022-04-07 02:40:00.0","","387288.233277047","185933.019098168","관광숙박업","","일반상업지역","11","학교정화(상대)","","","숙박시설","10","1","73","394","","","0","0","","0","0","","0","3388.42","","0","","","","","","","0","","","","3388","관광호텔업",
"62","관광숙박업","03_11_01_P","3290000","CDFI2260032018000001","20180531","","01","영업/정상","13","영업중","","","","","051 815 5252","","","부산광역시 부산진구 부전동 534-3","부산광역시 부산진구 서면로 6 (부전동)","47289","사우스반데코 호텔","20220405140737","U","2022-04-07 02:40:00.0","","387484.555612448","185481.417451146","관광숙박업","","일반상업지역","12","학교정화(상대)","","","숙박시설","11","1","56","2945","South vandeco Hotel","Tourist Hotel","0","0","","0","0","","0","2944.85","","0","","","","","","","2350000130","","","","2945","관광호텔업",
"63","관광숙박업","03_11_01_P","3290000","CDFI2260032018000002","20180824","","01","영업/정상","13","영업중","","","","","051-808-5514","","","부산광역시 부산진구 부전동 401-12","부산광역시 부산진구 새싹로 35 (부전동)","47256","티티호텔","20220405140915","U","2022-04-07 02:40:00.0","","387305.293765091","186544.136504508","관광숙박업","","일반상업지역","21","학교정화(상대)","","","숙박시설","19","2","103","6858","tt hotel","Tourist Hotel","0","0","","0","0","","0","6858.24","","0","","","","","","","12000000000","","","","6858","관광호텔업",
"64","관광숙박업","03_11_01_P","3300000","CDFI2260031989000001","19890516","","03","폐업","03","폐업","20150102","","","","","","607832","부산광역시 동래구 온천동 135-4번지","부산광역시 동래구 금강로 129 (온천동)","","문화온천관광호텔","20150102134000","I","2018-08-31 23:59:59.0","","389322.400841052","193209.131530013","관광숙박업","관광사업","상업지역","5","기타","","","호텔","4","1","40","2391","","","","","","","","","","2390.66","","","","","","","","","","","","","2391","",
"65","관광숙박업","03_11_01_P","3300000","CDFI2260031991000001","19911002","","03","폐업","03","폐업","20140915","","","","556-2220","","607833","부산광역시 동래구 온천동 182-9번지","부산광역시 동래구 온천장로 71 (온천동)","","(주)동래온천관광호텔","20141231134901","I","2018-08-31 23:59:59.0","","389473.31994482","192933.538207371","관광숙박업","관광사업","상업지역","7","유흥업소밀집지역","","","숙박시설","6","1","32","2893","","","","","","","","","","","","","","","","","","","","","","","","",
"66","관광숙박업","03_11_01_P","3300000","CDFI2260031992000001","19920413","","03","폐업","03","폐업","20130327","","","","051-554-3235","","607831","부산광역시 동래구 온천동 1-4번지","부산광역시 동래구 금샘로7번길 43  (온천동)","","금강국민호텔","20130327175921","I","2018-08-31 23:59:59.0","","388844.073604059","193732.986829639","관광숙박업","관광사업","","4","","","","호텔","3","1","","","","","","","","","","","","1774","","","","","","","","","","","","","1774","",
"67","관광숙박업","03_11_01_P","3300000","CDFI2260032015000001","20151204","","03","폐업","03","폐업","20180101","","","","051 556 3646","","","부산광역시 동래구 온천동 453-31번지 늘봄호텔","부산광역시 동래구 차밭골로 7 (온천동)","47714","호텔하늘아래","20180126154034","I","2018-08-31 23:59:59.0","","389395.76030300000","192989.89249500000","관광숙박업","","상업지역","8","기타","","","호텔","7","1","31","3851","","","","","","","","","","3850.57","","","","","","","","","1200000000","","","","3851","관광호텔업",
"68","관광숙박업","03_11_01_P","3300000","CDFI2260031963000001","19630422","","01","영업/정상","13","영업중","","","","","550-2100","","607832","부산광역시 동래구 온천동 137-7","부산광역시 동래구 금강공원로20번길 23 (온천동)","","호텔농심","20220427134924","U","2022-04-29 02:40:00.0","","389506.580573317","193171.650339148","관광숙박업","관광사업","상업지역","11","","","","호텔","9","2","240","19952","HOTEL NONG-SHIM","TOURISM BUSINESS CERTIFICATE OF REGISTRATION","0","0","","0","0","","0","28385","","0","","","","","","","0","","","","28385","",
"69","관광숙박업","03_11_01_P","3300000","CDFI2260032020000001","20200827","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 사직동 91-44","부산광역시 동래구 사직북로13번길 11 (사직동)","47865","브라운도트 사직야구장점","20220509093559","U","2022-05-11 02:40:00.0","","387564.887823676","190550.142509666","관광숙박업","","","11","유흥업소밀집지역","","","호텔","10","1","61","2606","","","0","0","","0","0","","0","2606.23","","0","","","","","","","0","","","","2606","관광호텔업",
"70","관광숙박업","03_11_01_P","3300000","CDFI2260031987000001","19870307","20190220","04","취소/말소/만료/정지/중지","31","등록취소","","","","","051-552-9511","","607833","부산광역시 동래구 온천동 210-82번지","부산광역시 동래구 금강로 110 (온천동)","","동방관광호텔","20190311142043","U","2019-03-13 02:40:00.0","","389291.717212958","192996.253435511","관광숙박업","관광사업","","10","","","","숙박시설","8","2","40","3735","","","","","","","","","","","","","","","","","","","","","","","","",
"71","관광숙박업","03_11_01_P","3310000","CDFI2260031999000001","19990419","","03","폐업","03","폐업","20170102","","","","051-645-3310","","608816","부산광역시 남구 대연동 1764-7번지","부산광역시 남구 수영로 180 (대연동)","","리오관광호텔","20170201110457","I","2018-08-31 23:59:59.0","","390072.875387782","183685.063763786","관광숙박업","관광사업","일반상업지역","7","주택가주변","","","호텔","6","1","40","","RIO TOURIST HOTEL","TOURIST ACCOMMODATION(TOURIST HOTEL)","","","","","","","","2881.41","","","","","","","","","","","","","2881","",
"72","관광숙박업","03_11_01_P","3310000","CDFI2260032016000001","20160705","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 889-4","부산광역시 남구 유엔평화로 35 (대연동)","48505","이데아(IDEA)관광호텔","20200915193745","U","2020-09-17 02:40:00.0","","390647.922856198","183422.886462754","관광숙박업","","준주거지역","10","","","","숙박시설","10","","52","3304","IDEA Hotel","Tourism Hotel business","","","","","","","","3304.38","","","","","","","","","5000000000","","","","3304","관광호텔업",
"73","관광숙박업","03_11_01_P","3310000","CDFI2260032016000002","20161101","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 1751-16","부산광역시 남구 유엔평화로4번길 34 (대연동)","48492","지앤지(G&G)관광호텔","20211228164755","U","2021-12-30 02:40:00.0","","390415.987902689","183715.977173893","관광숙박업","","일반상업지역","10","","","","숙박시설","10","0","41","2381","G&G Hotel","Tourism Hotel business","0","0","","0","0","","0","2381.15","","0","","","","","","","2606000130","","","","2381","관광호텔업",
"74","관광숙박업","03_11_01_P","3310000","CDFI2260032021000001","20210419","","01","영업/정상","13","영업중","","","","","051-791-5800","","","부산광역시 남구 문현동 1227-2","부산광역시 남구 전포대로 133 (문현동)","48400","아바니센트럴 부산","20210419092107","I","2021-04-21 00:22:58.0","","388150.394268792","185188.729710212","관광숙박업","","일반상업지역","37","기타","","","호텔","37","7","","","","","","","","","","","","30338.87","","","","","","","","","500000","","","","30339","관광호텔업",
"75","관광숙박업","03_11_01_P","3320000","CDFI2260032000000001","20000329","","03","폐업","03","폐업","20050711","","","","051-337-8811","","616816","부산광역시 북구 덕천동 398-14번지","","","엠파이어관광호텔","20050711162144","I","2018-08-31 23:59:59.0","","382751.297326986","192039.026883822","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"76","관광숙박업","03_11_01_P","3320000","CDFI2260032019000001","20190709","","01","영업/정상","13","영업중","","","","","","","","부산광역시 북구 덕천동 399-17","부산광역시 북구 금곡대로8번길 20, 브라운도트호텔 (덕천동)","46548","브라운도트호텔 덕천점","20220427103543","U","2022-04-29 02:40:00.0","","382619.443760653","192023.498869668","관광숙박업","","일반상업지역","0","","","한화손해보험","숙박시설","10","1","48","0","","","0","0","","0","0","","0","2429.42","","0","","","","","","","300000000","","","","2429","관광호텔업",
"77","관광숙박업","03_11_01_P","3320000","CDFI2260032017000001","20170208","","01","영업/정상","13","영업중","","","","","051-336-3477","","","부산광역시 북구 덕천동 387-6","부산광역시 북구 만덕대로 84, 4층 (덕천동, 성암빌딩)","46567","편한게스트하우스","20220218112425","U","2022-02-20 02:40:00.0","","383326.920575401","192164.909559659","관광숙박업","","준주거지역","0","기타","","재난배상책임보험","숙박시설","4","0","13","0","","","0","0","","0","0","","0","199.62","","0","","","","","","","0","","","","200","호스텔업",
"78","관광숙박업","03_11_01_P","3320000","CDFI2260032020000001","20201105","","01","영업/정상","13","영업중","","","","","","","","부산광역시 북구 만덕동 73-17 브라운도트호텔","부산광역시 북구 만덕고개길 70, 브라운도트호텔 (만덕동)","46608","브라운도트호텔 만덕점","20201217153014","U","2020-12-19 02:40:00.0","","386310.049648758","192194.295426205","관광숙박업","","자연녹지지역","7","기타","","메리츠보험","숙박시설","7","","","","","","","","","","","","","1734.37","","","","","","","","","2500000000","","","","1734","관광호텔업",
"79","관광숙박업","03_11_01_P","3330000","CDFI2260031984000001","19840801","","02","휴업","02","휴업","","20200807","20250831","","051-746-8181","","612821","부산광역시 해운대구 우동 628-5","부산광역시 해운대구 해운대해변로 243 (우동)","48093","(주)이랜드파크 켄싱턴리조트 해운대","20220218184128","U","2022-02-20 02:40:00.0","","396555.27506677","186601.136899298","관광숙박업","관광사업","","","","","","","","","244","","","","","","","","","","","","","","","","","","","","","","","","","휴양콘도미니엄업",
"80","관광숙박업","03_11_01_P","3330000","CDFI2260032002000003","20020719","","02","휴업","02","휴업","","20061030","20071030","","","","612020","부산광역시 해운대구 우동 1443번지","부산광역시 해운대구 마린시티1로 138  (우동)","","동남해상관광호텔(주)","20061031180359","I","2018-08-31 23:59:59.0","","395574.958778256","186053.656022508","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"81","관광숙박업","03_11_01_P","3330000","CDFI2260032002000004","20020720","","02","휴업","02","휴업","","20060406","20061005","","","","612020","부산광역시 해운대구 우동 1443번지 지선 해상","부산광역시 해운대구 마린시티1로 138  (우동,지선 해상)","","동남해상관광호텔(주)","20060731144015","I","2018-08-31 23:59:59.0","","395574.958778256","186053.656022508","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"82","관광숙박업","03_11_01_P","3330000","CDFI2260032002000007","20020914","","02","휴업","02","휴업","","20061031","20071030","","","","612020","부산광역시 해운대구 우동 1443번지 지선","부산광역시 해운대구 마린시티1로 138  (우동,지선)","","동남해상관광호텔주식회사","20070917110847","I","2018-08-31 23:59:59.0","","395574.958778256","186053.656022508","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"83","관광숙박업","03_11_01_P","3330000","CDFI2260032014000003","20140710","","02","휴업","02","휴업","","20211105","20220531","","","","612021","부산광역시 해운대구 우동 542-28","부산광역시 해운대구 구남로24번길 16 (우동, 인더스트리 호텔)","48094","인더스트리 호텔","20220112174810","U","2022-01-14 02:40:00.0","","396676.475372982","186849.599524008","관광숙박업","","일반상업지역","9","유흥업소밀집지역","","","숙박시설","8","1","49","0","","","0","0","","0","0","","0","1938.1","","0","","","","","","","150000000","","","","1938","관광호텔업",
"84","관광숙박업","03_11_01_P","3330000","CDFI2260032019000003","20190731","","03","폐업","03","폐업","20191017","","","","","","","부산광역시 해운대구 송정동 312-5","부산광역시 해운대구 송정광어골로 15, 5~6층 (송정동)","48073","카이브","20210923105259","U","2021-09-25 02:40:00.0","","400209.911813606","188930.337546361","관광숙박업","","","2","","","","","0","0","0","0","","","0","0","","0","0","","0","271.41","","0","","","","","","","0","","","","271","호스텔업",
"85","관광숙박업","03_11_01_P","3330000","CDFI2260031987000001","19870210","","03","폐업","03","폐업","20101111","","","","","","612847","부산광역시 해운대구 중동 1130-1번지","부산광역시 해운대구 달맞이길 2-21  (중동)","","B&B관광호텔","20101111170556","I","2018-08-31 23:59:59.0","","397286.616747053","186821.489939711","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"86","관광숙박업","03_11_01_P","3330000","CDFI2260031996000001","19960518","","03","폐업","03","폐업","20191231","","","","051-740-0114","","612821","부산광역시 해운대구 우동 651-2번지","부산광역시 해운대구 해운대해변로 217 (우동)","48093","(주)해운대그랜드호텔","20191231155944","U","2020-01-02 02:40:00.0","","396311.478370083","186563.963573726","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"87","관광숙박업","03_11_01_P","3330000","CDFI2260032002000001","20020506","","03","폐업","03","폐업","20060928","","","","","","612846","부산광역시 해운대구 중동 1405-16번지","부산광역시 해운대구 해운대해변로 292  (중동)","","부산메리어트호텔","20060929162709","I","2018-08-31 23:59:59.0","","397022.971550345","186692.06462196","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"88","관광숙박업","03_11_01_P","3330000","CDFI2260032009000001","20090619","","03","폐업","03","폐업","20190221","","","","051-743-1234","","612846","부산광역시 해운대구 중동 1405-16번지 노보텔 앰배서더 부산","부산광역시 해운대구 해운대해변로 292 (중동)","48099","노보텔 앰배서더 부산","20190221175753","U","2019-02-23 02:40:00.0","","397022.971550345","186692.06462196","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350000000","","","","","관광호텔업",
"89","관광숙박업","03_11_01_P","3330000","CDFI2260032002000008","20020101","","03","폐업","03","폐업","20170427","","","","","","612040","부산광역시 해운대구 송정동 297-9번지","부산광역시 해운대구 송정해변로 28 (송정동)","48072","송정관광호텔","20170427091326","I","2018-08-31 23:59:59.0","","400614.194224735","189096.431477002","관광숙박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"90","관광숙박업","03_11_01_P","3330000","CDFI2260032012000001","20120530","","03","폐업","03","폐업","20181210","","","","741-8200","","612821","부산광역시 해운대구 우동 602-5번지","부산광역시 해운대구 해운대로 632, 5층 (우동)","48095","호스텔더뉴데이","20181210181715","U","2018-12-12 02:40:00.0","","396714.037240991","187102.66635264","관광숙박업","","일반상업지역","","기타","","","숙박시설","","","","","","","","","","","","","","438.95","","","","","","","","","","","","","439","호스텔업",
"91","관광숙박업","03_11_01_P","3330000","CDFI2260032014000005","20140814","","03","폐업","03","폐업","20170313","","","","","","612821","부산광역시 해운대구 우동 646-10번지 해운대비지니스호텔 GT","부산광역시 해운대구 해운대해변로221번길 19 (우동, 해운대비지니스호텔 GT)","48093","(주)아이액츠지티호텔[해운대비지니스호텔GT]","20170313162154","I","2018-08-31 23:59:59.0","","396389.836404181","186703.40376655","관광숙박업","","일반상업지역","9","유흥업소밀집지역","","","","9","0","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"92","관광숙박업","03_11_01_P","3330000","CDFI2260032015000001","20150508","","03","폐업","03","폐업","20210326","","","","051-703-0078","","612040","부산광역시 해운대구 송정동 201-3","부산광역시 해운대구 송정중앙로33번길 15 (송정동)","48070","부산관광호스텔","20210326170431","U","2021-03-28 02:40:00.0","","400728.446574606","189324.668571839","관광숙박업","","일반상업지역","","","","","","","","9","","BUSAN TOUR HOSTEL","TOURIST ACCOMMODATION(HOSTEL)","","","","","","","","","","","","","","","","","","","","","","호스텔업",
"93","관광숙박업","03_11_01_P","3330000","CDFI2260032015000002","20150522","","03","폐업","03","폐업","20190702","","","","","","612040","부산광역시 해운대구 송정동 288-4번지","부산광역시 해운대구 송정해변로 10 (송정동)","48072","플랫비(FLAT B)","20190702161253","U","2019-07-04 02:40:00.0","","400768.055656637","189089.148394106","관광숙박업","","일반상업지역","5","","","","숙박시설","","","","","","","","","","","","","","793.23","","","","","","","","","70000000","","","","793","호스텔업",
"94","관광숙박업","03_11_01_P","3330000","CDFI2260032015000006","20150827","","03","폐업","03","폐업","20170913","","","","","","","부산광역시 해운대구 중동","부산광역시 해운대구 달맞이길 193, 2층 (중동)","48115","썬앤문 게스트하우스","20180628131922","I","2018-08-31 23:59:59.0","","398791.041408101","186530.146493926","관광숙박업","","일반주거지역","","주택가주변","","","숙박시설","2","","","","","","","","","","","","","","","","","","","","","","","","","","","호스텔업",
"95","관광숙박업","03_11_01_P","3330000","CDFI2260032015000009","20151210","","03","폐업","03","폐업","20170921","","","","051 744 4514","","","부산광역시 해운대구 중동","부산광역시 해운대구 해운대해변로 315, 11~14층 (중동, 메리얼타워)","48095","메리얼 관광호텔","20170921163840","I","2018-08-31 23:59:59.0","","397148.052469807","186910.164105764","관광숙박업","","일반상업지역","17","학교정화(상대)","","","숙박시설","14","3","","","","","","","","","","","","","","","","","","","","","400000000","","","","","관광호텔업",
"96","관광숙박업","03_11_01_P","3330000","CDFI2260032016000008","20161018","","03","폐업","03","폐업","20210518","","","","051-703-3088","","","부산광역시 해운대구 송정동","부산광역시 해운대구 송정광어골로 29 (송정동, 수정빌딩)","48073","25th hostel","20210621111032","U","2021-06-23 02:40:00.0","","400150.665082745","188798.023331186","관광숙박업","","","","","","","","","","8","","","","","","","","","","","195.26","","","","","","","","","","","","","195","호스텔업",
"97","관광숙박업","03_11_01_P","3330000","CDFI2260032017000006","20170417","","03","폐업","03","폐업","20191029","","","","051 731 2120","","","부산광역시 해운대구 우동 626-14번지","부산광역시 해운대구 해운대로570번길 55 (우동, 스카이비치)","48094","문동이네","20191029094343","U","2019-10-31 02:40:00.0","","396749.296703945","186683.351832463","관광숙박업","","일반상업지역","6","","","","근린생활시설","","","8","334","","","","","","","","","","334","","","","","","","","","200000000","","","","334","호스텔업",
"98","관광숙박업","03_11_01_P","3330000","CDFI2260032017000007","20170607","","03","폐업","03","폐업","20190701","","","","","","","부산광역시 해운대구 우동 648-9번지","부산광역시 해운대구 해운대해변로209번가길 25 (우동, 노비오스모텔)","48093","ARK BLUE HOTEL","20191209172321","U","2019-12-11 02:40:00.0","","396428.114069004","186620.794348796","관광숙박업","","","","","","","","","","","","","","","","","","","","","270","","","","","","","","","","","","","270","호스텔업",
"99","관광숙박업","03_11_01_P","3330000","CDFI2260032013000001","20130611","","03","폐업","03","폐업","20211217","","","","051-743-2853","","612021","부산광역시 해운대구 우동 1367","부산광역시 해운대구 해운대해변로265번길 13-20 (우동)","48094","호텔 포레","20211221093658","U","2021-12-23 02:40:00.0","","396758.500825549","186744.867159485","관광숙박업","","일반상업지역","10","기타","","","호텔","9","1","65","2563","","","","","","","","","","3082.77","","","","","","","","","","","","","3083","관광호텔업",
"100","관광숙박업","03_11_01_P","3330000","CDFI2260032014000002","20140623","","03","폐업","03","폐업","20200323","","","","051-913-0804","","612889","부산광역시 해운대구 우동 1510번지 센텀드림월드","부산광역시 해운대구 센텀2로 25, 14층 (우동, 센텀드림월드)","48060","스테이7 센텀 비지니스 호스텔","20200323154223","U","2020-03-25 02:40:00.0","","394259.857138235","187389.720344275","관광숙박업","","일반상업지역","14","유흥업소밀집지역","","","","","","23","","","","","","","","","","","797.27","","","","","","","","","","","","","797","호스텔업",
"101","관광숙박업","03_11_01_P","3330000","CDFI2260032014000004","20140731","","03","폐업","03","폐업","20190522","","","","","","612040","부산광역시 해운대구 송정동 312-6번지 프롬 게스트하우스 3,4동","부산광역시 해운대구 송정광어골로 15-1, 3,4층 (송정동, 프롬 게스트하우스)","48073","프롬 게스트하우스","20190522162143","U","2019-05-24 02:40:00.0","","400211.697271779","188918.077386148","관광숙박업","","준주거지역","5","기타","","","근린생활시설","","","","","","","","","","","","","","656.26","","","","","","","","","","","","","656","호스텔업",
"102","관광숙박업","03_11_01_P","3330000","CDFI2260032018000007","20181116","","03","폐업","03","폐업","20211105","","","","051-749-7777","","","부산광역시 해운대구 중동 1400-60","부산광역시 해운대구 해운대해변로 314 (중동)","48099","페어필드 바이 메리어트 부산","20211105163042","U","2021-11-07 02:40:00.0","","397178.775752103","186863.92902954","관광숙박업","","","19","","","","","19","2","225","","","","","","","","","","","8546.81","","","","","","","","","","","","","8547","관광호텔업",
"103","관광숙박업","03_11_01_P","3330000","CDFI2260032018000008","20181218","","03","폐업","03","폐업","20220608","","","","051-744-0303","","","부산광역시 해운대구 우동 637-25","부산광역시 해운대구 구남로12번길 37 (우동)","48094","소사이어티에스호텔 해운대","20220608173248","U","2022-06-10 02:40:00.0","","396538.160497575","186840.157137204","관광숙박업","","","12","","","","","","","72","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"104","관광숙박업","03_11_01_P","3330000","CDFI2260032019000001","20190607","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 송정동 312-5","부산광역시 해운대구 송정광어골로 15, 5~9층 (송정동)","48073","카이브","20210208181025","U","2021-02-10 02:40:00.0","","400209.911813606","188930.337546361","관광숙박업","","준주거지역","12","","","","근린생활시설","","","12","","","","","","","","","","","777.6","","","","","","","","","12000000","","","","778","호스텔업",
"105","관광숙박업","03_11_01_P","3330000","CDFI2260032019000004","20190911","","01","영업/정상","13","영업중","","","","","051-703-8600","","","부산광역시 해운대구 송정동 312-8번지","부산광역시 해운대구 송정중앙로6번길 118, 3~6층 (송정동)","48073","송정스카이부티크","20200213171602","U","2020-02-15 02:40:00.0","","400194.793108078","188869.80318749","관광숙박업","","준주거지역","4","","","","","3","","3","","","","","","","","","","","317.56","","","","","","","","","","","","","318","호스텔업",
"106","관광숙박업","03_11_01_P","3330000","CDFI2260032022000004","20220414","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 송정동 443-2","부산광역시 해운대구 송정광어골로 71 (송정동)","48073","호호풀빌라","20220427112040","U","2022-04-29 02:40:00.0","","400033.191173697","188425.426146947","관광숙박업","","일반주거지역","7","","","","","7","0","2","0","","","0","0","","0","0","","0","249.89","","0","","","","","","","120000000","","","","250","호스텔업",
"107","관광숙박업","03_11_01_P","3330000","CDFI2260031972000001","19720101","","01","영업/정상","13","영업중","","","","","051-742-2121","","612846","부산광역시 해운대구 중동 1408-5","부산광역시 해운대구 해운대해변로 296 (중동, 파라다이스 호텔)","48099","(주)파라다이스호텔","20210826142754","U","2021-08-28 02:40:00.0","","397216.86090988","186702.956398282","관광숙박업","관광사업","","0","","","","","18","6","528","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"108","관광숙박업","03_11_01_P","3330000","CDFI2260031978000001","19780425","","01","영업/정상","13","영업중","","","","","051-749-7000","","612822","부산광역시 해운대구 우동 737","부산광역시 해운대구 동백로 67 (우동)","48100","(주)조선호텔앤리조트 부산","20210319130840","U","2021-03-21 02:40:00.0","","396200.686719735","186216.650203359","관광숙박업","관광사업","주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"109","관광숙박업","03_11_01_P","3330000","CDFI2260032002000002","20021218","","01","영업/정상","13","영업중","","","","","051-742-7411","","612822","부산광역시 해운대구 우동 737번지","부산광역시 해운대구 동백로 67 (우동)","48100","신세계조선호텔 부산","20200410113425","U","2020-04-12 02:40:00.0","","396200.686719735","186216.650203359","관광숙박업","관광사업","","","","","","","","","290","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"110","관광숙박업","03_11_01_P","3330000","CDFI2260032008000003","20081229","","01","영업/정상","13","영업중","","","","","051-701-7601","","612040","부산광역시 해운대구 송정동 441-6","부산광역시 해운대구 송정광어골로 70 (송정동)","48073","Plaire(플레르) 관광호텔","20210528102924","U","2021-05-30 02:40:00.0","","399970.196408444","188450.907723437","관광숙박업","관광사업","","","","","","","","","48","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
"111","관광숙박업","03_11_01_P","3330000","CDFI2260032009000002","20090619","","01","영업/정상","13","영업중","","","","","051-740-2111","","","부산광역시 해운대구 중동 1380-14 호텔리베라해운대","부산광역시 해운대구 구남로29번길 21 (중동)","48095","리베로 호텔","20210319131617","U","2021-03-21 02:40:00.0","","396855.567145532","186957.123472368","관광숙박업","","","","","","","","","","91","","","","","","","","","","","","","","","","","","","","150000000","","","","","관광호텔업",
"112","관광숙박업","03_11_01_P","3330000","CDFI2260032002000005","20021221","","01","영업/정상","13","영업중","","","","","051-749-5101","","612824","부산광역시 해운대구 우동 1410-3","부산광역시 해운대구 마린시티3로 52 (우동)","48119","한화호텔앤드리조트주식회사","20220628135227","U","2022-06-30 02:40:00.0","","395399.72601113","186020.059335379","관광숙박업","관광사업","","0","","","","","32","6","417","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","휴양콘도미니엄업",
"113","관광숙박업","03_11_01_P","3330000","CDFI2260032002000006","20020909","","01","영업/정상","13","영업중","","","","","051-744-1331","","612850","부산광역시 해운대구 중동 1509-2번지","부산광역시 해운대구 달맞이길 97 (중동)","48117","(주)호텔일루아","20200213111356","U","2020-02-15 02:40:00.0","","398032.512066389","186618.102616302","관광숙박업","관광사업","","","","","","","","","57","","","","","","","","","","","","","","","","","","","","","","","","","관광호텔업",
