"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","약국영업면적","지정일자",
"1165","약국","01_01_06_P","3290000","PHMD120203290024084000012","20200813","","01","영업/정상","13","영업중","","","","","051-911-0501","","","부산광역시 부산진구 양정동 32-99 원각사","부산광역시 부산진구 양정로 63, 원각사 2,3층 (양정동)","47225","새동의 약국","20200813111832","I","2020-08-15 00:23:13.0","","389172.881388996","187713.362852447","400","20200813",
"1166","약국","01_01_06_P","3290000","PHMD120203290024084000009","20200708","","01","영업/정상","13","영업중","","","","","051-805-7582","","","부산광역시 부산진구 부전동 227-2 삼정타워","부산광역시 부산진구 중앙대로 672, 삼정타워 206호 (부전동)","47296","밝은미소약국","20200708135135","I","2020-07-10 00:23:16.0","","387608.014165034","185703.079007724","9.12","20200708",
"1167","약국","01_01_06_P","3290000","PHMD120213290024084000014","20210714","","01","영업/정상","13","영업중","","","","","051-807-4464","","","","부산광역시 부산진구 중앙대로 769, 1층 (부전동)","47251","대영남약국","20210714145102","I","2021-07-16 00:22:53.0","","387757.68907562","186598.74331073","124.3","20210714",
"1168","약국","01_01_06_P","3290000","PHMD120213290024084000017","20210824","","01","영업/정상","13","영업중","","","","","051-808-1781","","","","부산광역시 부산진구 서면로 57, 1층 (부전동)","47287","미미약국","20210825110341","I","2021-08-27 00:22:50.0","","387415.347897357","186007.178552569","33","20210824",
"1169","약국","01_01_06_P","3290000","PHMD120213290024084000018","20210908","","01","영업/정상","13","영업중","","","","","051-711-1542","","","","부산광역시 부산진구 성지로 58, 1층 101호 (연지동)","47122","쉼표약국","20210908150848","I","2021-09-10 00:22:49.0","","387127.267296655","188226.799046296","59","20210908",
"1170","약국","01_01_06_P","3290000","PHMD120213290024084000015","20210727","","01","영업/정상","13","영업중","","","","","051-917-6262","","","부산광역시 부산진구 개금동 566-58","부산광역시 부산진구 엄광로44번길 37, 지상1층일부,B1층 (개금동)","47388","빠른후문약국","20210824100533","U","2021-08-26 02:40:00.0","","384174.755921691","184918.196574779","171.84","20210727",
"1171","약국","01_01_06_P","3290000","PHMD120213290024084000016","20210818","","01","영업/정상","13","영업중","","","","","051-710-6780","","","","부산광역시 부산진구 중앙대로 706, 1층 (부전동)","47291","바로약국","20210818131459","I","2021-08-20 00:22:50.0","","387583.978541325","186004.13599663","50.38","20210818",
"1172","약국","01_01_06_P","3290000","PHMD120213290024084000012","20210428","","01","영업/정상","13","영업중","","","","","051-897-8031","","","부산광역시 부산진구 당감동 418-1 미래메디칼","부산광역시 부산진구 동평로 83, 미래메디칼 1층 (당감동)","47145","밝은미래약국","20210428152306","I","2021-04-30 00:22:57.0","","385674.179714428","187063.898656278","38.96","20210428",
"1173","약국","01_01_06_P","3290000","PHMD120213290024084000013","20210513","","01","영업/정상","13","영업중","","","","","051-913-0016","","","부산광역시 부산진구 부전동 18 삼정 그린코아 더 시티 104호","부산광역시 부산진구 중앙대로 797, 삼정 그린코아 더 시티 1층 104호 (부전동)","47250","그린팜약국","20210513113158","I","2021-05-15 00:22:56.0","","387894.925599061","186833.649301772","46.41","20210513",
"1174","약국","01_01_06_P","3290000","PHMD120033290024084000004","20030409","","01","영업/정상","13","영업중","","","","","051-805-6120","","614873","부산광역시 부산진구 초읍동 218번지 16호","부산광역시 부산진구 성지로 77-1 (초읍동)","47126","다양약국","20140825114636","I","2018-08-31 23:59:59.0","","387016.614458789","188406.028717905","62.37","20030409",
"1175","약국","01_01_06_P","3290000","PHMD120033290024084000006","20030703","","01","영업/정상","13","영업중","","","","","051-896-2040","","614810","부산광역시 부산진구 개금동 53번지 3호","부산광역시 부산진구 백양관문로 3, 106호 (개금동)","47171","동광약국","20150706113754","I","2018-08-31 23:59:59.0","","385002.87030422","186361.245838429","24.75","20030703",
"1176","약국","01_01_06_P","3290000","PHMD120033290024084000008","20030722","","01","영업/정상","13","영업중","","","","","051-805-0386","","614872","부산광역시 부산진구 초읍동 292번지 33호","부산광역시 부산진구 새싹로 277 (초읍동)","47104","동산약국","20140825114401","I","2018-08-31 23:59:59.0","","386403.40641994","188765.462198133","33.37","20030722",
"1177","약국","01_01_06_P","3290000","PHMD120033290024084000011","20031002","","01","영업/정상","13","영업중","","","","","051-897-4001","","614817","부산광역시 부산진구 당감동 282번지 15호","부산광역시 부산진구 동평로 94 (당감동)","47181","당감당약국","20191114154408","U","2019-11-16 02:40:00.0","","385773.628077493","187030.473678221","175","20031002",
"1178","약국","01_01_06_P","3290000","PHMD120033290024084000013","20031020","","01","영업/정상","13","영업중","","","","","051-809-9668","","614871","부산광역시 부산진구 초읍동 269번지 15호","부산광역시 부산진구 새싹로 200-1 (초읍동)","47127","럭키약국","20140825114018","I","2018-08-31 23:59:59.0","","386617.226717894","188021.733328896","28.8","20031020",
"1179","약국","01_01_06_P","3290000","PHMD120043290024084000003","20040202","","01","영업/정상","13","영업중","","","","","051-894-1400","","614812","부산광역시 부산진구 개금동 515번지 15호","부산광역시 부산진구 가야대로 460 (개금동)","47323","행복약국","20140825113924","I","2018-08-31 23:59:59.0","","384211.446298782","185629.994088066","43.07","20040202",
"1180","약국","01_01_06_P","3290000","PHMD120043290024084000005","20040329","","01","영업/정상","13","영업중","","","","","051-891-7155","","614814","부산광역시 부산진구 개금동 564번지 31호","부산광역시 부산진구 엄광로44번길 36-8 (개금동)","47388","조은약국","20140825113719","I","2018-08-31 23:59:59.0","","384153.883192383","184876.640191199","88.44","20040329",
"1181","약국","01_01_06_P","3290000","PHMD120043290024084000007","20040527","","01","영업/정상","13","영업중","","","","","051-866-5156","","614853","부산광역시 부산진구 양정동 353번지 1호","부산광역시 부산진구 양지로5번길 31 (양정동)","47229","미소약국","20140825113558","I","2018-08-31 23:59:59.0","","388535.171153702","187737.515090662","40.7","20040527",
"1182","약국","01_01_06_P","3290000","PHMD120203290024084000013","20200831","","01","영업/정상","13","영업중","","","","","051-911-4954","","","부산광역시 부산진구 양정동 33-22","부산광역시 부산진구 양정로 61, 1,2층 (양정동)","47224","네온우리약국","20200901140014","I","2020-09-03 00:23:12.0","","389135.498712915","187681.869967684","109.74","20200831",
"1183","약국","01_01_06_P","3290000","PHMD120203290024084000014","20201015","","01","영업/정상","13","영업중","","","","","051-867-8841","","","부산광역시 부산진구 양정동 370-1 양정동근린생활시설","부산광역시 부산진구 동평로 410, 양정동근린생활시설 1층 (양정동)","47213","열린약국","20201203113412","U","2020-12-05 02:40:00.0","","388448.483573711","187992.319042492","55.21","20201015",
"1184","약국","01_01_06_P","3290000","PHMD120213290024084000011","20210412","","01","영업/정상","13","영업중","","","","","000-000-0000","","","","부산광역시 부산진구 서전로 2, 1층 (부전동)","47291","일번가약국","20210413094624","I","2021-04-15 00:22:57.0","","387629.49335731","186209.219909393","80.99","20210412",
"1185","약국","01_01_06_P","3290000","PHMD120213290024084000010","20210324","","01","영업/정상","13","영업중","","","","","051-917-6783","","","","부산광역시 부산진구 새싹로 22-1, 라이프빌리지 (부전동)","47253","시야약국","20210325113048","I","2021-03-27 00:23:11.0","","387415.265600565","186463.866506237","50.85","20210324",
"1186","약국","01_01_06_P","3290000","PHMD120213290024084000004","20210223","","01","영업/정상","13","영업중","","","","","051-805-2788","","","","부산광역시 부산진구 가야대로 765, 1층 (부전동)","47257","유약국","20210917175748","U","2021-09-19 02:40:00.0","","387209.524505484","186242.076297432","63","20210223",
"1187","약국","01_01_06_P","3290000","PHMD120213290024084000009","20210302","","01","영업/정상","13","영업중","","","","","051-922-9422","","","","부산광역시 부산진구 중앙대로 701, 1층 (부전동)","47286","사나약국","20210302133839","I","2021-03-04 00:23:00.0","","387538.542803985","185972.900678818","31.28","20210302",
"1188","약국","01_01_06_P","3290000","PHMD120213290024084000005","20210224","","01","영업/정상","13","영업중","","","","","051-863-2524","","","","부산광역시 부산진구 진남로 551-1 (양정동)","47221","동서약국","20210224153402","I","2021-02-26 00:23:01.0","","388923.025477711","187844.796315849","46.61","20210224",
"1189","약국","01_01_06_P","3290000","PHMD120213290024084000006","20210302","","01","영업/정상","13","영업중","","","","","051-866-3022","","","","부산광역시 부산진구 연수로 47, 1층 (양정동)","47217","옵티마원약국","20210226182417","I","2021-02-28 00:23:01.0","","389057.624032042","188172.233487691","68.4","20210302",
"1190","약국","01_01_06_P","3290000","PHMD120213290024084000007","20210302","","01","영업/정상","13","영업중","","","","","051-635-0419","","","","부산광역시 부산진구 범일로 156-1, 1층 (범천동)","47361","남경약국","20210226183438","I","2021-02-28 00:23:01.0","","387624.180973465","184700.014576257","34.1","20210302",
"1191","약국","01_01_06_P","3290000","PHMD120213290024084000008","20210302","","01","영업/정상","13","영업중","","","","","051-868-3666","","","","부산광역시 부산진구 진남로 553 (양정동)","47220","천일약국","20220304155431","U","2022-03-06 02:40:00.0","","388939.865654139","187851.978218298","41.09","20210302",
"1192","약국","01_01_06_P","3290000","PHMD120183290024084000024","20181219","","01","영업/정상","13","영업중","","","","","051-891-6373","","","부산광역시 부산진구 당감동 810번지 1호","부산광역시 부산진구 백양관문로 106 (당감동)","47157","백초약국","20181219114429","I","2018-12-21 02:20:23.0","","384687.812296708","187331.993722561","75.9","20181219",
"1193","약국","01_01_06_P","3290000","PHMD120183290024084000020","20181126","","01","영업/정상","13","영업중","","","","","051-894-2800","","","부산광역시 부산진구 개금동 540번지 284호 승현빌딩","부산광역시 부산진구 복지로 61, 승현빌딩 2층 (개금동)","47388","대학약국","20181119142755","I","2018-11-21 02:36:00.0","","384074.884873373","185022.061757114","280.9","20181126",
"1194","약국","01_01_06_P","3290000","PHMD120183290024084000022","20181203","","01","영업/정상","13","영업중","","","","","051-893-8900","","","부산광역시 부산진구 개금동 515번지 3호","부산광역시 부산진구 가야대로 456, 1층 (개금동)","47323","코끼리약국","20181128130208","I","2018-11-30 02:20:02.0","","384171.82934985","185619.631096167","36.4","20181203",
"1195","약국","01_01_06_P","3290000","PHMD120183290024084000021","20181121","","01","영업/정상","13","영업중","","","","","051-947-0890","","","부산광역시 부산진구 부전동 397번지 14호","부산광역시 부산진구 서면문화로 10 (부전동)","47256","메디칼영광약국","20190401141954","U","2019-04-03 02:40:00.0","","387415.724644705","186342.36247766","31.91","20181121",
"1196","약국","01_01_06_P","3290000","PHMD120193290024084000001","20190102","","01","영업/정상","13","영업중","","","","","051-817-3338","","","부산광역시 부산진구 연지동 161번지","부산광역시 부산진구 새싹로 148 (연지동)","47133","정다운약국","20181231152759","I","2019-01-02 02:20:35.0","","386735.359952901","187504.046632361","175.33","20190102",
"1197","약국","01_01_06_P","3290000","PHMD120193290024084000002","20190102","","01","영업/정상","13","영업중","","","","","051-930-1701","","","부산광역시 부산진구 부전동 573번지 7호 서면호텔 복합시설","부산광역시 부산진구 중앙대로 777, 서면호텔 복합시설 1층 (부전동)","47251","스마트약국","20181231174813","I","2019-01-02 02:20:35.0","","387795.767511117","186686.460990568","35.03","20190102",
"1198","약국","01_01_06_P","3290000","PHMD120183290024084000019","20181110","","01","영업/정상","13","영업중","","","","","051-939-8275","","","부산광역시 부산진구 초읍동 263번지 36호","부산광역시 부산진구 새싹로 218, 1층 (초읍동)","47127","귀빈약국","20181106172321","I","2018-11-08 02:35:55.0","","386576.123573996","188193.281707173","41","20181110",
"1199","약국","01_01_06_P","3290000","PHMD120203290024084000017","20201214","","01","영업/정상","13","영업중","","","","","051-637-9277","","","부산광역시 부산진구 범천동 849-8","부산광역시 부산진구 범일로 186, 1층 (범천동)","47357","우리약국","20201211093717","I","2020-12-13 00:23:06.0","","387630.891412675","184998.952572133","66","20201214",
"1200","약국","01_01_06_P","3290000","PHMD120203290024084000015","20201202","","01","영업/정상","13","영업중","","","","","051-990-9000","","","부산광역시 부산진구 범천동 849-24","부산광역시 부산진구 범일로 178, 1층 (범천동)","47357","보담약국","20201202150214","I","2020-12-04 00:23:19.0","","387638.863141233","184924.442865289","67.7","20201202",
"1201","약국","01_01_06_P","3290000","PHMD120203290024084000018","20201228","","01","영업/정상","13","영업중","","","","","051-807-0020","","","부산광역시 부산진구 부전동 257-53 부전동근린생활시설","부산광역시 부산진구 서면로 68, 부전동근린생활시설 1층 (부전동)","47286","드림약국","20201223101306","I","2020-12-25 00:23:06.0","","387448.833140743","186133.316015307","31.72","20201228",
"1202","약국","01_01_06_P","3290000","PHMD120213290024084000001","20210201","","01","영업/정상","13","영업중","","","","","051-805-2032","","","부산광역시 부산진구 초읍동 260-2","부산광역시 부산진구 새싹로 240-1, 1층 (초읍동)","47127","행복약국","20210126102532","I","2021-01-28 00:23:13.0","","386542.206869361","188402.14250819","28.14","20210201",
"1203","약국","01_01_06_P","3290000","PHMD120203290024084000016","20201208","","01","영업/정상","13","영업중","","","","","051-891-6008","","","부산광역시 부산진구 당감동 300-1 앨리움 메디컬센터","부산광역시 부산진구 동평로 106, 앨리움 메디컬센터 1층 103호 (당감동)","47181","다감약국","20201208172201","I","2020-12-10 00:23:07.0","","385906.956687015","187054.534851144","232.5","20201208",
"1204","약국","01_01_06_P","3290000","PHMD120213290024084000003","20210201","","01","영업/정상","13","영업중","","","","","051-803-0525","","","부산광역시 부산진구 부전동 397-39 서면빌딩","부산광역시 부산진구 새싹로 17, 서면빌딩 1층 (부전동)","47256","다온약국","20210201163739","I","2021-02-03 00:23:03.0","","387404.540910841","186400.983470288","42.97","20210201",
"1205","약국","01_01_06_P","3290000","PHMD120223290024084000004","20220609","","01","영업/정상","13","영업중","","","","","051-635-9998","","","부산광역시 부산진구 범천동 845-8","부산광역시 부산진구 골드테마길 42(범천동)","47364","허브약국","20220609140029","I","2022-06-11 00:22:30.0","","387678.348043115","184662.132789743","29.75","20220609",
"1206","약국","01_01_06_P","3290000","PHMD120223290024084000003","20220506","","01","영업/정상","13","영업중","","","","","051-861-3644","","","부산광역시 부산진구 양정동 71-14","부산광역시 부산진구 진남로 549, 1층 (양정동)","47221","건강약국","20220519145753","U","2022-05-21 02:40:00.0","","388892.180187025","187830.077637781","42.9","20220506",
"1207","약국","01_01_06_P","3300000","PHMD120193300024084000008","20190918","","03","폐업","03","폐업","20200106","","","","051-556-9796","","","부산광역시 동래구 온천동 473번지 5호 관성빌딩","부산광역시 동래구 온천장로 11, 관성빌딩 1층 102호 (온천동)","47715","아람약국","20200106175631","U","2020-01-08 02:40:00.0","","389219.849568237","192432.965359731","63.6","20190918",
"1208","약국","01_01_06_P","3300000","PHMD120193300024084000006","20190711","","03","폐업","03","폐업","20210131","","","","051-557-8919","","","부산광역시 동래구 온천동 1435번지 26호","부산광역시 동래구 중앙대로1333번길 14, 1층 (온천동)","47734","명인한약국","20210129112202","U","2021-01-31 02:40:00.0","","389020.625040775","191636.029137343","37.8","20190711",
"1209","약국","01_01_06_P","3300000","PHMD120193300024084000011","20191230","","03","폐업","03","폐업","20210430","","","","051-506-8270","","","부산광역시 동래구 온천동 1442번지 11호","부산광역시 동래구 미남로132번길 112 (온천동)","47823","조아약국","20210430161016","U","2021-05-02 02:40:00.0","","388929.556441391","191530.042099429","48.63","20191230",
"1210","약국","01_01_06_P","3300000","PHMD120183300024084000003","20180307","","03","폐업","03","폐업","20211130","","","","051-553-8831","","","부산광역시 동래구 복천동 203번지 3호","부산광역시 동래구 동래로147번길 5, 2층 (복천동)","47802","한마음한약국","20211130112037","U","2021-12-02 02:40:00.0","","389971.683707159","191486.663584631","69.37","20180307",
"1211","약국","01_01_06_P","3300000","PHMD120183300024084000008","20180706","","03","폐업","03","폐업","20190917","","","","051-554-3400","","","부산광역시 동래구 온천동 97번지 11호","부산광역시 동래구 금강로 132-1 (온천동)","47709","금천약국","20190917172106","U","2019-09-19 02:40:00.0","","389365.618128443","193232.676244315","38.49","20180706",
"1212","약국","01_01_06_P","3300000","PHMD120133300024084000005","20130320","","03","폐업","03","폐업","20171101","","","","051-506-7933","","607817","부산광역시 동래구 사직동 77번지 14호","부산광역시 동래구 사직북로 16 (사직동)","47866","가야약국","20171101090756","I","2018-08-31 23:59:59.0","","387606.641962123","190618.549149659","26.18","20130320",
"1213","약국","01_01_06_P","3300000","PHMD120133300024084000006","20130401","","03","폐업","03","폐업","20170601","","","","051-521-5181","","607829","부산광역시 동래구 안락동 632번지 45호","부산광역시 동래구 안남로 86-1 (안락동)","47901","새동남약국","20170531172545","I","2018-08-31 23:59:59.0","","391331.569713569","190271.003396163","34.06","20130401",
"1214","약국","01_01_06_P","3300000","PHMD120133300024084000008","20130508","","03","폐업","03","폐업","20170912","","","","051-558-5788","","","부산광역시 동래구 온천동 1435번지 15호","부산광역시 동래구 중앙대로1333번길 22 (온천동)","47734","조은한약국","20170912142440","I","2018-08-31 23:59:59.0","","388990.313410431","191636.48245436","38.57","20130508",
"1215","약국","01_01_06_P","3300000","PHMD120103300024084000001","20100111","","03","폐업","03","폐업","20110502","","","","526-4245","","607827","부산광역시 동래구 안락1동 945번지 8호","부산광역시 동래구 충렬사로 45 (안락동)","","화목약국","20110502110118","I","2018-08-31 23:59:59.0","","391002.065427197","191336.988743946","62.9","20100111",
"1216","약국","01_01_06_P","3300000","PHMD120103300024084000002","20100118","","03","폐업","03","폐업","20110211","","","","555-4903","","607837","부산광역시 동래구 온천2동 947번지  외 1필지","","","송림약국","20110211141317","I","2018-08-31 23:59:59.0","","388437.708732723","192002.01903371","29.25","20100118",
"1217","약국","01_01_06_P","3300000","PHMD120103300024084000003","20100201","","03","폐업","03","폐업","20101011","","","","528-3546","","607829","부산광역시 동래구 안락1동 633번지 27호","부산광역시 동래구 안연로 64 (안락동)","","새제생당약국","20101011142120","I","2018-08-31 23:59:59.0","","391125.558506239","190228.953209521","170.27","20100201",
"1218","약국","01_01_06_P","3300000","PHMD120103300024084000004","20100209","","03","폐업","03","폐업","20100406","","","","524-4111","","607807","부산광역시 동래구 명장2동 29번지 124호","부산광역시 동래구 반송로 271 (명장동)","","세광약국","20100406104054","I","2018-08-31 23:59:59.0","","391247.903308578","191464.279275904","25.5","20100209",
"1219","약국","01_01_06_P","3300000","PHMD120103300024084000005","20100219","","03","폐업","03","폐업","20100929","","","","514-0219","","607831","부산광역시 동래구 온천1동 161번지 1호  SK허브올리버 102호","부산광역시 동래구 금강공원로 2 (온천동,SK허브올리버 102호)","","참사랑약국","20110804144004","I","2018-08-31 23:59:59.0","","389691.841106113","193029.858677409","50.84","20100219",
"1220","약국","01_01_06_P","3300000","PHMD120103300024084000006","20100309","","03","폐업","03","폐업","20100913","","","","557-0240","","607834","부산광역시 동래구 온천1동 475번지 18호","부산광역시 동래구 온천장로 15 (온천동)","","미래팜온천약국","20100913115349","I","2018-08-31 23:59:59.0","","389225.788461092","192473.97337994","105.02","20100309",
"1221","약국","01_01_06_P","3300000","PHMD120163300024084000010","20160503","","03","폐업","03","폐업","20170806","","","","07088297775","","","부산광역시 동래구 안락동 423번지 4호 1층 일부","부산광역시 동래구 충렬대로 353 (안락동, 1층 일부)","47786","굿모닝약국","20170807142433","I","2018-08-31 23:59:59.0","","390970.080375248","190841.121668339","28.8","20160503",
"1222","약국","01_01_06_P","3300000","PHMD120103300024084000009","20100426","","03","폐업","03","폐업","20110829","","","","507-8477","","607786","부산광역시 동래구 사직2동 1017번지 사직쌍용예가아파트 223동 305호","부산광역시 동래구 사직로 80, 223동 305호 (사직동,사직쌍용예가아파트)","607786","아로마약국","20110829101730","I","2018-08-31 23:59:59.0","","387144.17668815","190534.020672018","60.8","20100426",
"1223","약국","01_01_06_P","3300000","PHMD120103300024084000010","20100503","","03","폐업","03","폐업","20110711","","","","521-5181","","607829","부산광역시 동래구 안락1동 632번지 45호","부산광역시 동래구 안남로 86-1 (안락동)","","동남약국","20110711095021","I","2018-08-31 23:59:59.0","","391331.569713569","190271.003396163","34.06","20100503",
"1224","약국","01_01_06_P","3300000","PHMD120103300024084000011","20100518","","03","폐업","03","폐업","20100531","","","","542-4111","","607807","부산광역시 동래구 명장2동 29번지 124호","부산광역시 동래구 반송로 271 (명장동)","","세광약국","20100531113854","I","2018-08-31 23:59:59.0","","391247.903308578","191464.279275904","25.5","20100518",
"1225","약국","01_01_06_P","3300000","PHMD120103300024084000013","20100901","","03","폐업","03","폐업","20110502","","","","507-6067","","607842","부산광역시 동래구 온천3동 1426번지 15호","부산광역시 동래구 충렬대로100번길 8 (온천동)","","은혜약국","20110502093125","I","2018-08-31 23:59:59.0","","388571.927859085","191705.577038897","64.91","20100901",
"1226","약국","01_01_06_P","3300000","PHMD120103300024084000014","20100913","","03","폐업","03","폐업","20110516","","","","070-4084-0240","","607834","부산광역시 동래구 온천1동 475번지 18호","부산광역시 동래구 온천장로 15 (온천동)","","미래팜온천약국","20110516095444","I","2018-08-31 23:59:59.0","","389225.788461092","192473.97337994","105.02","20100913",
"1227","약국","01_01_06_P","3300000","PHMD120103300024084000015","20100914","","03","폐업","03","폐업","20120803","","","","501-2072","","607063","부산광역시 동래구 온천3동 1248번지 6호","부산광역시 동래구 아시아드대로 239 (온천동)","607841","인해약국","20120803140435","I","2018-08-31 23:59:59.0","","388202.444504343","191513.09750647","38.7","20100914",
"1228","약국","01_01_06_P","3300000","PHMD120103300024084000017","20100929","","03","폐업","03","폐업","20110627","","","","","","607828","부산광역시 동래구 안락1동 444번지 9호","부산광역시 동래구 명안로 45 (안락동)","","청솔약국","20110627124024","I","2018-08-31 23:59:59.0","","391587.439412729","191065.920692858","49.11","20100929",
"1229","약국","01_01_06_P","3300000","PHMD120103300024084000018","20100930","","03","폐업","03","폐업","20130320","","","","506-7933","","607817","부산광역시 동래구 사직1동 77번지 14호","부산광역시 동래구 사직북로 16 (사직동)","","가야약국","20130320095743","I","2018-08-31 23:59:59.0","","387606.641962123","190618.549149659","26.18","20100930",
"1230","약국","01_01_06_P","3300000","PHMD120153300024084000014","20151116","","03","폐업","03","폐업","20160302","","","","051-505-9763","","","부산광역시 동래구 온천동 1412번지 7호","부산광역시 동래구 아시아드대로 226 (온천동)","47837","따뜻한약국","20160302133559","I","2018-08-31 23:59:59.0","","388189.897479084","191362.066783999","73.37","20151116",
"1231","약국","01_01_06_P","3300000","PHMD120153300024084000017","20151231","","03","폐업","03","폐업","20160520","","","","051-554-7206","","","부산광역시 동래구 칠산동 254번지 1호","부산광역시 동래구 명륜로112번길 95 (칠산동)","47810","동명당한약국","20160520133804","I","2018-08-31 23:59:59.0","","390080.514578864","191281.944367662","38.19","20151231",
"1232","약국","01_01_06_P","3300000","PHMD120163300024084000003","20160302","","03","폐업","03","폐업","20170109","","","","051-505-9763","","","부산광역시 동래구 온천동 1412번지 7호 온천동메디컬센터","부산광역시 동래구 아시아드대로 226, 1층 (온천동, 온천동메디컬센터)","47837","따뜻한약국","20170109092236","I","2018-08-31 23:59:59.0","","388189.897479084","191362.066783999","73.37","20160302",
"1233","약국","01_01_06_P","3300000","PHMD120103300024084000021","20101101","","03","폐업","03","폐업","20140901","","","","553-5548","","607787","부산광역시 동래구 온천1동 153번지 8호","부산광역시 동래구 중앙대로 1523 (온천동)","","팜플러스약국","20140901095012","I","2018-08-31 23:59:59.0","","389816.233000769","193329.605871168","20.07","20101101",
"1234","약국","01_01_06_P","3300000","PHMD120103300024084000022","20101124","","03","폐업","03","폐업","20110221","","","","","","607826","부산광역시 동래구 안락2동 461번지 9호","부산광역시 동래구 충렬대로 455 (안락동)","","아람약국","20110221165921","I","2018-08-31 23:59:59.0","","391940.318639746","190552.117896749","21.29","20101124",
"1235","약국","01_01_06_P","3300000","PHMD120103300024084000023","20101214","","03","폐업","03","폐업","20170124","","","","507-8331","","607121","부산광역시 동래구 사직1동 103번지 2호","부산광역시 동래구 종합운동장로40번길 6 (사직동)","","새한세약국","20170125174755","I","2018-08-31 23:59:59.0","","387963.43043304","190283.961205383","62.06","20101214",
"1236","약국","01_01_06_P","3300000","PHMD120103300024084000026","20101230","","03","폐업","03","폐업","20130515","","","","555-3628","","607804","부산광역시 동래구 명륜1동 533번지 32호","부산광역시 동래구 충렬대로181번길 21 (명륜동)","607804","행복한약국","20130516091608","I","2018-08-31 23:59:59.0","","389322.983918414","191483.233211305","55.37","20101230",
"1237","약국","01_01_06_P","3300000","PHMD120113300024084000001","20110120","","03","폐업","03","폐업","20180511","","","","051-557-5713","","607010","부산광역시 동래구 명륜동 506번지 3호 메가마트","부산광역시 동래구 충렬대로 197, 1층 (명륜동, 메가마트)","47737","동래메가약국","20180511155502","I","2018-08-31 23:59:59.0","","389455.109101676","191427.549247975","37.7","20110120",
"1238","약국","01_01_06_P","3300000","PHMD120173300024084000009","20170518","","03","폐업","03","폐업","20200110","","","","051-558-7751","","","부산광역시 동래구 수안동 540번지 2호","부산광역시 동래구 충렬대로237번길 23 (수안동)","47814","드림약국","20200110172412","U","2020-01-12 02:40:00.0","","389824.246281465","191256.291768864","42.84","20170518",
"1239","약국","01_01_06_P","3300000","PHMD120163300024084000006","20160331","","03","폐업","03","폐업","20181213","","","","051-637-2211","","","부산광역시 동래구 안락동 733번지 5호","부산광역시 동래구 안연로 88 (안락동)","47894","안락고려약국","20181213090705","U","2018-12-15 02:40:00.0","","391014.554349585","190464.805365408","53.65","20160331",
"1240","약국","01_01_06_P","3300000","PHMD120163300024084000007","20160404","","03","폐업","03","폐업","20180729","","","","051-554-8555","","","부산광역시 동래구 명륜동 757번지 명륜아이파크1단지 201동 205호","부산광역시 동래구 명륜로 170, 201동 205호 (명륜동, 명륜아이파크1단지)","47748","희망약국","20180730105930","I","2018-08-31 23:59:59.0","","389705.506228405","191960.990382267","23.5","20160404",
"1241","약국","01_01_06_P","3300000","PHMD120163300024084000008","20160415","","03","폐업","03","폐업","20170131","","","","051-555-1619","","","부산광역시 동래구 낙민동 289번지 2호 1층 일부호","부산광역시 동래구 충렬대로 256, 1층 일부호 (낙민동)","47878","참조은약국","20170201100344","I","2018-08-31 23:59:59.0","","390008.104947087","191065.978424493","67.52","20160415",
"1242","약국","01_01_06_P","3300000","PHMD120163300024084000013","20160801","","03","폐업","03","폐업","20170403","","","","051-853-6270","","","부산광역시 동래구 온천동 1248번지 4호","부산광역시 동래구 아시아드대로 239-1 (온천동, 월드 메디컬 타워)","47851","미남정약국","20170403112830","I","2018-08-31 23:59:59.0","","388189.034202454","191546.670279537","71.5","20160801",
"1243","약국","01_01_06_P","3300000","PHMD120163300024084000015","20160826","","03","폐업","03","폐업","20170731","","","","051-558-8545","","","부산광역시 동래구 온천동 473번지 3호  성원타운1층 일부호","부산광역시 동래구 온천장로 13-1, 1층 일부호 (온천동, 성원타운)","47715","아름다운약국","20170731120004","I","2018-08-31 23:59:59.0","","389225.652095881","192458.461220687","80.76","20160826",
"1244","약국","01_01_06_P","3300000","PHMD120163300024084000016","20160826","","03","폐업","03","폐업","20190121","","","","051-532-9934","","","부산광역시 동래구 안락동 591번지 2호 1층 일부","부산광역시 동래구 충렬대로 417, 1층 일부호 (안락동)","47796","프라자약국","20190122132347","U","2019-01-24 02:40:00.0","","391563.419342916","190673.458306052","76.67","20160826",
"1245","약국","01_01_06_P","3300000","PHMD120163300024084000017","20160830","","03","폐업","03","폐업","20170321","","","","051-532-7588","","","부산광역시 동래구 명장동 489번지 25호","부산광역시 동래구 반송로 348-2 (명장동)","47766","하나로약국","20170321135623","I","2018-08-31 23:59:59.0","","391569.911650961","192093.307759002","44.87","20160830",
