"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사무실면적","소독차량차고면적","초미립자살포기수","휴대용소독기수","동력분무기수","수동식분무기수","방독면수","보호안경수","보호용의복수","진공청소기수",
"295","소독업","09_30_11_P","3300000","PHMB520063300024042500008","20060310","","03","폐업","03","폐업","20130704","","","","523-4952","","607101","부산광역시 동래구 안락1동 756번지 55호","부산광역시 동래구 안연로 94 (안락동)","","(주)보성기업","20130704145040","I","2018-08-31 23:59:59.0","","391004.68701","190502.040825831","38.7","38.7","1","2","1","5","5","5","5","1",
"296","소독업","09_30_11_P","3300000","PHMB520113300024042500006","20110607","","03","폐업","03","폐업","20200715","","","","552-8833","","607010","부산광역시 동래구 명륜동 529번지 3호","부산광역시 동래구 충렬대로 184 (명륜동)","47815","(주)진양종합관리","20201030105424","U","2020-11-01 02:40:00.0","","389331.764983971","191335.987062431","","","1","2","1","5","5","5","5","1",
"297","소독업","09_30_11_P","3300000","PHMB520103300024042500018","20101228","","03","폐업","03","폐업","20120224","","","","051-807-7895","","607020","부산광역시 동래구 복천동 229번지 14호","부산광역시 동래구 동래시장길 15-5 (복천동)","","(주)성지TS","20120224112427","I","2018-08-31 23:59:59.0","","389823.144020814","191384.918378114","","","1","2","1","5","5","5","5","1",
"298","소독업","09_30_11_P","3300000","PHMB520073300024042500005","20070817","","03","폐업","03","폐업","20110916","","","","","","607121","부산광역시 동래구 사직1동 133번지 11호","부산광역시 동래구 여고로 67 (사직동)","","(주)성동개발","20110920173857","I","2018-08-31 23:59:59.0","","388549.594404715","190545.080777862","","","1","2","1","5","5","5","5","1",
"299","소독업","09_30_11_P","3300000","PHMB520113300024042500008","20110208","","03","폐업","03","폐업","20160630","","","","","","","","부산광역시 동래구 명안로45번길 52 (명장동)","47779","창성환경","20160630110219","I","2018-08-31 23:59:59.0","","391345.917628292","191141.062910081","","","1","2","0","3","5","5","5","1",
"300","소독업","09_30_11_P","3300000","PHMB520163300024042500004","20160727","","03","폐업","03","폐업","20191111","","","","558-2887, 1522-4887","","","","부산광역시 동래구 온천장로 14 (온천동, 프리존오피스텔)","47714","더광남환경","20191206095516","U","2019-12-08 02:40:00.0","","389256.271890501","192445.394140917","","","1","2","0","3","5","5","5","1",
"301","소독업","09_30_11_P","3300000","PHMB520103300024042500017","20101230","","03","폐업","03","폐업","20120106","","","","555-7030","","607803","부산광역시 동래구 명륜2동 700번지 11호 도남빌딩 401호","부산광역시 동래구 동래로53번길 78 (명륜동,도남빌딩 401호)","","청정플러스","20120110094052","I","2018-08-31 23:59:59.0","","389458.783362085","192544.783364856","","","1","2","1","5","5","5","5","1",
"302","소독업","09_30_11_P","3300000","PHMB519993300024042500001","19990819","","03","폐업","03","폐업","20110114","","","","554-6463","","607831","부산광역시 동래구 온천1동 145번지 15호","부산광역시 동래구 온천장로119번길 62 (온천동)","","유한방역","20110114174903","I","2018-08-31 23:59:59.0","","389454.253452346","193417.394908066","","","1","2","1","5","5","5","5","1",
"303","소독업","09_30_11_P","3300000","PHMB520033300024042500001","20030220","","03","폐업","03","폐업","20110222","","","","527-8860","","607810","부산광역시 동래구 명장1동 610번지 33호","부산광역시 동래구 명안로46번길 13 (명장동)","","협승종합환경","20120801113656","I","2018-08-31 23:59:59.0","","391656.418316463","191094.073081506","","","1","2","1","5","5","5","5","1",
"304","소독업","09_30_11_P","3300000","PHMB520063300024042500005","20060608","","03","폐업","03","폐업","20110208","","","","","","607822","부산광역시 동래구 수안동 1번지 7호 남영빌딩 2층","부산광역시 동래구 충렬대로202번가길 3 (수안동,남영빌딩 2층)","","(주)일신산업개발","20110506170034","I","2018-08-31 23:59:59.0","","389543.384223974","191167.002392049","","","1","2","1","5","5","5","5","1",
"305","소독업","09_30_11_P","3300000","PHMB520113300024042500002","20110304","","03","폐업","03","폐업","20121015","","","","","","607836","부산광역시 동래구 온천3동 1421번지 36호","부산광역시 동래구 미남로 131 (온천동)","","(주)아신실업","20121015153941","I","2018-08-31 23:59:59.0","","388373.679687682","191580.318215539","","","1","2","1","5","5","5","5","1",
"306","소독업","09_30_11_P","3300000","PHMB520113300024042500003","20110310","","03","폐업","03","폐업","20131122","","","","532-9107","","607100","부산광역시 동래구 안락동 309번지","부산광역시 동래구 명안로10번길 38 (안락동)","","(주)에스제이이엔지","20131203142434","I","2018-08-31 23:59:59.0","","391761.274550958","190686.616797441","26.4","6.6","1","2","1","5","5","5","5","1",
"307","소독업","09_30_11_P","3300000","PHMB520113300024042500004","20110317","","03","폐업","03","폐업","20130506","","","","518-4615","","607101","부산광역시 동래구 안락1동 435번지 2호","부산광역시 동래구 안연로110번길 32 (안락동)","","(주)부일종합관리","20130506102039","I","2018-08-31 23:59:59.0","","391153.007214205","190597.943403205","46.2","19.8","1","2","1","5","5","5","5","1",
"308","소독업","09_30_11_P","3300000","PHMB519993300024042500002","19990312","","03","폐업","03","폐업","20180226","","","","","","607842","부산광역시 동래구 온천3동 1421번지 36호","부산광역시 동래구 미남로 131 (온천동)","47837","(주)삼보환경개발","20180226114156","I","2018-08-31 23:59:59.0","","388373.679687682","191580.318215539","38.76","16.72","1","2","1","5","5","5","5","1",
"309","소독업","09_30_11_P","3300000","PHMB520033300024042500002","20030328","","03","폐업","03","폐업","20150821","","","","051-505-2070","","607842","부산광역시 동래구 온천3동 1411번지 47호","부산광역시 동래구 아시아드대로 212-1, 5층 (온천동)","47838","(주)명건","20150821152434","I","2018-08-31 23:59:59.0","","388135.398337536","191260.584558598","176.5","9.5","1","2","1","5","5","5","5","1",
"310","소독업","09_30_11_P","3300000","PHMB520043300024042500001","20040203","","03","폐업","03","폐업","20110517","","","","521-3833","","607809","부산광역시 동래구 명장1동 131번지 16호","부산광역시 동래구 명안로 77 (명장동)","","남부공영","20110517171031","I","2018-08-31 23:59:59.0","","391546.584320163","191387.945862045","7.6","94","1","2","1","5","5","5","5","1",
"311","소독업","09_30_11_P","3300000","PHMB520123300024042500004","20121106","","03","폐업","03","폐업","20150701","","","","","","607101","부산광역시 동래구 안락1동 432번지 6호","부산광역시 동래구 충렬대로 365 (안락동)","607101","(주)비씨앤에스","20150701133137","I","2018-08-31 23:59:59.0","","391050.432406125","190772.794405331","22.32","6.6","2","2","1","5","5","5","5","1",
"312","소독업","09_30_11_P","3300000","PHMB520133300024042500001","20130508","","03","폐업","03","폐업","20150924","","","","051)522-2888","","607829","부산광역시 동래구 안락1동 435번지 2호 2층","부산광역시 동래구 안연로110번길 32, 2층 (안락동)","47889","부일환경시스템","20150924133450","I","2018-08-31 23:59:59.0","","391153.007214205","190597.943403205","46.2","19.8","1","2","1","5","5","5","5","1",
"313","소독업","09_30_11_P","3300000","PHMB520143300024042500001","20140217","","03","폐업","03","폐업","20151210","","","","553-3594","","607822","부산광역시 동래구 수안동 11번지 2호","부산광역시 동래구 온천천로253번길 22, 2층 (수안동)","47820","주식회사 태영산업개발","20151210100428","I","2018-08-31 23:59:59.0","","389686.088053878","190775.815453429","","","1","2","1","5","5","5","5","1",
"314","소독업","09_30_11_P","3300000","PHMB520143300024042500006","20141107","","03","폐업","03","폐업","20210902","","","","","","607826","부산광역시 동래구 안락동 463번지 9호","부산광역시 동래구 명안로18번길 98 (안락동)","47793","조은방제","20210903162945","U","2021-09-05 02:40:00.0","","392066.517009573","190735.247653943","0","0","1","2","1","5","5","5","5","1",
"315","소독업","09_30_11_P","3300000","PHMB520123300024042500002","20121009","","03","폐업","03","폐업","20140424","","","","051)527-4002","","607808","부산광역시 동래구 명장1동 67번지 57호","부산광역시 동래구 명안로45번길 64-3 (명장동)","607808","(주)조은클린서비스","20140424162726","I","2018-08-31 23:59:59.0","","391280.975361289","191152.665967678","42","6","1","2","1","5","5","5","5","1",
"316","소독업","09_30_11_P","3300000","PHMB520083300024042500003","20081021","","03","폐업","03","폐업","20141231","","","","851-4002","","607808","부산광역시 동래구 명장동 67번지 57호","부산광역시 동래구 명안로45번길 64-3 (명장동)","607808","조은P&P","20141231095229","I","2018-08-31 23:59:59.0","","391280.975361289","191152.665967678","","","1","2","1","5","5","5","5","1",
"317","소독업","09_30_11_P","3300000","PHMB520153300024042500004","20150706","","03","폐업","03","폐업","20161017","","","","","","607040","부산광역시 동래구 낙민동 223번지 17호","부산광역시 동래구 충렬대로 276, 7층 (낙민동)","47879","세영개발","20161017095417","I","2018-08-31 23:59:59.0","","390190.531477943","191034.616517691","","","1","2","0","6","7","5","5","1",
"318","소독업","09_30_11_P","3300000","PHMB520153300024042500006","20150722","","03","폐업","03","폐업","20151228","","","","501-7300","","607839","부산광역시 동래구 온천동 1159번지 1호","부산광역시 동래구 쇠미로 220 (온천동)","47718","주식회사 세진바이오텍","20151228110118","I","2018-08-31 23:59:59.0","","387948.121044819","191994.677295149","","","1","2","0","3","5","5","5","1",
"319","소독업","09_30_11_P","3300000","PHMB520083300024042500001","20080623","","03","폐업","03","폐업","20140226","","","","557-6223","","607020","부산광역시 동래구 복천동 374번지 4호","부산광역시 동래구 동래로136번길 32 (복천동)","","(주)청마오에스","20140226113346","I","2018-08-31 23:59:59.0","","389743.30426975","191516.432368304","30","38","1","3","1","6","5","5","5","1",
"320","소독업","09_30_11_P","3300000","PHMB520073300024042500003","20070927","","03","폐업","03","폐업","20100120","","","","553-8119","","607827","부산광역시 동래구 안락1동 946번지 30호","부산광역시 동래구 반송로239번길 12 (안락동)","","바이벅스","20100120170911","I","2018-08-31 23:59:59.0","","391024.541687107","191264.232332627","22","7","1","2","1","5","5","5","5","1",
"321","소독업","09_30_11_P","3300000","PHMB520103300024042500002","20100209","","03","폐업","03","폐업","20100517","","","","403-1118","","607807","부산광역시 동래구 명장2동 29번지 131호","부산광역시 동래구 반송로 267 (명장동)","","(주)페가스","20100517105616","I","2018-08-31 23:59:59.0","","391233.501963643","191433.64772843","35.8","3.7","1","2","1","5","5","5","5","1",
"322","소독업","09_30_11_P","3300000","PHMB520073300024042500004","20070409","","03","폐업","03","폐업","20100329","","","","505-2566","","607841","부산광역시 동래구 온천3동 1248번지 8호","부산광역시 동래구 사직북로28번길 206 (온천동)","","(주)옥산","20100329150819","I","2018-08-31 23:59:59.0","","388178.560258148","191527.119967242","","","1","2","1","5","5","5","5","1",
"323","소독업","09_30_11_P","3300000","PHMB520103300024042500005","20100414","","03","폐업","03","폐업","20130612","","","","557-0612","","607801","부산광역시 동래구 낙민동 172번지 3호","부산광역시 동래구 충렬대로 306 (낙민동)","","명성방역공사","20130617163311","I","2018-08-31 23:59:59.0","","390481.279318989","190914.554882922","","","1","2","1","5","5","5","5","1",
"324","소독업","09_30_11_P","3300000","PHMB520103300024042500007","20100504","","03","폐업","03","폐업","20110316","","","","","","607827","부산광역시 동래구 안락1동 947번지 3호","부산광역시 동래구 반송로240번길 15 (안락동)","","바이오 크린텍","20110516112805","I","2018-08-31 23:59:59.0","","391149.123677579","191188.352283313","","","1","2","1","5","5","5","5","1",
"325","소독업","09_30_11_P","3300000","PHMB520053300024042500001","20050810","","03","폐업","03","폐업","20090305","","","","051-505-6237","","607061","부산광역시 동래구 온천1동 1267번지 1호 반도빌딩 4층","","","(주)천우시스템","20090729094501","I","2018-08-31 23:59:59.0","","388239.370950884","191609.120762052","148","8","1","2","1","5","5","5","5","1",
"326","소독업","09_30_11_P","3300000","PHMB520063300024042500001","20060214","","03","폐업","03","폐업","20090305","","","","051-864-8660","","607012","부산광역시 동래구 명륜2동 67번지 16호","부산광역시 동래구 명륜로 227 (명륜동)","","(주)금정시스템","20090729094642","I","2018-08-31 23:59:59.0","","389605.195422455","192530.491964115","47.97","15.79","1","2","1","5","5","5","5","1",
"327","소독업","09_30_11_P","3300000","PHMB520073300024042500001","20070620","","03","폐업","03","폐업","20121004","","","","051-817-1513","","607121","부산광역시 동래구 사직1동 122번지 1호","부산광역시 동래구 여고북로 66 (사직동)","","(주)케이에스씨오","20121004164901","I","2018-08-31 23:59:59.0","","388339.729087215","190977.020402234","75.93","11.25","1","2","1","5","5","5","5","1",
"328","소독업","09_30_11_P","3300000","PHMB520093300024042500002","20090721","","03","폐업","03","폐업","20140516","","","","","","607829","부산광역시 동래구 안락1동 432번지 4호","부산광역시 동래구 충렬대로359번길 6 (안락동)","","주식회사 삼성","20140516103143","I","2018-08-31 23:59:59.0","","391015.371836652","190782.327134552","56","9","1","2","1","5","5","5","5","1",
"329","소독업","09_30_11_P","3300000","PHMB520193300024042500002","20190614","","01","영업/정상","13","영업중","","","","","051-556-2330","","","부산광역시 동래구 칠산동 231","부산광역시 동래구 명륜로112번길 105 (칠산동)","47810","헬로클린데이","20210408131043","U","2021-04-10 02:40:00.0","","390130.600183388","191270.6615741","","","2","2","0","3","5","5","5","1",
"330","소독업","09_30_11_P","3300000","PHMB520193300024042500001","20190531","","01","영업/정상","13","영업중","","","","","051-557-2666","","","부산광역시 동래구 명륜동 6번지 9호 세명빌딩","부산광역시 동래구 시실로 20, 세명빌딩 3층 (명륜동)","47744","그린 F5 부산동래본부","20190605180832","I","2019-06-07 02:21:05.0","","389864.091785286","192842.54537441","34.77","5","1","2","0","3","5","5","5","1",
"331","소독업","09_30_11_P","3300000","PHMB520183300024042500002","20181005","","01","영업/정상","13","영업중","","","","","051-929-1671","","","","부산광역시 동래구 반송로250번길 6, 3층 (안락동)","47782","새롬방역공사","20210607102913","U","2021-06-09 02:40:00.0","","391133.047268641","191250.161188557","39.6","16.5","1","2","0","3","5","5","5","1",
"332","소독업","09_30_11_P","3300000","PHMB520193300024042500005","20130222","","01","영업/정상","13","영업중","","","","","1599-9881","","","부산광역시 동래구 명장동 279번지 62호","부산광역시 동래구 복천로123번길 6, 1층 (명장동)","47749","알프스방역","20211014101642","U","2021-10-16 02:40:00.0","","390956.782470267","191851.34545508","10.5","9.6","1","2","1","5","5","5","5","1",
"333","소독업","09_30_11_P","3300000","PHMB520193300024042500003","20190715","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 동래구 사직북로 45, 지하층 (사직동)","47860","방구방역","20220609162233","U","2022-06-11 02:40:00.0","","387481.550074777","190850.652493226","38.21","5","1","2","0","3","5","5","5","1",
"334","소독업","09_30_11_P","3300000","PHMB520193300024042500004","20190806","","01","영업/정상","13","영업중","","","","","051-528-1007","","","부산광역시 동래구 안락동 172-7","부산광역시 동래구 연안로52번길 67, 4층 (안락동)","47905","협동조합 리본","20210607102548","U","2021-06-09 02:40:00.0","","392220.446579927","190032.880542446","78.6","20.3","1","2","0","3","5","5","5","1",
"335","소독업","09_30_11_P","3300000","PHMB520193300024042500006","20191004","","01","영업/정상","13","영업중","","","","","051-952-1218","","","부산광역시 동래구 복천동 267번지 2호","부산광역시 동래구 복천로 6, 3층 (복천동)","47802","엑스텀","20210607102412","U","2021-06-09 02:40:00.0","","389935.258410551","191582.658738514","9","4.5","1","2","0","3","5","5","5","1",
"336","소독업","09_30_11_P","3300000","PHMB520223300024042500001","20220211","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 명륜동 515-28","부산광역시 동래구 충렬대로182번길 15, 1층 (명륜동)","47815","(주)시소","20220524181819","U","2022-05-26 02:40:00.0","","389316.003479463","191276.908952302","115.7","9.9","1","2","0","3","5","5","5","1",
"337","소독업","09_30_11_P","3300000","PHMB520043300024042500002","20040226","","01","영업/정상","13","영업중","","","","","051-555-0633","","607010","부산광역시 동래구 명륜동 450번지 39호 401통","부산광역시 동래구 충렬대로 211 (명륜동)","","(주)월드지엠에스","20220426144933","U","2022-04-28 02:40:00.0","","389597.049188111","191242.368685913","14.5","16.32","1","2","1","5","5","5","5","1",
"338","소독업","09_30_11_P","3300000","PHMB520203300024042500002","20200327","","01","영업/정상","13","영업중","","","","","051-515-2435","","","부산광역시 동래구 온천동 153번지 8호 SKHUBSKY CGV 7층","부산광역시 동래구 중앙대로 1523, SKHUBSKY (온천동)","47710","주식회사 리원","20210607102237","U","2021-06-09 02:40:00.0","","389816.233000769","193329.605871168","84","13.2","1","2","0","3","5","5","5","1",
"339","소독업","09_30_11_P","3300000","PHMB520203300024042500001","20151008","","01","영업/정상","13","영업중","","","","","1833-6879","","","부산광역시 동래구 안락동 758-17","부산광역시 동래구 충렬대로350번길 16, 3층 (안락동)","47889","클린샵방역","20211214161435","U","2021-12-16 02:40:00.0","","390913.131597731","190655.263943771","69.72","33","2","2","0","3","5","5","5","2",
"340","소독업","09_30_11_P","3300000","PHMB520203300024042500004","20090402","","01","영업/정상","13","영업중","","","","","051-851-0950","","","부산광역시 동래구 온천동 1143번지 5호 (주)현대용역","부산광역시 동래구 쇠미로217번길 48, (주)현대용역 (온천동)","47718","(주)현대용역","20210607133600","U","2021-06-09 02:40:00.0","","387731.891160009","192138.170148935","150","26","1","2","1","5","5","5","5","1",
"341","소독업","09_30_11_P","3300000","PHMB520203300024042500005","20200403","","01","영업/정상","13","영업중","","","","","1600-6343","","","부산광역시 동래구 안락동 170번지 8호","부산광역시 동래구 연안로52번길 99-3 (안락동)","47905","푸푸크린시스템","20200515184720","I","2020-05-17 00:23:20.0","","392361.602079367","189962.603886011","46","3","1","2","0","3","5","5","5","1",
"342","소독업","09_30_11_P","3300000","PHMB520213300024042500011","20210929","","01","영업/정상","13","영업중","","","","","","","","부산광역시 동래구 안락동 463-9","부산광역시 동래구 명안로18번길 98, 지하층 (안락동)","47793","에프엠시스템","20210930173042","I","2021-10-02 00:22:47.0","","392066.517009573","190735.247653943","79.78","20","2","3","0","3","5","5","10","2",
"343","소독업","09_30_11_P","3300000","PHMB519843300024042500001","19841222","","01","영업/정상","13","영업중","","","","","051-552-4113","","607804","부산광역시 동래구 명륜1동 334번지 5호","부산광역시 동래구 충렬대로237번길 122 (명륜동)","","일신산업","20210607134902","U","2021-06-09 02:40:00.0","","389628.29161463","191675.865227225","","","1","2","1","5","5","5","5","1",
"344","소독업","09_30_11_P","3300000","PHMB520103300024042500010","20100909","","01","영업/정상","13","영업중","","","","","051-464-3192","","607828","부산광역시 동래구 안락1동 546번지 1호","부산광역시 동래구 충렬대로 402 (안락동)","","(주)휴먼플러스","20220211155215","U","2022-02-13 02:40:00.0","","391387.04342924","190625.373044832","0","0","1","2","1","5","5","5","5","1",
"345","소독업","09_30_11_P","3300000","PHMB520083300024042500002","19990312","","01","영업/정상","13","영업중","","","","","051-502-0961","","607842","부산광역시 동래구 온천3동 1421번지 36호","부산광역시 동래구 미남로 131 (온천동)","","(주)삼보환경개발","20210607134558","U","2021-06-09 02:40:00.0","","388373.679687682","191580.318215539","38.76","16.72","1","2","1","5","5","5","5","1",
"346","소독업","09_30_11_P","3300000","PHMB520103300024042500016","20101228","","01","영업/정상","13","영업중","","","","","051-502-1282","","","부산광역시 동래구 온천동 1465-5","부산광역시 동래구 미남로 86, 302호 (온천동)","47827","(주)성호","20210329182126","U","2021-03-31 02:40:00.0","","388415.534200456","191123.672657321","","","3","2","1","4","5","5","5","1",
"347","소독업","09_30_11_P","3300000","PHMB520053300024042500003","20050627","","01","영업/정상","13","영업중","","","","","051-556-8400","","607040","부산광역시 동래구 낙민동 186번지 13호","부산광역시 동래구 낙민로 14 (낙민동)","47879","(주)대성실업","20210607134335","U","2021-06-09 02:40:00.0","","390255.14363107","190880.746707561","28.5","18","1","2","1","5","5","5","5","1",
"348","소독업","09_30_11_P","3300000","PHMB520053300024042500004","20051011","","01","영업/정상","13","영업중","","","","","051-552-4296","","607824","부산광역시 동래구 수안동 591번지 201호","부산광역시 동래구 명륜로94번길 14 (수안동)","47814","세왕기업","20210607134216","U","2021-06-09 02:40:00.0","","389719.399680567","191285.083232699","10.96","22.5","1","2","1","5","5","5","5","1",
"349","소독업","09_30_11_P","3300000","PHMB520063300024042500007","20060214","","01","영업/정상","13","영업중","","","","","051-531-0655","","607101","부산광역시 동래구 안락1동 1224번지 1호","부산광역시 동래구 명안로46번길 10 (안락동)","","늘푸른환경","20220426144313","U","2022-04-28 02:40:00.0","","391636.606830949","191073.926205336","24","30.8","1","2","1","5","5","5","5","1",
"350","소독업","09_30_11_P","3300000","PHMB520063300024042500009","20060608","","01","영업/정상","13","영업중","","","","","051-504-2955","","","","부산광역시 동래구 아시아드대로207번길 7 (온천동)","47852","시온환경개발","20220426144017","U","2022-04-28 02:40:00.0","","388046.220218587","191240.008771517","26","70","1","2","1","5","5","5","5","1",
"351","소독업","09_30_11_P","3300000","PHMB520143300024042500002","20140313","","01","영업/정상","13","영업중","","","","","051-515-7484","","","","부산광역시 동래구 우장춘로4번길 38 (온천동, 해광빌딩 305호)","47731","주식회사 서광티에스","20210607113501","U","2021-06-09 02:40:00.0","","388641.534817675","191792.635408597","","","1","2","1","5","5","5","5","1",
"352","소독업","09_30_11_P","3300000","PHMB520173300024042500004","20170428","","01","영업/정상","13","영업중","","","","","051-867-8771","","","부산광역시 동래구 온천동 208번지 2호 온천파크 오피스텔 414호","부산광역시 동래구 금강로 107, 414호 (온천동, 온천파크오피스텔)","47705","(주)뉴에버크린","20170428113013","I","2018-08-31 23:59:59.0","","389232.177374563","192993.794473224","32.9","10","1","2","0","3","5","5","5","1",
"353","소독업","09_30_11_P","3300000","PHMB520183300024042500001","20180130","","01","영업/정상","13","영업중","","","","","051-742-9523","","","부산광역시 동래구 안락동 420-65","부산광역시 동래구 충렬사로 20, 2층 (안락동)","47754","해동방역공사","20220208092338","U","2022-02-10 02:40:00.0","","390926.857274122","191086.225454615","12.2","14.2","1","4","0","6","6","5","5","1",
"354","소독업","09_30_11_P","3300000","PHMB520143300024042500003","20140408","","01","영업/정상","13","영업중","","","","","051-504-9924","","607817","부산광역시 동래구 사직동 70번지 14호 1층","부산광역시 동래구 아시아드대로171번길 19, 1층 (사직동)","47858","주식회사 동래클린케어","20220609170650","U","2022-06-11 02:40:00.0","","387891.905622048","190834.744022041","0","0","1","2","1","5","5","5","5","1",
"355","소독업","09_30_11_P","3300000","PHMB520143300024042500004","20140424","","01","영업/정상","13","영업중","","","","","051-782-5317","","607020","부산광역시 동래구 복천동 295번지 5호","부산광역시 동래구  충렬대로237번길  66 (복천동)","47810","주식회사 케이비시스템","20210607113331","U","2021-06-09 02:40:00.0","","389778.892817076","191448.79071106","","","1","2","1","5","5","5","5","1",
"356","소독업","09_30_11_P","3300000","PHMB520113300024042500001","20110207","","01","영업/정상","13","영업중","","","","","051-784-4600","","","","부산광역시 동래구 충렬대로321번길 7-3 (안락동)","47755","(주)창성티엔씨","20220426142555","U","2022-04-28 02:40:00.0","","390641.442899366","190931.616686099","0","0","1","2","1","5","5","5","5","1",
"357","소독업","09_30_11_P","3300000","PHMB520173300024042500003","20170216","","01","영업/정상","13","영업중","","","","","070-4384-0111","","","부산광역시 동래구 명륜동 584번지 1호","부산광역시 동래구 충렬대로237번길 132, 2층 (명륜동)","47809","크리스탈 방역","20210622144044","U","2021-06-24 02:40:00.0","","389602.48754864","191718.653592055","24.3","6.6","1","2","0","3","5","5","5","1",
"358","소독업","09_30_11_P","3300000","PHMB519983300024042500001","19980311","","01","영업/정상","13","영업중","","","","","051-529-7144","","607809","부산광역시 동래구 명장1동 145번지 14호","부산광역시 동래구 명안로86번길 45-3 (명장동)","","제곤산업","20210607134706","U","2021-06-09 02:40:00.0","","391794.117665578","191451.076954614","20.4","16","1","2","1","5","5","5","5","1",
"359","소독업","09_30_11_P","3300000","PHMB520033300024042500003","20030307","","01","영업/정상","13","영업중","","","","","051-558-3707","","","부산광역시 동래구 수안동 9번지 33호","부산광역시 동래구 명륜로 47, 2층 (수안동)","47818","(주)비엔에이서비스","20210607134459","U","2021-06-09 02:40:00.0","","389739.128920367","190786.245620109","130.78","12","1","2","1","5","5","5","5","1",
"360","소독업","09_30_11_P","3300000","PHMB520113300024042500007","20110922","","01","영업/정상","13","영업중","","","","","051-553-2172","","","부산광역시 동래구 온천동 149-24","부산광역시 동래구 금강공원로20번길 68, 3층 (온천동)","47708","에코유비전","20210609181148","U","2021-06-11 02:40:00.0","","389609.286386037","193388.959701474","","","1","2","1","5","5","5","5","1",
"361","소독업","09_30_11_P","3300000","PHMB520123300024042500001","20120917","","01","영업/정상","13","영업중","","","","","070-8692-9751","","607822","부산광역시 동래구 수안동 1번지 7호 301호","부산광역시 동래구 충렬대로202번가길 3 (수안동)","47817","자연애","20210607132020","U","2021-06-09 02:40:00.0","","389543.384223974","191167.002392049","36.6","16","1","2","1","5","5","5","5","1",
"362","소독업","09_30_11_P","3300000","PHMB520163300024042500003","20160429","","01","영업/정상","13","영업중","","","","","051-558-4800","","","","부산광역시 동래구 연안로52번길 81, 2층 (안락동)","47905","고리시스템즈","20210607103314","U","2021-06-09 02:40:00.0","","392287.216248758","190001.625744624","","","1","2","0","3","5","5","5","1",
"363","소독업","09_30_11_P","3300000","PHMB520133300024042500003","20130628","","01","영업/정상","13","영업중","","","","","051-503-1547","","607839","부산광역시 동래구 온천3동 1140번지","부산광역시 동래구 쇠미로217번길 58 (온천동)","47718","유정개발 주식회사","20220630104109","U","2022-07-02 02:40:00.0","","387668.872915731","192148.751779435","15.2","7.6","1","2","1","5","5","5","5","1",
"364","소독업","09_30_11_P","3300000","PHMB520133300024042500004","20130709","","01","영업/정상","13","영업중","","","","","051-554-9803","","607833","부산광역시 동래구 온천1동 184번지 7호","부산광역시 동래구 온천장로 54 (온천동, 삼영빌딩 4층)","47711","주식회사 에코유","20210423180249","U","2021-04-25 02:40:00.0","","389419.074460603","192777.319447217","","","1","2","1","5","5","5","5","1",
"365","소독업","09_30_11_P","3300000","PHMB520133300024042500005","20130730","","01","영업/정상","13","영업중","","","","","051-528-0172","","607830","부산광역시 동래구 안락2동 449번지 58호","부산광역시 동래구 명안로18번길 11 (안락동)","47790","해피콤","20210407200859","U","2021-04-09 02:40:00.0","","391632.704355879","190803.93360261","","","1","2","1","5","5","5","5","1",
"366","소독업","09_30_11_P","3300000","PHMB520173300024042500001","20170103","","01","영업/정상","13","영업중","","","","","051-531-2344","","","부산광역시 동래구 낙민동 84번지 8호 보림프라자","부산광역시 동래구 안남로 23, 3층 303호 (낙민동, 보림프라자)","47892","(사)부산광역시장애인복지연합회","20220426115419","U","2022-04-28 02:40:00.0","","390724.427856927","190387.205145155","22.75","12.25","1","2","0","3","5","5","5","1",
"367","소독업","09_30_11_P","3300000","PHMB520123300024042500003","20121015","","01","영업/정상","13","영업중","","","","","051-501-5659","","607818","부산광역시 동래구 사직3동 129번지 31호","부산광역시 동래구 아시아드대로126번길 66 (사직동)","47843","아신실업","20210607131929","U","2021-06-09 02:40:00.0","","388475.201251583","190561.671937133","16.5","33","1","2","1","5","5","5","5","1",
"368","소독업","09_30_11_P","3300000","PHMB520123300024042500005","20081210","","01","영업/정상","13","영업중","","","","","051-558-3717","","","부산광역시 동래구 수안동 9번지 33호","부산광역시 동래구 명륜로 47, 2층 (수안동)","47818","주식회사 비앤비서비스","20220426141814","U","2022-04-28 02:40:00.0","","389739.128920367","190786.245620109","60.69","10","1","2","1","5","5","5","5","1",
"369","소독업","09_30_11_P","3300000","PHMB520143300024042500005","20141021","","01","영업/정상","13","영업중","","","","","051-552-1253","","607822","부산광역시 동래구 수안동 6번지 1호","부산광역시 동래구 명륜로75번길 31 (수안동)","47819","뉴이엠방역","20220111190713","U","2022-01-13 02:40:00.0","","389551.579403622","190976.286069305","0","0","1","2","1","5","5","5","5","1",
